homograph	wordid	sentence	start	end	orig_idx
insult	insult_nou	Trumbo, too, accuses of her of cheating at cards after losing to Lily, an insult she promises not to forget.	74	80	6309
insult	insult_nou	The men guarding the grave take it as an insult and attack them.	41	47	12133
insult	insult_nou	"Jim then withdraws the insult and says that Andy is just ""stupid""."	23	29	6287
insult	insult_nou	Enraged, Rajiv Lochan Ray vowed to take revenge of this insult and destroy the Jagannath temple at Puri.	56	62	6272
insult	insult_nou	Adding insult to injury, the entire 1st squad (with the exception of Pvt.	7	13	12136
insult	insult_nou	This was seen as an affront and insult to Genghis Khan.	32	38	6266
insult	insult_nou	Catherine was the aunt of Charles V, the Holy Roman Emperor, and he took the annulment as a personal insult.	101	107	6322
insult	insult_nou	The AEL considered it blasphemous and as an insult to Islam because according to them, the Qur'an explicitly forbids homosexuality.	44	50	12141
insult	insult_nou	Proprioceptive insult hypothesis: focuses on articular alterations causing hyperactivity of the sensory nerve fibers.	15	21	6301
insult	insult_nou	In the earliest example, the Taiheiki historical epic records bakamono 馬鹿者 being used as an insult in 1342.	98	104	6294
insult	insult_nou	This started off as an insult but grew into a kind of cute and affectionate nickname.	23	29	6278
insult	insult_nou	"His daughter Jen said: ""He saw hunger and poverty as an insult to America."""	56	62	6270
insult	insult_nou	"We won't allow this insult to our religion!"""	20	26	6317
insult	insult_nou	Vowing to take revenge against the insult, the minister goes in search of a foolish groom.	35	41	6312
insult	insult_nou	Man Singh took this as an insult to Akbar and himself.	26	32	6244
insult	insult_nou	Given the interociter's status as something beyond the current understanding of technology, it is unclear how this constitutes an insult.	130	136	6324
insult	insult_nou	"Bertuzzi offered $350,000 to settle the case, an amount which was called ""an insult"" by Moore's lawyer."	77	83	6236
insult	insult_nou	Opponents have called the bank's involvement a 'disgrace' and an 'insult' to the millions who have suffered human rights abuses.	66	72	6318
insult	insult_nou	"By way of metaphor, ""Parthian shot"" also is used to describe a barbed insult, delivered as the speaker departs."	70	76	6315
insult	insult_nou	"The Story Behind Campaign '82's Favorite Insult""."	41	47	6275
insult	insult_nou	"As prisoners now, they are given no special treatment while the crew, Styles included, performs ""Yankee Doodle"" as an insult."	118	124	6292
insult	insult_nou	To add insult to injury, users also disliked the appearance and the look and feel of first-generation online calendars.	7	13	6285
insult	insult_nou	When she went there, her father compounded the insult by totally ignoring her presence and vilifying Shiva.	47	53	6264
insult	insult_nou	The court interpreted the demand for proof of nobility as an insult.	61	67	12137
insult	insult_nou	Note: Constructive criticism should be based on logic and reason and void of insult, humiliation and detrimental effects.	77	83	6319
insult	insult_nou	The Giants added further insult to injury with a four-run seventh.	25	31	6239
insult	insult_nou	The story of a proud woman, her poetic vindication of unfair social insult, and her inevitable sad destiny.	68	74	6299
insult	insult_nou	Acquired Horner syndrome may result after trauma, neoplastic insult, or even vascular disease.	61	67	6253
insult	insult_nou	"It was also an unthinking or calculated insult to Mr Thomas, who spent nine years in prison before being pardoned""."	40	46	6260
insult	insult_nou	With unbearable insult, pain, grief and anger she destroyed everything she saw.	16	22	6293
