homograph	wordid	sentence	start	end	orig_idx
retard	retard_nou	Retard has transitioned from an impartial term to one that is negatively loaded.	0	6	9798
retard	retard_nou	"His letter expressed concern with a tweet Coulter made using ""retard"" to describe President Obama."	62	68	9760
retard	retard_nou	The campaigners are trying to make everyone understand that retard is a derogatory term no matter the context.	60	66	9823
retard	retard_nou	"Hole had previously released two singles, ""Retard Girl"" on Sympathy for the Record Industry and ""Dicknail"" on Sub Pop."	43	49	9813
retard	retard_nou	"Her second dress rehearsal also featured abuse of the floor manager, whom she called a ""fucking retard""."	96	102	9814
retard	retard_nou	"Grisham retaliated with his own retorts, some humorous and some hostile (once calling one TNA fan a ""retard"")."	101	107	9749
retard	retard_nou	"She told me she wanted to do this song called 'Retard Girl' and that intrigued me."""	47	53	9803
retard	retard_nou	Retard was not used to refer to mentally disabled people until 1985.	0	6	9792
retard	retard_nou	Retard when used as a noun is a pejorative word used to refer to people with mental disabilities.	0	6	9755
retard	retard_nou	Eamonn says sorry for calling guest 'retard'.	37	43	12527
retard	retard_nou	It was widely accepted to refer to people who are mentally disabled as mentally retarded, or as a retard.	98	104	9820
retard	retard_nou	"Alone Sang-woo ignores his grandmother, not even wanting to look at her and even calling her a byungshin, or ""retard""."	110	116	9808
retard	retard_vrb	Introducing MWNTs to polymers can improve flame retardancy and retard thermal degradation of polymer.	63	69	9810
retard	retard_vrb	Static magnetic fields, for reasons still unknown, also retard animal development.	56	62	9796
retard	retard_vrb	The topographical setting may either hasten or retard the work of climatic forces.	47	53	12526
retard	retard_vrb	Depending on their size and distribution such particles may act to either encourage or retard recrystallization.	87	93	9816
retard	retard_vrb	In animal studies it has been shown to inhibit prostate size and retard tumor growth.	65	71	12533
retard	retard_vrb	One half-hour later, Captain May had his men felling trees and burning bridges to retard pursuit.	82	88	9791
retard	retard_vrb	These compounds improve the grain refining, and retard recrystallization and precipitation hardening.	48	54	9805
retard	retard_vrb	Some economists and scientists and law professors have raised concerns that patents retard technical progress and innovation.	84	90	9782
retard	retard_vrb	The slope was also designed to retard or stop cannon shot from naval ships.	31	37	9753
retard	retard_vrb	The role of a diffusion barrier is to prevent or to retard the inter-diffusion of the two superposed metals.	52	58	9786
