homograph	wordid	sentence	start	end	orig_idx
animate	animate_adj-nou	For animate nouns, the accusative singular is identical to the genitive singular.	4	11	831
animate	animate_adj-nou	In German heraldry, animate charges in combined coats usually turn to face the centre of the composition.	20	27	827
animate	animate_adj-nou	"This can often involves shifting a modifier from the animate to the inanimate; for example, ""cheerful money""and ""suicidal sky""."	53	60	884
animate	animate_adj-nou	Every noun in Unami and Munsee is categorized as either animate or inanimate.	56	63	825
animate	animate_adj-nou	Local case endings are not normally added to animate Proper Nouns.	45	52	878
animate	animate_adj-nou	Modifiers must agree with the head in animacy and in number if the head is animate.	75	82	812
animate	animate_adj-nou	SingularPluralNote: animate objects (people and animals) are treated differently in the singular masculine accusative.	20	27	839
animate	animate_adj-nou	"Greenwell asserted that the wake must have been caused by an ""animate object"" that was unlike a crocodile or hippo."	62	69	874
animate	animate_adj-nou	In these instances, it is more likely that animate pronouns he or she will be used to represent them.	43	50	875
animate	animate_adj-nou	Different numbers are used for inanimate objects/counting and animate objects (see measure word).	62	69	838
animate	animate_adj-nou	They can change into normal members of human society or any animate/inanimate object.	60	67	828
animate	animate_adj-nou	Homeokinetics treats all complex systems on an equal footing, animate and inanimate, providing them with a common viewpoint.	62	69	816
animate	animate_adj-nou	One group of languages requires both the accompanee and the companion to be either human or animate.	92	99	852
animate	animate_adj-nou	This term can refer to human equivalents of various comparisons of animate and inanimate things.	67	74	848
animate	animate_adj-nou	The two other well known categories namely the animate souls and the inanimate objects are respectively its parts and modifications.	47	54	882
animate	animate_adj-nou	In the column with the masculine forms, the first relates to animate nouns, the second to inanimate nouns.	61	68	890
animate	animate_adj-nou	He has also sired the Group race winners Pelusa, Animate Bio, Lelouch, Trailblazer, Cosmo Nemo Shin and Zennista.	49	56	819
animate	animate_adj-nou	This book of the Duchess is a learned invention and yet a fully animate one.	64	71	821
animate	animate_adj-nou	The only animate things left in the world are machines, who continue their programmed tasks as they slowly deteriorate.	9	16	889
animate	animate_adj-nou	They were grouped into human and non-human (animate and inanimate).	44	51	886
animate	animate_adj-nou	One way to help identify if a noun is animate or inanimate is to look at its plural form.	38	45	885
animate	animate_adj-nou	There are no separate declension paradigms for animate and inanimate nouns in Lithuanian.	47	54	835
