homograph	wordid	sentence	start	end	orig_idx
sow	sow	It feeds on the flowers and buds of various yellow-flowered Asteraceae such as hawksbeards, hawkweeds and sow thistles.	106	109	10164
sow	sow	Vadhirajaru with his divine powers gave some seeds of Brinjal to Mattu Brahmins to sow it.	83	86	10147
sow	sow	To sow dissension among the vassals the Aztecs demanded human victims as part of the annual tribute.	3	6	10132
sow	sow	Attempts by the Arab Higher Committee to sow discord between the units of the ALA were unsuccessful.	41	44	10108
sow	sow	Taiwan enterprises sow opportunity in Fujian, CCTV International, 28 June 2009.	19	22	10129
sow	sow	Let there be a reconciliation of disputes that often sow the seeds of further misfortunes.	53	56	10171
sow	sow	Femme Fatale's second album, As You Sow, So Shall You Reap, was released by Ache in 2002.	36	39	10111
sow	sow	In this regard sow thistles make excellent sacrificial plants.	15	18	10140
sow	sow	It is recommeneded to sow seeds between Feb to the end of October.	22	25	10182
sow	sow	Workers were paid $8 per hour to sow topsoil with the invasive vine.	33	36	10104
sow	sow	This is a dance performed as dancers sow the seeds of rice in the jhums.	37	40	10135
sow	sow	They refuse to put any live animal to death, they sow no corn, and have no dwelling-houses.	50	53	12569
sow	sow	Their goal is to sow the seeds of hope for all to share.	17	20	10168
sow	sow	Jia Xu suggested that Cao Cao pretend to agree to their terms, and then try to sow discord among them.	79	82	10119
sow	sow	On the farm you learn early that you reap what you sow.	51	54	10176
sow	sow	In this environment the plant will self-sow.	40	43	10173
sow	sow	His first invention was a drill-plough to sow wheat and turnip seed in drills, three rows at a time.	42	45	10166
sow	sow	"The song ""Reap What You Sow"" is the first song by Powderfinger to have a music video."	24	27	10179
sow	sow	They plow, sow, weed, harvest and transport crops.	11	14	10183
sow	sow	Sometimes you get right to the edge of it, and sow it back shut and stay on the other side.	47	50	10142
sow	sow	Thus it was prohibited to plow or sow before the first thunder as the earth would be barren.	34	37	10102
sow	sow	Typically men use the kajandu while women sow, replant, spread manure and harvest.	42	45	10178
sow	sow	"You are unwise, you who sow in another's field, to accuse Eros of being a snatch-thief."""	24	27	12572
sow	sow	Behold a sower went forth to sow.	29	32	10184
sow	sow	"Reincarnation exists and karma (""You reap what you sow"") is the explanation for various injustices."	51	54	10124
sow	sow	In doing so, they could sow their knowledge of the Buddha deep into their minds.	24	27	10131
sow	sow	Related to this was his goal to sow the seeds of musical appreciation for future generations.	32	35	10137
sow	sow	"The job MI6 gave to Zaehner in Tehran was ""ugly: to sow chaos in the heart of a sovereign government."""	52	55	10107
sow	sow	Peasants have long-term tenure as long as they sow the land, but they cannot mortgage or sell the use rights.	47	50	10122
sow	sow	It is better to sow the ripe seed, after collection from the plant.	16	19	10114
sow	sow	He was also comparatively adventurous for his time, for example, advising listeners in 1940 to sow a row of garlic.	95	98	10160
sow	sow	He commissioned Edmund Barclay to write the series As Ye Sow which ran for most of 1937.	57	60	12566
sow	sow	Himmler narrowly convinces Hitler it was all merely an attempt to sow distrust between the Allies.	66	69	10115
sow	sow	"The East London Mosque condemned the patrols as ""utterly unacceptable and clearly designed to stoke tensions and sow discord."""	113	116	10154
sow	sow	Known only to each other, the fascists coordinate to sow distrust and install their cold-blooded leader.	53	56	10105
sow	sow	He also stated that Turkey would not give in to efforts to sow division in society.	59	62	10150
sow	sow	She was made by Gargamel as a means to sow unrest in the Smurf village.	39	42	10121
sow	sow	Don't till by that river or sow there (Deuteronomy 21:4).	28	31	10118
sow	sow	Nor was it enough to comb and to sow the materials for a tunic.	33	36	10157
sow	sow	She dresses as Lady and attacks the Shadowmaster's army to sow confusion of where anyone is.	59	62	10130
sow	sow	Allen swapped dogtags with Hobie's body to sow confusion during his escape of the burning helicopter wreckage.	43	46	10163
sow	sow	Squanto had arrived just at the time that the planters were to sow their first crops in the Western Hemisphere.	63	66	10128
sow	sow	Subtropical areas should sow seed once the soil has warmed in the spring.	25	28	10110
sow	sow	She ordered him to dig an acre of land and sow it by evening.	43	46	10127
sow	sow	What you sow, you have to reap.	9	12	12570
sow	sow	"Rabbi Johanan equated ""sowing"" with ""charity,"" as Hosea 10:12 says, ""Sow to yourselves in charity, reap in kindness."""	69	72	12564
sow	sow	Chaos exists only to persist and spread, the Dark Gods delighting only in the destruction and disorder they sow.	108	111	10144
sow	sow	Snipers sow panic in Aleppo as fighting rages.	8	11	10103
sow	sow_nou	"Other names are Windsau (""wind sow""), Kleesau (""clover sow""), Kornsau (""corn sow""), Aumsau (""chaff sow"") or iserne Range (""iron sow"")."	99	102	10180
sow	sow_nou	When the sow discovers the remains of the piglets, she runs madly around the farm squealing.	9	12	10159
sow	sow_nou	Players also avoid confusion by alternatively calling the Ace/Deuce a sau (sow).	75	78	10133
sow	sow_nou	Horses may also experience an overbite/brachygnathism (parrot mouth), or an underbite/prognathism (sow mouth, monkey mouth).	99	102	10112
sow	sow_nou	Nalco manufactures primary aluminium metal in the form of ingots, wire rods, sow moulds, billets and strips.	77	80	10149
sow	sow_nou	"Regan describes the track, ""Sow Mare Bitch Vixen"" as ""a celebration of the femme fatale."""	28	31	10143
sow	sow_nou	It marks the eastern end of the Sow and Pigs Reef.	32	35	10117
sow	sow_nou	It feeds mainly on sow thistles and lettuces but other food plants have been recorded (see list below).	19	22	10109
sow	sow_nou	Originally the reef was exposed and resembled a sow and her litter.	48	51	10153
sow	sow_nou	Strabo was under the impression that the Calydonian Boar was an offspring of the Crommyonian Sow vanquished by Theseus.	93	96	10099
sow	sow_nou	There are rare plants here like the alpine sow-thistle, Turk's cap lily, wolfsbane and sundew.	43	46	10177
sow	sow_nou	Skaters sometimes abbreviate the name of the Salchow to either sal or sow.	70	73	10141
sow	sow_nou	Finally, the flow stops and so does the grunting of the sow.	56	59	10151
sow	sow_nou	"He nicknamed her Mei Zhu, which means ""Beautiful Sow"" (美豬)."	49	52	10162
sow	sow_nou	Also important are the sedges and sow thistles which reproduce easily in areas that are less salty.	34	37	10161
sow	sow_nou	"In ""The Psychiatrist"", he has a row with Sybil during which he calls his wife a 'rancorous, coiffured old sow'."	106	109	10158
sow	sow_nou	She was distraught, and a fairy woman asked what she would give her if she helped the sow.	86	89	10101
sow	sow_nou	His book The Sow — Improving Her Efficiency has been translated into 23 languages.	13	16	10169
sow	sow_nou	"Other names are Windsau (""wind sow""), Kleesau (""clover sow""), Kornsau (""corn sow""), Aumsau (""chaff sow"") or iserne Range (""iron sow"")."	31	34	10165
sow	sow_nou	In 1584 an unknown German in Bergen wrote a curious text called Die Nordische Saw (The Norwegian sow).	97	100	10138
sow	sow_nou	Pedraza lost his second preliminary to Daouda Sow of France by points, 13:9.	46	49	10146
sow	sow_nou	"German for ""Jews' sow"", Judensau was the derogatory and dehumanizing imagery of Jews that appeared around the 13th century."	18	21	10145
sow	sow_nou	"On October 6, a cannon that was dubbed the ""Old Sow"" arrived from Ticonderoga."	48	51	10152
sow	sow_nou	It is also of economic importance in the sow, but, in this species, it is not related to public health.	41	44	10120
sow	sow_nou	The artist was given the choice of a boar, a sow or a ram, and the sow was chosen.	45	48	12571
sow	sow_nou	Soo' is the local derivative for a sow or pig.	35	38	10174
sow	sow_nou	This task involved monitoring, nursing, and taking care of a pregnant sow who is about give birth to piglets.	70	73	10181
sow	sow_nou	The animals' specific name scrofa is Latin for 'sow'.	48	51	10123
sow	sow_nou	While he is distracted by this a sow starts to drink the buttermilk.	33	36	10167
