homograph	wordid	sentence	start	end	orig_idx
sake	sake	After that incident, Gordeau left the Amnesia to pursue revenge for Bob's sake.	74	78	9985
sake	sake	But if I worship You for Your Own sake, grudge me not Your everlasting Beauty.	34	38	9929
sake	sake	During the period of the Muscovite-Lithuanian Wars, a mysterious fool-for-Christ's-sake, appeared in the Monastery of the Holy Trinity.	83	87	9989
sake	sake	Lee Leng accepts the verbal contract for the sake of the Fang Group, despite his feelings for Kajika.	45	49	9944
sake	sake	"The term implies ""effect for effect's sake""."	38	42	10001
sake	sake	Basically, Aristotle claims that potentiality exists for the sake of actuality.	61	65	12548
sake	sake	Kang responded with the remark that his behaviour was only for the sake of the show.	67	71	9981
sake	sake	"Noisecreep's Greg Srisavasdi claimed that ""Go to Hell, for Heaven's Sake"" is ""an aggressive verbal attack on an unnamed recipient""."	68	72	9960
sake	sake	They should stop this hearsay for the sake of the oppressed brothers of Kashmir.	38	42	9926
sake	sake	Was it for the sake of society to which one was under obligations?	15	19	9947
sake	sake	The final cause, is that for the sake of which the statue is made, the (actual) statue.	33	37	9979
sake	sake	"One designer said that during the design process, the Aztek was made ""aggressive for the sake of being aggressive."""	89	93	9977
sake	sake	The better elements in the Remove often help Hazel out of his scrapes for her sake.	78	82	9950
sake	sake	She is in love with Naoya, but regretfully gives up her feelings for Nagisa's sake.	78	82	9967
sake	sake	An infinite game continues play, for the sake of play.	41	45	9942
sake	sake	It's not a case of having a gay kiss just for titillation's sake.	60	64	9974
sake	sake	Vieuxtemps never indulged in sheer virtuosity for its own sake, like some of his predecessors.	58	62	9998
sake	sake	We believe that God has justified all sinners, that is, he has declared them righteous for the sake of Christ.	95	99	9982
sake	sake	The song almost makes reference to the possibility of forgiveness after an infidelity for the sake of the couple.	94	98	9959
sake	sake	"It's time we offer quality in TV content for the sake of actors too""."	49	53	10005
sake	sake	In 1867 his doctor suggested Sabin relocate for the sake of his health.	52	56	9968
sake	sake	For the sake of appearances, the new position was nominally pro tempore, since Tamandaré had virtually been forced to resign.	8	12	9945
sake	sake	But God created gold for the sake of the Tabernacle (for example, in Exodus 26:6) and the Temple.	29	33	9953
sake	sake	Bradford planned to do his best to keep his marriage afloat while Claire tries to stay sober for Daniel's sake.	106	110	9949
sake	sake	Ternberg was a German-friendly person, but for that sake not a Nazi sympathizer, however, deeply conservative and nationalist.	52	56	9955
sake	sake	His movies included The Saxon Charm, Dear Wife, Son of Paleface, Two Flags West, USS Teakettle, and For Heaven's Sake.	113	117	9923
sake	sake	It is also the most sustainable, pleasant, self-sufficient activity; something which is aimed at for its own sake.	109	113	9951
sake	sake	For the sake of form this amendment was formally proposed by Lord Weatherill, Convenor of the Cross-Bench Peers.	8	12	9925
sake	sake	Both Case and Hanabusa proposed that the other drop out for the sake of party unity.	64	68	9971
sake	sake	"She argues that what they have in common is ""existential individualism"", the belief in freedom for freedom's sake."	109	113	9975
sake	sake	Lean shouted at them, 'For God's sake, whistle a march to keep time to.'	33	37	9999
sake	sake	Does he not speak entirely for our sake?	35	39	12546
sake	sake	It is later revealed that she is being used by Kuon for the sake of his unknown goals.	60	64	12549
sake	sake	"He said, ""Mankind does not exist for science's sake, but science should be used to improve the conditions of mankind."""	47	51	12552
sake	sake	She became Chong Ngou-shan's wife for the sake of money.	42	46	9973
sake	sake	As a result, a is usually promoted to in Israeli writing for the sake of disambiguation.	65	69	9928
sake	sake	For the sake of geographical balance, most of these were Italians.	8	12	9935
sake	sake	Satisfaction with the thermal environment is important for its own sake and because it influences productivity and health.	67	71	10000
sake	sake	Whatever repercussions come, I'm willing to be on that chopping block for entertainment's sake.	90	94	9922
sake	sake	Description for description's sake, especially in studied verse, is rarely a vitalized form of literature.	30	34	9970
sake	sake	"The gloves are off in songs such as ""Cut Me Loose"", ""For Goodness Sake"" and ""Solo""."	66	70	9957
sake	sake	You're in a nightclub, for God's sake.	33	37	9965
sake	sake	Everyone must fight for the sake of survival!	28	32	9939
sake	sake	In the early days his mentor Frans van Schooten was cautious for the sake of his reputation.	69	73	9976
sake	sake	But Manikam bears it for the sake of his brother without any retaliation.	29	33	9988
sake	sake	For the sake of Mathilde, Prudence reluctantly agrees, breaking her promise to Tony.	8	12	12544
sake	sake	It may be compared to free writing, or writing for its own sake, instead of writing to produce verbal context.	59	63	9921
sake	sake	When Alan reflects on his behavior he wants Carol back for the sake of the children.	63	67	10007
sake	sake	This section drawn from Art for History's Sake by Steinfelt.	42	46	9963
sake	sake	We don't change a car for the sake of change.	30	34	9932
sake	sake	This is used when he ultimately has to defeat his master for the sake of love.	65	69	9992
sake	sake	"One common thread is the issue of ""forgetting the past for the sake of moving to a brighter future."""	63	67	9997
sake	sake	Appointed Director in January 1992, Jacques Ricard again changed the structure of IJM for the sake of thematic consistency.	94	98	9941
sake	sake	For the sake of her father, the princess happily agreed to Hans's deal.	8	12	9936
sake	sake	Palermo kept the murder quiet for the sake of fellow DeCavalcante mobster Riggi, who was Colicchio's brother-in-law.	38	42	12551
sake	sake	The coalescence is not simply for the sake of alliterative effect.	38	42	9962
sake	sake	"As the old legend says: ""For the sake of Rome, brother shall fight against brother."""	33	37	10002
sake	sake	For the sake of clarity, each group's exodus is described separately here, although their fate shared many common elements.	8	12	9969
sake	sake	Men need counsel and men need help, often special help; and all this ought to be rendered for decency's sake.	104	108	9983
sake	sake	"But we try and do things properly and for Luke's sake I left him out""."	49	53	9924
sake	sake	"He said, ""I don't want to be a celebrity for the sake of being a celebrity."	49	53	9980
sake	sake	Jonathan was the father of Mephibosheth, to whom David showed special kindness for Jonathan's sake (2 Samuel 9).	94	98	9930
sake	sake	It is a tragedy that ends with an individual sacrifice for the sake of the communal benefit.	63	67	9920
sake	sake	He wants to be terrible for the sake of freedom.	32	36	9948
sake	sake	"As she wrote, ""I wish woman to live, first for God's sake."	53	57	9934
sake	sake	For the sake of simplicity we consider a perturbation with only off diagonal elements.	8	12	9972
sake	sake_jp	They sing the dosojin song while drinking large amounts of sake.	59	63	12545
sake	sake_jp	One evening a drunk customer comes to the eatery demanding sake.	59	63	9966
sake	sake_jp	Walking on the street while drinking sake, Yoshida passes out from an attack of abdominal pain.	37	41	12553
sake	sake_jp	However, he was then given sake and assassinated by the prince he had betrayed his master for.	27	31	9954
sake	sake_jp	Loving sake, savoring sake, enjoying sake is not so bad.	37	41	9995
sake	sake_jp	In addition, some customers refused to buy sake created by a woman.	43	47	12550
sake	sake_jp	Sake sets are commonly ceramic, but may be wood, lacquered wood, glass or plastic.	0	4	9938
sake	sake_jp	You can eat it with Japanese Sake, put it in Ocha-zuke, rice with Japanese tea, or put it in miso-soup.	29	33	9984
sake	sake_jp	The motif is Asian luxury with high end amenities, including a sake bar and strict security which uses optical scanners.	63	67	9986
sake	sake_jp	Most products are teacups, teapots, flower vases, and sake vessels.	54	58	9940
sake	sake_jp	Yau also served as consultant on the Japanese restaurant Sake no Hana in St James, London.	57	61	9919
sake	sake_jp	Sake cups left at each murder scene links the three together in a serial murder case.	0	4	9993
sake	sake_jp	Sakawa is famous for the production of Tsukasabotan, a type of sake.	63	67	9996
