homograph	wordid	sentence	start	end	orig_idx
blessed	blessed_adj	For instance, Saint Kateri Tekakwitha was especially honored in the United States and Canada during her time as Blessed.	112	119	1498
blessed	blessed_adj	Edessa thus became the blessed city by possessing the greatest pearl India could yield.	23	30	1449
blessed	blessed_adj	Church of the Visitation of the Blessed Virgin Mary is a church off NE 56 in O'Connor, Nebraska.	32	39	1502
blessed	blessed_adj	"The Christian ""proof of strength"" is ""Belief makes blessed: thus it is true."""	51	58	1468
blessed	blessed_adj	In September 1973, the funeral for John Ford, Hollywood's most honored film director, was held at Blessed Sacrament.	98	105	1472
blessed	blessed_adj	Ironically, a Norfolk parochial school, Blessed Sacrament, had accepted its first black pupil in November 1953, even before Brown.	40	47	1457
blessed	blessed_adj	The name is French for Elysian Fields, the place of the blessed dead in Greek mythology.	56	63	1451
blessed	blessed_adj	Theologians, therefore, generally hold that the heaven of the blessed is a special place with definite limits.	62	69	1459
blessed	blessed_adj	It also contains paintings by Biagio Miniera, and Nicola Monti (depicting the Blessed Beato Corrado).	78	85	1460
blessed	blessed_adj	The 4th year sections are named after the titles of the Blessed Virgin Mother.	56	63	1453
blessed	blessed_adj	There died the blessed man Simon, doorkeeper of Qedar, brother of Thomas the priest.	15	22	1471
blessed	blessed_adj	The dean and chapter are based at the Cathedral Church of the Blessed Virgin Mary in Truro.	62	69	1505
blessed	blessed_adj	"The Council of Ephesus condemned Nestorianism and affirmed the Blessed Virgin Mary to be Theotokos (""God-bearer"" or ""Mother of God"")."	63	70	1507
blessed	blessed_adj	The recently renovated Cathedral of the Blessed Sacrament located at 11th and K Streets.	40	47	1436
blessed	blessed_adj	This is an allegory for Nocturnal Adoration of the Blessed Sacrament.	51	58	1456
blessed	blessed_adj	"The Church of Springfield is incarnated as a ""blessed community of faith"" with no ""fences of creed."""	46	53	1491
blessed	blessed_adj	On September 3, 2011, the Cathedral played host to a Votive Mass in honour of the Blessed Virgin Mary.	82	89	11601
blessed	blessed_adj	However, the Blessed Soul has not been considered one of Bernini's finest works in more recent times.	13	20	1445
blessed	blessed_adj	Today this chapel holds the Blessed Sacrament and the Holy Cross of the Basilica.	28	35	1467
blessed	blessed_adj	It is claimed that she developed a mysterious awareness of the Blessed Sacrament.	63	70	11606
blessed	blessed_adj	After the Battle of Lepanto in 1521, Pope Pius V instituted the feast of the Blessed Virgin Mother of Victory.	77	84	11600
blessed	blessed_adj	The school name was changed to Blessed Cardinal Newman in February 2011.	31	38	1444
blessed	blessed_adj	Blessed Hope follows the basic subjects prescribed by the Philippine Department of Education in both the Elementary and Secondary levels.	0	7	1513
blessed	blessed_adj	So weep for the blessed, favoured by God, man of piety,supporter of right and guided with guidance.	16	23	1465
blessed	blessed_adj	As master, he was a proponent of popular preaching along the lines of the Congregation of the Blessed Sacrament.	94	101	1463
blessed	blessed_adj	The private schools Madrona School and Blessed Sacrament School also find their home in the neighbourhood.	39	46	1432
blessed	blessed_adj	Blessed John Paul II elevated it to a Vicariate Apostolic on 13 February 2001.	0	7	1506
blessed	blessed_adj	On his left the Blessed Virgin Mary and Saint Augustine were painted.	16	23	1478
blessed	blessed_adj	The Blessed Virgin Mary, the mother of Jesus, has an important role in the spirituality of the Order.	4	11	1462
blessed	blessed_adj	Southwell's Of the Blessed Sacrament of the Altar, unpublishable in England, appeared in a broadsheet published at Douai in 1606.	19	26	1508
blessed	blessed_adj	The south transept contains the church sacristy, with the north transept a chapel dedicated to the Blessed Virgin Mary.	99	106	1446
blessed	blessed_adj	He kissed the blessed feet of Hadrat and exhaled 3 times, before coming down and leaving.	14	21	1458
