homograph	wordid	sentence	start	end	orig_idx
separate	separate_adj	Westisle receives its students from two separate intermediate schools, Merritt E. Callaghan Intermediate School and Hernewood Intermediate School.	40	48	10012
separate	separate_adj	The station consists of two separate sections, one for each line, at the same level and 150 metres apart.	28	36	10025
separate	separate_adj	He was transferred to command the 56th Army (initially a separate army) in late October.	57	65	10095
separate	separate_adj	In this stream there are two targets, each of which requires a separate response.	63	71	10081
separate	separate_adj	Twello was a separate municipality until 1818, when it was merged with Voorst.	13	21	10008
separate	separate_adj	Subsequently, molecular phylogenetic studies demonstrated that Griffineae was a distinct and separate tribe.	93	101	10082
separate	separate_adj	Harbor security was maintained by a completely separate command chain and did not operationally involve the port commander.	47	55	10093
separate	separate_adj	There is a separate Governing Council consisting of academia and corporate leaders to advise the Board of Management.	11	19	10059
separate	separate_adj	In the third form, class sizes are made smaller for the Sciences as three separate science courses are offered.	74	82	10090
separate	separate_adj	Polaris began releasing promotional split seven-inch singles beginning in 2012 which were separate from the souvenir program guides.	90	98	10071
separate	separate_adj	They later ruled if two separate inserts were used, it would conform to the rules.	24	32	10098
separate	separate_adj	Works of certain international organisations also qualify for protection under separate provisions in the 1988 Act.	79	87	10097
separate	separate_adj	"The Auto Academy still maintains its separate residence on Hanson St. and the ""old"" main building still sits unoccupied."	37	45	10077
separate	separate_adj	As is tradition, the mosque has separate entrances and rooms for men and women.	32	40	10085
separate	separate_adj	It also issued separate guidelines for foreign-funded payment institutions.	15	23	12562
separate	separate_adj	It had separate Tx and Rx antennas, combined in Type 279M to single antenna operation.	7	15	10032
separate	separate_adj	Separate parking fees must be paid for the park and the falls.	0	8	10057
separate	separate_adj	It was considered a separate service from special delivery.	20	28	10084
separate	separate_adj	Modern molecular evidence supports the recognition of Phaeonematoloma as an independent genus separate from Hypholoma and Pholiota.	94	102	10055
separate	separate_adj	It has 19 separate general population housing units with 596 dormitory beds and 897 confined cell beds.	10	18	10013
separate	separate_adj	He claimed they served as, and promoted, exactly the type of separate abolitionism he was fighting against.	61	69	10035
separate	separate_adj	The DuPage Airport Authority owns 2,800 acres (1,100 ha) and operates four separate business units.	75	83	10051
separate	separate_adj	Ambushed and aggressively attacked, these two companies were also pinned down in separate enclaves by the early afternoon.	81	89	10074
separate	separate_adj	They have been classified as a separate phylum, Pogonophora, or as two phyla, Pogonophora and Vestimentifera.	31	39	10079
separate	separate_adj	The European Community originally consisted of three separate Communities founded by treaty.	53	61	10075
separate	separate_adj	The elementary school was last given separate accountability ratings in 2007.	37	45	10015
separate	separate_adj	Molecular analyses have confirmed their identity as separate species and breeding experiments have shown that they do not produce hybrids.	52	60	10050
separate	separate_adj	The wheel was sprung and had its own wheel housing, separate from the internal fuselage space.	52	60	10042
separate	separate_adj	Jamia Nadwiyya is a residential campus having separate hostel facility for both boys and girls.	46	54	10083
separate	separate_adj	Leftist uprisings and/or a separate peace by these States were feared.	27	35	10027
separate	separate_adj	Traditionally, they have been divided into eleven separate series:Maynard's Reports, temp.	50	58	10010
separate	separate_adj	"Avoca came from the Indian word, ""where separate waters come together""."	40	48	12558
separate	separate_adj	Since 2008, four editions of two separate events have been organized each year.	33	41	10026
separate	separate_adj	Over the years, there were three separate Methodist churches located within North Augusta.	33	41	10047
separate	separate_adj	People from Our Lady's Nativity parish also have their own identity separate from people in the Confey parish.	68	76	10016
