homograph	wordid	sentence	start	end	orig_idx
produce	produce_nou	Japan, France and the Republic of Korea also contributed, producing 261 000, 238 000 and 115 000 tonnes produce, respectively.	104	111	8564
produce	produce_nou	Altogether, there are more than 123 sugar-producing countries, but only 30% of the produce is traded on the international market.	83	90	8646
produce	produce_nou	Aquaculture has been identified as a critical industry, due to the popularity of its produce and the declining yields world-wide.	85	92	12398
produce	produce_nou	In the 1960s, he was the largest licensed produce buying agent of groundnut in Nigeria.	42	49	12392
produce	produce_nou	To impart education in regulated marketing of agricultural produce.	59	66	8606
produce	produce_nou	"The pupils plans to use produce grown in the gardens in school meals and projects."""	24	31	8604
produce	produce_vrb	In order to produce a follow-up picture, Raimi needed nearly $150,000.	12	19	8613
produce	produce_vrb	The backers were impressed, and contracts were drawn up to produce 50 units.	59	66	8584
produce	produce_vrb	This to have hind legs suitable to produce cured ham.	35	42	8643
produce	produce_vrb	Degraide would produce one album, a high-energy rock project, and Cosper would helm the second one, an earthy, Americana record.	15	22	8617
produce	produce_vrb	Hanhart used a complex layering of tint stones, to produce work unique in colouration and tonal values.	51	58	8612
produce	produce_vrb	At Turner Upfront TNT has announced to produce a pilot for a US remake of the German series.	39	46	8602
produce	produce_vrb	They also produce additional products and accessories such as fireplace inserts, free-standing stoves, gas log sets, and venting products.	10	17	8641
produce	produce_vrb	The immediate interpretant is a quality of impression which a sign is fitted to produce, a special potentiality.	80	87	8589
produce	produce_vrb	They produce a stomach oil made up of wax esters and triglycerides that is stored in the proventriculus.	5	12	8607
produce	produce_vrb	This in turn is expected to produce more spiritual seeking, although not exclusive to religious institutions.	28	35	8624
produce	produce_vrb	Trophozoites then mature to schizonts which divide several times to produce new merozoites.	68	75	8618
produce	produce_vrb	Feather obtained the first evidence that neutrons can produce nuclear disintegrations.	54	61	8599
produce	produce_vrb	The fuel should have high heat of combustion and produce oxides with low melting point and high boiling point.	49	56	8596
produce	produce_vrb	This stem cell can produce red blood cells, platelets, mast cells, dendritic cells, macrophages, lymphocytes, neutrophils, basophils, and eosinophils.	19	26	8592
produce	produce_vrb	They have a compact body and produce an average of one liter of milk each day.	29	36	8591
produce	produce_vrb	Females produce litters of one to six young either annually or biennially.	8	15	8625
produce	produce_vrb	Talks broke down after more than 20 straight days of bargaining failed to produce a new contract.	74	81	8593
produce	produce_vrb	More than 600 NPAs associated with either NIB or SourceAmerica produce products and services under the AbilityOne Program.	63	70	8644
produce	produce_vrb	The same bacteria (and the enzymes they produce) also play a large role in the eventual flavor of aged cheeses.	40	47	8626
produce	produce_vrb	Prism rotators use multiple internal reflections to produce beams with rotated polarization.	52	59	8603
produce	produce_vrb	In December 2008, Dynamite partnered with Wizard Magazine to produce a special #½ issue.	61	68	8649
produce	produce_vrb	CPB was created and funded by the federal government; it does not produce or distribute any programming.	66	73	8642
produce	produce_vrb	Everton was the first club to produce regular match programmes.	30	37	8629
produce	produce_vrb	The map was drawn at twice final map scale, and photographically reduced to produce the five film positives for printing.	76	83	8633
produce	produce_vrb	Yamano Hajime, using the pen-name Nekojiru-y, took over Nekojiru's world, and continues to produce new works.	91	98	8583
produce	produce_vrb	Modern calculations place the amount of water needed to produce one ton of cane at 3-10 cubic meters.	56	63	8628
produce	produce_vrb	Male fetuses produce H-Y antigens which may be involved in the sexual differentiation of vertebrates.	13	20	8579
produce	produce_vrb	The palm tree forests produce ample fruit that attracts oilbirds.	22	29	8615
produce	produce_vrb	It can also produce high quality oil, but this is hard to extract.	12	19	8634
produce	produce_vrb	P. lutea can produce multiple flower stalks in spring and can reach as high as 50 cm.	13	20	8581
produce	produce_vrb	"Actress/director Delpy re-teamed with Polaris Film to produce the ""atypical sequel."""	54	61	12401
produce	produce_vrb	The screenplay by Jonathan Stokes was purchased by After Dark Films in 2011 for Joel Silver to executive produce.	105	112	8574
produce	produce_vrb	These elements blend in the right proportions to produce a rather affecting song.	49	56	8577
produce	produce_vrb	The Stage 2 committees, unlike the Stage 1 committees, do not produce a report on the Bill.	62	69	8609
produce	produce_vrb	Selling index options 12 times per year can produce significant income.	44	51	8616
produce	produce_vrb	This school would go on to produce fifty world champions and two Olympic champions.	27	34	8620
produce	produce_vrb	"Hanouna created ""H2O Production"" in April 2010 in order to produce his own TV program."	59	66	8639
produce	produce_vrb	However, the project was abandoned as Uto's forces harassed the Spanish, gathering the metal used in construction to produce krises.	117	124	8645
produce	produce_vrb	Mice that produce the soluble SCF but not transmembrane SCF suffer from anemia, are sterile, and lack pigmentation.	10	17	8648
produce	produce_vrb	This may produce severe adverse effects or even death.	9	16	8652
produce	produce_vrb	Coronado students produce a weekly television show for the student body, which is downloadable from the school's podcast.	18	25	8585
produce	produce_vrb	Power: He can produce high voltages of electricity, as well as absorb it.	14	21	8580
produce	produce_vrb	He also contributes to or helps produce other Washington D.C.-area recordings.	32	39	8610
produce	produce_vrb	Their vision was to produce a woodland garden, composed of many individual gardens.	20	27	8572
produce	produce_vrb	However, when a larger quantity was required the army improvised, using a local dye to produce uniform locally.	87	94	8623
produce	produce_vrb	This season featured 19 half-hour segments which were combined and aired to produce 14 distinct episodes, directed by 11 directors.	76	83	8635
produce	produce_vrb	The Mission enlisted the help of John Paul Jones to produce their second album Children, engineered by Mark 'Spike' Stent.	52	59	8608
produce	produce_vrb	In 1993 Donruss acquired the rights to produce hockey cards.	39	46	12399
produce	produce_vrb	The flowers produce abundant nectar and attract insects and birds.	12	19	8590
produce	produce_vrb	This practice originates from the belief the person's dead spirit may need to produce payment into the spirit realm.	78	85	12393
produce	produce_vrb	Male plants produce staminate flowers 2 or 3 millimeters wide and female plants produce slightly larger pistillate flowers.	12	19	8619
produce	produce_vrb	China learned from India how to produce sugar and began trading it to Japan.	32	39	8565
produce	produce_vrb	Burton was set to co-write and co-produce the film, with a possibility to direct.	34	41	8627
produce	produce_vrb	Inspired by Dorothea Lange, she began to produce informative social reform photographs.	41	48	8605
produce	produce_vrb	Gloster therefore embarked on a redesign programme to produce a new version of the Meteor with better performance.	54	61	8588
produce	produce_vrb	Algaculture could potentially produce far more oil per unit area.	30	37	8614
produce	produce_vrb	The extreme astrophysical event of a supernova can produce enough energy to fuse nuclei into elements heavier than iron.	51	58	12395
produce	produce_vrb	The surrounding areas produce wheat and other cereal crops.	22	29	8578
produce	produce_vrb	The kidneys produce their own natriuretic 32-residue peptide.	12	19	8598
produce	produce_vrb	Pharmaceutical companies which produce antivenom target their products against the species native to a particular area.	31	38	8587
produce	produce_vrb	In 2014, Eastham collaborated with opera singer Tony Henry to compose, record and produce the EP Percosi.	82	89	8586
produce	produce_vrb	This forces the plant to produce side branches that produce fruit much sooner and more flowers and more fruit.	52	59	8636
produce	produce_vrb	The film took 18 months to produce.	27	34	8611
produce	produce_vrb	On January 20, 2012 Screen Gems Production asked to co-produce the film in place of MTV Films.	55	62	8566
produce	produce_vrb	They then produce samizdat literature that breathes hatred against everything human and to the Soviet Union especially.	10	17	8582
produce	produce_vrb	Artist Michael Green worked with Coleman Barks to produce illustrated version of Rumi's works.	50	57	8631
produce	produce_vrb	Buttons are chewed to produce the effects or soaked in water to drink.	22	29	8630
produce	produce_vrb	These active cells produce collagenous fibers and ground substance.	19	26	8651
produce	produce_vrb	In the fall of 2000, Romp.com signed a development deal with Mandalay Sports Entertainment to produce reality game shows.	94	101	12394
produce	produce_vrb	While working in this company, she learned how to produce videos.	50	57	8573
produce	produce_vrb	Frequently, bricklayers laid the bricks in such a way as to produce dentils in the courses.	60	67	8568
produce	produce_vrb	Plants grow from egg-shaped tubers that produce short runners and a basal rosette of leaves.	40	47	8571
produce	produce_vrb	He argued that these changes would be inherited by the next generation and produce slow adaptation to the environment.	75	82	8600
produce	produce_vrb	First, courts require that the defense produce some evidence to support an allegation of UCI.	39	46	8576
