homograph	wordid	sentence	start	end	orig_idx
degenerate	degenerate_adj-nou	The Degenerate Art Exhibition, organised by Goebbels, ran in Munich from July to November 1937.	4	14	3584
degenerate	degenerate_adj-nou	If one of the four fields is degenerate, then the corresponding conformal blocks obey BPZ equations.	29	39	3581
degenerate	degenerate_adj-nou	Victorian sensibilities were outraged by women working at pits and dressing in trousers was considered to be unfeminine and degenerate.	124	134	3602
degenerate	degenerate_adj-nou	He was named Professor in 1928 - and a degenerate artist in 1937.	39	49	3645
degenerate	degenerate_adj-nou	The case of S is degenerate; S is projected to itself, along a circle of radius 0.	17	27	3652
degenerate	degenerate_adj-nou	For nonlinear problems (nonlinear diffusion, degenerate parabolic problems.	45	55	3603
degenerate	degenerate_adj-nou	Lombroso also listed the features of the degenerate mentality, supposedly released by the disinhibition of the primitive neurological centres.	41	51	3621
degenerate	degenerate_adj-nou	Frequent dynastic quarrels also contributed to the view among Jews of later generations that the latter Hasmoneans were degenerate.	120	130	3641
degenerate	degenerate_adj-nou	"Hildebrand acquired an additional 115 works of ""degenerate art"" in the same way in 1941."	48	58	3643
degenerate	degenerate_adj-nou	Wide gap p-type degenerate semiconductor: Mg-doped LaCuOSe.	16	26	3658
degenerate	degenerate_adj-nou	"Thirteen of her paintings were judged to be ""degenerate"" in 1937 by the Nazi regime and were confiscated."	45	55	11840
degenerate	degenerate_adj-nou	One way of eliminating the degenerate conics is to blow up P⁵ along the Veronese surface.	27	37	11844
degenerate	degenerate_adj-nou	Hence modern authors allow the degenerate Boolean algebra and let X be empty.	31	41	3624
degenerate	degenerate_adj-nou	Frank, a degenerate gambler, asks Bathsheba for £20 and she refuses, saying the money is for farm expenses.	9	19	3619
degenerate	degenerate_adj-nou	Therefore, the formerly degenerate energy levels will split into slightly lower and slightly higher energy levels.	24	34	3650
degenerate	degenerate_adj-nou	Collapse of massive non-degenerate cores will ignite further fusion.	24	34	3594
degenerate	degenerate_adj-nou	Elsewhere it is reported of that son that he became a degenerate, associating with bandits.	54	64	3646
degenerate	degenerate_adj-nou	Of course, backface culling can not be used with degenerate and unclosed volumes.	49	59	3634
degenerate	degenerate_adj-nou	Cooling fermions to extremely low temperatures has created degenerate gases, subject to the Pauli exclusion principle.	59	69	3657
degenerate	degenerate_adj-nou	These degenerate cases are usually only used when the summation notation gives a degenerate result in a special case.	6	16	11845
degenerate	degenerate_adj-nou	This kind of situation is called a degenerate critical point.	35	45	3600
degenerate	degenerate_adj-nou	After a star has finished generating energy through thermonuclear fusion, it evolves into a more compact, degenerate state.	106	116	3596
degenerate	degenerate_adj-nou	"However, the Nazis had burned nearly 4000 works of German ""degenerate"" art in Berlin in 1939."	59	69	3591
degenerate	degenerate_adj-nou	In such a degenerate case, the solution set is said to be degenerate.	58	68	3611
degenerate	degenerate_adj-nou	We assume that γ(I) is a non-degenerate curve (in the sense of Nomizu and Sasaki), i.e. is without inflexion points.	30	40	3663
degenerate	degenerate_adj-nou	In inversive geometry, a line is a degenerate case of a circle, with infinite radius.	35	45	3648
degenerate	degenerate_adj-nou	The degenerate electrons in the bulk of a white dwarf conduct heat well.	4	14	3653
degenerate	degenerate_adj-nou	The society of Bellamira is morally corrupt and profit-seeking, degenerate, cunning and violent.	64	74	11843
