homograph	wordid	sentence	start	end	orig_idx
invite	invite_nou	The group's board was invited to the invite-only launch of the kits and logo to be used in MLS.	37	43	6652
invite	invite_nou	Despite the success, the Rams didn't get a bowl invite that season.	48	54	6605
invite	invite_nou	Aust wins invite to next year's ASEAN summit.	10	16	6639
invite	invite_nou	Chambers did not impress the Eagles personnel enough to receive an invite to the Eagles mini-camp.	67	73	6625
invite	invite_nou	The events are invite only and are designed to introduce alternative protein sources as well as celebrate native eating traditions.	15	21	6659
invite	invite_nou	Wishart returned to music in 2007, accepting an invite from Don Falcone of Spirits Burning.	48	54	6598
invite	invite_nou	Due to limited availability, the phone could initially only be purchased through an invite system.	84	90	6662
invite	invite_nou	No invite had been extended to either them or Liverpool who had finished bottom of the first division.	3	9	6604
invite	invite_nou	Undrafted by a National Hockey League (NHL) club, Tessier earned an invite to the Montreal Canadiens training camp in 2000.	68	74	6657
invite	invite_nou	The game originally gave an automatic invite to a team from the now-defunct Southwest Conference (SWC).	38	44	6600
invite	invite_nou	On November 26, 2011, the Louisiana Tech Bulldogs accepted an invite to represent the WAC.	62	68	6667
invite	invite_nou	On May 9, 2007, Lansdale Catholic administrators announced that they have accepted an invite to the Philadelphia Catholic League.	86	92	6634
invite	invite_nou	This victory earned Scherr an invite to the 2013 Arnold Strongman Classic.	30	36	6628
invite	invite_nou	They also host an annual invite at the Upper Valley Aquatic Center in nearby White River Junction VT.	25	31	6621
invite	invite_nou	The deal included an invite to major league spring training.	21	27	12175
invite	invite_nou	This victory earned him his pro strongman card, as well as an invite to the 2011 Arnold Strongman Classic.	62	68	6637
invite	invite_nou	Signed free agent IF Andy LaRoche to a minor league deal with an invite to big league camp.	65	71	6643
invite	invite_vrb	After Secretariat's loss in the Whitney, the field was expanded to invite top horses from across the country.	67	73	6650
invite	invite_vrb	"His last line of operations was to invite young boys and scholars attending school to his rooms to supper."""	35	41	6644
invite	invite_vrb	Bloc Party would also invite Sluts of Trust to support them on a European tour later that year.	22	28	6656
invite	invite_vrb	It is this world that I invite you to read and look to still dream a little, together.	24	30	6646
invite	invite_vrb	They decide on a small country church and invite all family and friends.	42	48	6594
invite	invite_vrb	The Midsomer Worthy Writer's Circle, a group of amateur novelists, invite celebrated author Max Jennings along as a special guest.	67	73	6681
invite	invite_vrb	Jerry and Kramer switch apartments, and Kramer takes the opportunity to invite Newman over.	72	78	6623
invite	invite_vrb	The two proceed to invite people who pass by into their house for a meal.	19	25	6669
invite	invite_vrb	"They invite Rosie to be the ""best man"" at their wedding."	5	11	6680
invite	invite_vrb	The mall management, with their media contacts, were able to invite newspapers, radio, and television to cover the event.	61	67	6633
invite	invite_vrb	Any interruption of the refrigeration, however, could invite bacterial contamination to grow.	54	60	6675
invite	invite_vrb	He later would invite Adam Lazzara to join the band.	15	21	6608
invite	invite_vrb	Before leave the store, Faye convinces Cassie to invite Luke (Zachary Abel) to the party as her date.	49	55	6612
invite	invite_vrb	Lulu wanted to invite the parents of the national under-17 players to verify their sons' ages.	15	21	6641
invite	invite_vrb	"American Express sent letters to some previous customers: ""We invite you to apply for the Optima Card from American Express."	62	68	6614
invite	invite_vrb	The students invite their parents, other relatives and friends to come to the ball with them.	13	19	6595
invite	invite_vrb	Perperna then proceeded to invite Sertorius to a feast to celebrate a supposed victory.	27	33	6626
invite	invite_vrb	Instead, they opted to create a new league, the NHL, and did not invite Livingstone to join them.	65	71	6620
invite	invite_vrb	Lastly, players can form guilds and invite other players to join.	36	42	6649
invite	invite_vrb	Now Thaitanium invite Nas that is the best of the hip hop band from USA.	15	21	6642
invite	invite_vrb	Aspiring career women needed a place where they could entertain without having to invite people to their homes.	82	88	6673
invite	invite_vrb	The Discovery of Grounded Theory was meant to invite and motivate people to use the newly developed methodology.	46	52	6640
invite	invite_vrb	The selection panel then invite the applicants to interviews which are held over two weeks.	25	31	6610
invite	invite_vrb	Paige's birthday is approaching and she requests to invite Pastor Tim and his wife to dinner.	52	58	6627
invite	invite_vrb	Team Finlands coach Mauro Berruto did not invite him to the camp of the National team in Kuortane.	42	48	6638
invite	invite_vrb	He was first to invite noted architect, Le Corbusier to India, who later did many works in India.	16	22	6616
invite	invite_vrb	Morgan had admitted that he wanted the job permanently, but the club opted to invite applications from experienced candidates.	78	84	6619
invite	invite_vrb	At the time, the band was changing, and Fiuk decided to invite Max for an audition to know him better.	56	62	6611
invite	invite_vrb	You invite him to dinner and his friends talk easily into the night after everyone else has gone.	4	10	6663
invite	invite_vrb	"Shiva smiled and said to him: ""I cannot come, but you can invite my son Ganesha."	58	64	6596
invite	invite_vrb	Ansari frequently performed at the Upright Citizens Brigade Theatre, as well as weekly shows such as Invite Them Up.	101	107	6674
