homograph	wordid	sentence	start	end	orig_idx
implement	implement_nou	The implement is thrown using one hand only, but otherwise using any technique.	4	13	5682
implement	implement_nou	The SunHammer proved to be the implement of the Trow's destruction.	31	40	5613
implement	implement_nou	An obstetrical implement known as a pince de Bar (an umbilical cord clamp) is named after him.	15	24	5651
implement	implement_nou	Along with his father, he operated George Dow and Sons Mill, and later the Cockshutt farm implement business.	90	99	12071
implement	implement_nou	"General George S. Patton called it ""the greatest implement of battle ever devised."""	49	58	5643
implement	implement_nou	Farm Implement and Machinery Review, Volume 80, Part 2 (Obituaries).	5	14	5677
implement	implement_nou	It changed its name to the Moline Implement Company to reflect this.	34	43	5625
implement	implement_nou	He found employment with Robinson Bros., implement makers of Melbourne.	41	50	5630
implement	implement_vrb	Congress is still considering legislation that would implement something similar to the Broadcast Flag.	53	62	5660
implement	implement_vrb	They also work with schools in the US and around the world, to help teachers implement the lesson plans.	77	86	5623
implement	implement_vrb	Synthavision was one of the first systems to implement a ray-tracing algorithmic approach to hidden surface removal in rendering images.	45	54	5658
implement	implement_vrb	They had to make governments see them as legitimate citizens with knowledge and capacities to implement solutions.	94	103	5666
implement	implement_vrb	To implement the system, the army contracted Bell Laboratories and they developed a system called SIGSALY.	3	12	5629
implement	implement_vrb	The first SLR to implement trap focusing was the Yashica 230 AF.	17	26	5681
implement	implement_vrb	Similar effects are easily implement on modern GPUs in pixel shaders.	27	36	5645
implement	implement_vrb	It also requires each signatory state to implement certain procedural mechanisms within their laws.	41	50	5668
implement	implement_vrb	He urged FEMA to implement the reforms at a quicker pace.	17	26	5634
implement	implement_vrb	CDCL SAT solvers implement DPLL, but can learn new clauses and backtrack non-chronologically.	17	26	5686
implement	implement_vrb	Prior to the election, the PQ renounced its intention to implement sovereignty-association if it won power.	57	66	5665
implement	implement_vrb	To overcome the limitations, the PlayStation version had to implement a new gameplay mode called Cross Over.	60	69	5697
implement	implement_vrb	Foundation is modular and consists essentially of a series of Sass stylesheets that implement the various components of the toolkit.	84	93	5664
implement	implement_vrb	After the review of the information, the district was not required to implement the recommended cost savings changes.	70	79	5624
implement	implement_vrb	In December 1994, the Ministry of Environment was given greater authority to establish and implement its own policies.	91	100	5659
implement	implement_vrb	Bishop O'Hara worked hard to implement CCD throughout his diocese, and the United States.	29	38	5695
implement	implement_vrb	In 1983, North Charleston became the first city in South Carolina to implement a computer-aided dispatch system.	69	78	5676
implement	implement_vrb	West Manheim Elementary School received $5,095 to implement a Fitness Fundamentals program.	50	59	12067
implement	implement_vrb	This required the monks to return to their normal lives and government and its officials to implement its promises.	92	101	5653
implement	implement_vrb	Sub-section (1) allows The Crown to implement United Nations Security Council Resolutions without the official approval of Parliament.	36	45	5691
implement	implement_vrb	Guerrero's death due to his drug addictions caused WWE to implement WWE Wellness Policy to prevent wrestlers from taking drugs.	58	67	12064
implement	implement_vrb	Common uses include water, sewage, petroleum and petrochemical pumping; a centrifugal fan is commonly used to implement a vacuum cleaner.	110	119	5628
implement	implement_vrb	Greek authorities decided to implement a 1999 law which stipulates that all brothels must have permits.	29	38	5644
implement	implement_vrb	States may implement their own NICS programs.	11	20	5655
implement	implement_vrb	In Linux, there is a project that attempts to implement LOMAC policy.	46	55	5657
implement	implement_vrb	NIMH (National Institute of Mental Health) continued to implement recommendations issued by these Workgroups.	56	65	12070
implement	implement_vrb	Early test generation algorithms such as boolean difference and literal proposition were not practical to implement on a computer.	106	115	5647
implement	implement_vrb	ScaleBase was a company that sold software to implement distributed MySQL databases for cloud computing.	46	55	5687
implement	implement_vrb	However, it does also implement an intent log to provide better performance when synchronous writes are requested.	22	31	5674
implement	implement_vrb	They wanted to retard British settlement and buy time for France to implement its Acadian resettlement scheme.	68	77	5654
implement	implement_vrb	Developers can implement the core files and extend its functionality by adding new plug-in modules provided by other developers.	15	24	5679
implement	implement_vrb	There are also recognitions for schools, principals, teachers, and volunteers who successfully implement the programs.	95	104	5641
implement	implement_vrb	To organise and implement exchange controls, in accordance with the laws of the Republic of Abkhazia.	16	25	5693
implement	implement_vrb	Harris was committed to implement the CSR platform almost in its entirety.	24	33	5637
implement	implement_vrb	With Bertelli alongside her as business manager, Miuccia was allowed time to implement her creativity in the company's designs.	77	86	5673
implement	implement_vrb	Should Denmark decide not to implement any change to the Regulation or its successor, then the Agreement ends automatically.	29	38	5675
implement	implement_vrb	Deutsche Bahn announced plans to implement this recommendation as soon as funding was secured for such a tunnel.	33	42	5652
implement	implement_vrb	Consumerium is an open campaign to implement moral purchasing.	35	44	5648
implement	implement_vrb	Aloha Editor tries to implement its functionality respecting the HTML5 Specification Draft.	22	31	5622
implement	implement_vrb	Instead, they implement hysteresis, allowing for a small amount of movement between the two clicks.	14	23	5670
implement	implement_vrb	VESA, which created the DisplayPort standard, states the standard is royalty free to implement.	85	94	5614
