homograph	wordid	sentence	start	end	orig_idx
transform	transform	Using the Dark Evolver, Mizorogi can transform into Dark Mephisto as the most frequently appearing enemy of Nexus.	37	46	12626
transform	transform	Marissa Mayer's appointment as CEO to replace Thompson was seen as the culmination of Loeb's efforts to transform Yahoo.	104	113	12625
transform	transform	"Adam shared his powers with Amon, allowing him to transform into the superpowered Osiris by saying the name ""Black Adam""."	50	59	10669
transform	transform	The Montebello brothers planned to transform the former hotel into apartments, a 5-star hotel and a yacht marina.	35	44	10720
transform	transform	They commissioned designer Cleon Throckmorton to transform the interior of the barn into a theatre.	49	58	10690
transform	transform	The Post Office made a strong case for adding new services that could transform the financial viability of the operation.	70	79	10680
transform	transform	He also can transform into Scorpion armor like his father.	12	21	10653
transform	transform	Continuous production industries typically use heat or electricity to transform streams of raw materials into finished products.	70	79	10706
transform	transform	Rochester scientists used frequency-tripling crystals to transform the infrared laser beams into ultraviolet beams.	57	66	12624
transform	transform	She can also transform her body into a clear, transparent water like liquid, use it defensively or offensively.	13	22	10663
transform	transform	Such settlements are often understood to transform government from an autocratic mode into more pluralistic, democratic form.	41	50	10683
transform	transform	"Only the great artists have been able to evoke that dimension and transform it into myth."""	66	75	10665
transform	transform	He can transform again after he accepts rats back into his heart.	7	16	10677
transform	transform	But success on the field did not transform itself into success in the stands.	33	42	10713
transform	transform	In the episode it was able to transform into a plane and could be driven by remote control.	30	39	10709
transform	transform	His consultancy has helped transform profitability for well-known international companies.	27	36	10645
transform	transform	Lia (and Polylina) has a robotic pet cat named Milky, who can transform into various weapons.	62	71	10688
transform	transform	In the longer term, the council wishes to transform Dandenong into a more pedestrian oriented and mixed-use centre.	42	51	10647
transform	transform	The original core values of the school are to inspire creativity, transform individuals and build community.	66	75	10694
transform	transform	Naturally occurring bacteria in the Everglades that function to reduce sulfur also transform mercury deposits into methylmercury.	83	92	10695
transform	transform	Instead of biting them, Dracula uses intense beams from his eyes to transform his victims into vampires.	68	77	10668
transform	transform	After sucking enough blood, you temporarily transform into an invulnerable wolf to cover distance more quickly.	44	53	12627
transform	transform	With the Kirumin, these character-costume-wearing girls can transform into real animals.	60	69	10679
transform	transform	Now that the city is facing modernisation, the development authorities have geared up to transform the city.	89	98	10670
transform	transform	Weapons/GearCaucasus Kabutech ZecterUsed by Issei Kurosaki, this Zecter allows the wearer to transform into Caucasus.	93	102	10642
transform	transform	"It is no longer to transform an opinion but to arouse an active and mythical belief."""	19	28	10649
transform	transform	Mobile telephones have the potential to transform reporting and places the power of reporting in the hands of the public.	40	49	10698
transform	transform	He was the first to understand that simple machines do not create energy, they merely transform it.	86	95	12633
transform	transform	In 2002, a 15-year Master Plan was unveiled to transform the zoo.	47	56	10702
transform	transform	He helped establish a program in community medicine, in the process helping Thailand transform its medical education programs.	85	94	10681
transform	transform	Valaria is able to transform into a large and powerful beast at will.	19	28	10716
transform	transform	To do so, we first transform into the barycentric coordinates of each triangle.	19	28	10673
transform	transform	Mitochondria are organelles which function to transform energy as a result of cellular respiration.	46	55	10678
transform	transform	University officials say ISELF's function, collaboration, flexibility, scale and sustainability will transform how faculty work and students learn.	101	110	10687
transform	transform	In the late 1980s, work began to transform Civic Hall into a performing arts center.	33	42	10710
transform	transform	Wran was able to transform this narrow one seat victory into landslide wins (known as Wranslide) in 1978 and 1981.	17	26	10722
transform	transform	It allows developers to connect, model transform and optimize data for both native or web app clients.	39	48	10704
transform	transform	"These three beings had supernatural powers, often using them to ""transform"" individuals into creatures, stone figures, or other supernatural event."	65	74	10699
transform	transform	They each have a clover-shaped badge that enables them to transform.	58	67	10672
transform	transform	"Like Dante, she can Devil Trigger (transform into a ""harpy,"" a birdlike demon of light)."	35	44	10636
transform	transform	In classical physics, physical configurations need to transform under representations of every symmetry group.	54	63	10651
transform	transform	Nearby recreation facilities transform the desert into a popular Valley tourist destination due to availability of activities.	29	38	10638
transform	transform	Mike Myers has jokingly said that it took about 64 hours to transform into Fat Bastard's body.	60	69	10643
transform	transform	Zones dynamically transform as a result of player actions and the actions of player guilds.	18	27	10640
transform	transform	ALA seeks to transform Africa by identifying, developing, and connecting the next generation of African leaders.	13	22	12628
transform	transform	The current plan is to transform nearly 2,200 rai of land of Tha Sai Luat into an SEZ.	23	32	10671
transform	transform	The main purpose of matte glass is to transform the specular reflection into reflection haze.	38	47	10676
transform	transform	The project sufficiently successful to transform United Nations strategy and partner with the initiative.	39	48	10655
transform	transform	Pop Up Parks temporarily or permanently transform underused spaces into community gathering areas through beautification.	40	49	10646
transform	transform	"One of the costumed identities her ""H Dial"" allowed her to transform into was a superheroine named Echo."	59	68	10648
transform	transform	Work started in late 2001 to transform it, with an estimated total cost of £1.26 million.	29	38	10692
transform	transform	The purpose is to transform these ideas into programs of political action to better the future of Spain.	18	27	10684
transform	transform	Rather than trying to update, transform or otherwise interpret Nickleby, he has decided to share his enthusiasm for it.	30	39	10714
transform	transform	The result of this state atheism was to transform the Church into a persecuted and martyred Church.	40	49	10718
transform	transform_nou	The loop transform defines the loop representation.	9	18	10707
transform	transform_nou	However, note that this transform becomes the original transformas.	24	33	10685
transform	transform_nou	The introduction of defects in the crystal leads to an asymmetric diffraction pattern with a complex valued inverse Fourier transform.	124	133	10697
transform	transform_nou	The microphones detect pitch using digital signal processing, which analyses the frequency of the incoming signal via Fast Fourier transform.	131	140	10635
transform	transform_nou	Extended precision processing, using an extended dynamic range for inter prediction interpolation and inverse transform.	110	119	10641
