homograph	wordid	sentence	start	end	orig_idx
escort	escort_nou	The CVH was enlarged to 1.9 L for the North American 1986 model year Escort.	69	75	4612
escort	escort_nou	Her duties included escort of convoys through the Gulf of St. Lawrence.	20	26	11947
escort	escort_nou	The 36th through 44th escort groups remained relatively unchanged escorting convoys between Liverpool and Gibraltar and Sierra Leone.	22	28	4597
escort	escort_nou	On 16 December, Willis moored at the convoy escort piers, Norfolk, where she remained through Christmas.	44	50	4535
escort	escort_nou	Lehmann arrived in Loyal Valley with an escort of soldiers on May 12, 1878, eight years after his capture.	40	46	4544
escort	escort_nou	In early June, Hayashio deployed from Saipan as part of the troopship escort for the Battle of Midway.	70	76	4602
escort	escort_nou	Tigranes escaped capture with a small escort.	38	44	11945
escort	escort_nou	Cubitt was assigned to Nore Command, serving in the 21st Escort Group based at Harwich.	57	63	11944
escort	escort_nou	Cowra began active service in November 1943 as a convoy escort along the east coast of Australia.	56	62	4550
escort	escort_nou	ISBN 1-85410-588-4Peter Gretton : Convoy Escort Commander (1964).	41	47	4538
escort	escort_nou	U-359 was attacked by an escort, and lost contact, but the following day, 10 May, contact was regained by U-454.	25	31	4582
escort	escort_nou	The convoy escort was ineffective in guarding against the attack.	11	17	11946
escort	escort_nou	Beginning in May 1942, Morden was assigned to Mid-Ocean Escort Force escort group C-2.	69	75	4537
escort	escort_nou	In October 1939 the flotilla was reassigned to the Home Fleet, on escort duty from Portland.	66	72	4586
escort	escort_nou	Led by Henry Washburn, Nathaniel P. Langford and under U.S. Army escort led by Lt.	65	71	4592
escort	escort_nou	From March 1943, she was assigned to the Southwest Area Fleet for escort and transport duties.	66	72	4616
escort	escort_nou	She fought primarily in the Battle of the Atlantic as an ocean escort.	63	69	4614
escort	escort_nou	The ships were originally conceived as fast fleet or convoy escort ships that could also perform anti-submarine and minesweeping work.	60	66	4621
escort	escort_nou	She served primarily as an ocean convoy escort in the Battle of the Atlantic.	40	46	4591
escort	escort_nou	The British T-class submarine HMS Turbulent sailed to intercept the convoy, whose escort was reinforced by several aircraft.	82	88	4555
escort	escort_nou	After working up, Candytuft was assigned to the Western Approaches Escort Force for service as a convoy escort.	104	110	4568
escort	escort_nou	Later that month, Convoy PQ 13 was constituted and Duke of York again formed part of the escort force.	89	95	4552
escort	escort_nou	Escort, nevertheless, allowed the IDF to carry out Operation Raviv, a highly successful 10-hour raid on Egypt's Red Sea coast.	0	6	11950
escort	escort_nou	During the Battle of Midway, she was part of the escort for the Aleutian diversionary force under Admiral Shiro Takasu.	49	55	4581
escort	escort_nou	Following repair, she departed Cairo late in June to resume escort duty for convoys bringing supplies to forces besieging Vicksburg.	60	66	11951
escort	escort_nou	The Escort was Britain's best selling small family car throughout the decade.	4	10	4545
escort	escort_nou	He had one very short encounter with an Asian-American escort during The Test Dream.	55	61	4540
escort	escort_nou	He sailed again as part of the escort for a convoy to New York.	31	37	4572
escort	escort_nou	HMS Avenger was a Royal Navy escort aircraft carrier during the Second World War.	29	35	4622
escort	escort_nou	In June 1942, Vian's force provided escort for the Operation Vigorous convoy from Haifa and Port Said.	36	42	4601
escort	escort_nou	For anti-submarine escort, her minesweeping gear could be exchanged for around 40 depth charges.	19	25	4585
escort	escort_nou	With his new squadron Orr joined HMS Emperor, a Ruler class escort carrier, in December.	60	66	4551
escort	escort_nou	On outbound convoys, the danger zone escort would escort the convoy to a meeting with the ocean escort at sea.	37	43	4618
escort	escort_nou	On 10 October, Trepang attacked her second convoy, which consisted of a pair of tankers and a single escort.	101	107	4600
escort	escort_nou	Maersk Alabama then departed from the area with an armed escort, towards its original destination of the port of Mombasa.	57	63	4604
escort	escort_nou	It is called the Shark, this is a silly version of escort submarine.	51	57	4595
escort	escort_nou	Empire Faun departed from Bari under escort on 31 December and arrived at Ancona, Italy the next day.	37	43	4563
escort	escort_nou	She sailed on 2 May with an escort carrier force that closed Okinawa on 21 May.	28	34	4543
escort	escort_nou	She is recorded as participating in one escort in early February 1945.	40	46	4584
escort	escort_nou	She joined the Western Local Escort Force (WLEF) in late June 1942 after workups.	29	35	4541
escort	escort_nou	On the morning of 3 July, Vincennes was passing through the Strait of Hormuz returning from an escort duty.	95	101	4617
escort	escort_nou	ON 18 sailed 24 September as the first westbound convoy with American escort.	70	76	4589
escort	escort_nou	By 1918, they were back on escort duty under Greek colors, mainly in the Aegean Sea.	27	33	4605
escort	escort_nou	For escort work, their minesweeping gear could be exchanged for around 40 depth charges.	4	10	4587
escort	escort_nou	"The U.S. Navy destroyer escort USS Eldridge (DE-173) was claimed to have been rendered invisible (or ""cloaked"") to enemy devices."	24	30	4571
escort	escort_nou	On 24 July he spotted and engaged a transport with a single destroyer escort.	70	76	4606
escort	escort_nou	He served in the U.S. Navy during World War II, stationed on board the U.S.S. Gunason, a battleship escort.	100	106	4559
escort	escort_nou	The ship rejoined Escort Group B3 until she began a lengthy refit in May 1943 that lasted until 8 September.	18	24	4536
escort	escort_nou	She served with C-3 as an trans-Atlantic convoy escort from January 1943 until September when she departed for another refit.	48	54	4609
escort	escort_nou	From this point, the ship was almost constantly deployed on convoy escort duties in the Far East Station.	67	73	4608
escort	escort_nou	While searching the next day, USS Frederick C. Davis, a destroyer escort in company, was torpedoed and sunk.	66	72	4549
escort	escort_nou	Alcmene went out as a convoy escort to Newfoundland, before returning to British waters and joining the Channel Fleet.	29	35	4557
escort	escort_nou	The ship was reassigned to the 11th Escort Group in May 1944 in preparation for Operation Overlord.	36	42	4588
escort	escort_nou	Carmel (Hanne Steen): a Spanish escort, who is caught up in Stemroach's kidnapping and loses her memory in the process.	32	38	4623
escort	escort_nou	The convoy escort ships immediately launched heavy counter-attacks.	11	17	4574
escort	escort_nou	Except for a convoy escort voyage to Eniwetok (21 March-15 April), she remained at Pearl Harbor until 29 May.	20	26	4547
escort	escort_nou	They were joined by Navy radar picket destroyer escorts (DERs) of Escort Squadrons 5 and 7.	66	72	4566
escort	escort_nou	He operated escort missions from Ursel base (Belgium) engaging in several dogfights with British Supermarine Spitfires.	12	18	4576
escort	escort_nou	USS Niantic (CVE-46), was a US escort carrier, that served in the Royal Navy as HMS Ranee (D03).	31	37	4564
escort	escort_nou	This was the only way shorter-ranged destroyers and smaller escorts could be incorporated into the escort scheme.	99	105	4556
escort	escort_nou	In June 1942 she was reassigned to the Gulf Escort Force and moved again in September to Newfoundland Force.	44	50	4558
escort	escort_nou	Reaching Eniwetok 27 June, she escorted Long Island and other escort carriers to Pearl Harbor, arriving on 5 July.	62	68	4553
escort	escort_nou	Other tasks included mine-laying, convoy escort, anti-submarine, supply transport and anti-shipping.	41	47	4590
escort	escort_nou	Aguni was an Ukuru-class escort ship of the Imperial Japanese Navy during the Second World War.	25	31	4577
escort	escort_nou	She served on patrol and escort duty in the eastern North Atlantic Ocean for the remainder of World War II.	25	31	4607
escort	escort_nou	After commissioning and sea trials Loch Insh joined the 19th Escort Group at Liverpool in November 1944.	61	67	4575
escort	escort_nou	She served primarily as a convoy escort in the Battle of the Atlantic during the war.	33	39	4548
escort	escort_nou	Reactivated as Strategic Air Command fighter-escort squadron for B-50 Superfortress and B-36 Peacemaker bombers.	45	51	4554
escort	escort_nou	In 1961, the frigate was a member of the Ninth Canadian Escort Squadron.	56	62	4579
escort	escort_nou	In 1943, the destroyer escort USS Wiseman was named in honor of Lt.	23	29	4562
escort	escort_vrb	After the battle, the squadron helped to escort the crippled battlecruiser Lion home.	41	47	4546
escort	escort_vrb	Sometimes the wedding party goes on all night and the remaining guests escort the pair home in the morning.	71	77	4570
escort	escort_vrb	Yao Xing sent his general Qi Nan (齊難) with a large force to protect and escort Lu Long to Chang'an.	76	82	4578
escort	escort_vrb	Uhtred is hired to escort a Danish merchant's family north, through Dunholm, to safety.	19	25	4603
escort	escort_vrb	Moreover, mothers and (possibly related) adults escort neonates to deter such predation.	48	54	4620
escort	escort_vrb	After training off the West Coast, Little departed Seattle 11 November 1944 to escort a convoy to Pearl Harbor.	79	85	4560
escort	escort_vrb	Through D-Day and the summer of 1944, Reeves continued to escort fast convoys.	58	64	11948
escort	escort_vrb	Tear then decides to escort Luke back to the manor in Kimlasca-Lanvaldear.	21	27	11943
escort	escort_vrb	Emperor Xuanzong had Gao escort her back to the palace, and thereafter loved her even greater.	25	31	4573
escort	escort_vrb	King Charles of Naples rode up to Viterbo to meet the new Pope and escort him to Rome.	67	73	11952
