homograph	wordid	sentence	start	end	orig_idx
aggregate	aggregate_adj-nou	Metacritic gives it an aggregate score of 52.	23	32	566
aggregate	aggregate_adj-nou	If still tied after regulation or tied on aggregate, the match will be decided by a penalty shootout.	42	51	595
aggregate	aggregate_adj-nou	In the round of 16, quarterfinals, and semifinals, if tied on aggregate, the away goals rule was used.	62	71	585
aggregate	aggregate_adj-nou	The film's aggregate score at Metacritic is 64 out of 100.	11	20	548
aggregate	aggregate_adj-nou	Guangdong captured the champion by winning an aggregate 5-4 after penalty shootout.	46	55	623
aggregate	aggregate_adj-nou	The film received a 69% approval rating on review aggregate Rotten Tomatoes.	50	59	621
aggregate	aggregate_adj-nou	But the focus remained at the aggregate level.	30	39	604
aggregate	aggregate_adj-nou	Later played the promotion match against Envigado FC, but lost by a score of 3-1 on aggregate.	84	93	555
aggregate	aggregate_adj-nou	Groundwater aquifer dewatering to lower the water table for access to additional aggregate would be allowed.	81	90	545
aggregate	aggregate_adj-nou	The winners on aggregate advanced to the next round.	15	24	615
aggregate	aggregate_adj-nou	The final is decided over two legs, with aggregate goals used to determine the winner.	41	50	561
aggregate	aggregate_adj-nou	As of October 30, 2014, one campaign organization had received an aggregate total of $1,884,722 in contributions.	66	75	603
aggregate	aggregate_adj-nou	"The film holds a 93% ""Certified Fresh"" rating on review aggregate Rotten Tomatoes, based on 50 critic reviews."	56	65	542
aggregate	aggregate_adj-nou	"On review aggregate website Rotten Tomatoes, the film holds a 23% (""rotten"") rating, with the simple consensus ""Cheesy, unnecessary remake."""	10	19	587
aggregate	aggregate_adj-nou	Asphalt/aggregate operations are managed by Veidekke Industry AS.	8	17	602
aggregate	aggregate_adj-nou	In case of a tie in the aggregate score, the results from the fan voting will have bigger weight.	24	33	625
aggregate	aggregate_adj-nou	England won 2-0 on aggregate and qualified for the UEFA U21 Championships in 2013 in Israel.	19	28	569
aggregate	aggregate_adj-nou	However, there will be relaxation of 5% on the aggregate marks obtained in the qualifying examination for SC/ST candidates.	47	56	584
aggregate	aggregate_adj-nou	The movie received an aggregate 4.58 out of 5 score based on critic reviews complied at Yahoo Japan.	22	31	614
aggregate	aggregate_adj-nou	The quarterfinals were two-legged ties determined on aggregate score.	53	62	618
aggregate	aggregate_adj-nou	Bayern moved on due to aggregate and went on to win the European Cup.	23	32	582
aggregate	aggregate_adj-nou	The team which scored more goals on aggregate, was qualifying to the next round.	36	45	624
