homograph	wordid	sentence	start	end	orig_idx
associate	associate_adj-nou	She is also a research associate at The Field Museum in Chicago.	23	32	1115
associate	associate_adj-nou	"1UP.com Associate Editor Jose Otero called Forza Motorsport 4 ""the most accessible racer around."""	8	17	1113
associate	associate_adj-nou	Patrick McNamara (born 1956) an American neuroscientist, is Associate Professor of Neurology at Boston University School of Medicine.	60	69	1155
associate	associate_adj-nou	In 2012, Tim Tadlock was hired as associate head coach for the Red Raiders under Dan Spencer.	34	43	1117
associate	associate_adj-nou	Between 1984 and 1987, he served as an associate investigator at the Center for Ulcer Research and Education.	39	48	11564
associate	associate_adj-nou	Marin is married to Hrisanta Trebis-Marin (Phd), musicologist and Associate Professor at the Franklin University Switzerland.	66	75	1156
associate	associate_adj-nou	In October 2009, the Associate in Public Administration degree offered through the University College of the Cayman Islands was formalized.	21	30	1076
associate	associate_adj-nou	In 1920, he turned down an offer from the Koenigsberg Observatory, and became an associate professor at Leipzig.	81	90	1111
associate	associate_adj-nou	During his seven decades as an economist, Samuelson's professional positions included:Assistant Professor of Economics at M.I.T, 1940, Associate Professor, 1944.	135	144	1126
associate	associate_adj-nou	In 2016, he was named associate editor of The New York Times Upfront magazine.	22	31	1118
associate	associate_adj-nou	He became an associate of Deloitte & Touche in the 1980s.	13	22	1088
associate	associate_adj-nou	He became Secretary of Justice under the Marcos administration in 1967 before being appointed as associate justice in 1968.	97	106	1157
associate	associate_adj-nou	He was associate dean of the Marriott School of Management at Brigham Young University (BYU) from 1998 to 2005.	7	16	1096
associate	associate_adj-nou	As of February 2014, his son Dennis Arnold Murray, the former associate pastor, presides as senior pastor of the church.	62	71	1082
associate	associate_adj-nou	He is a Distinguished Associate of the Psychometrics Centre at the University of Cambridge.	22	31	1095
associate	associate_adj-nou	Regional cross-border organizations and tourism-related bodies may join as associate members.	75	84	1116
associate	associate_adj-nou	He was promoted to the rank of Associate Professor in 2008 and to the rank of Professor in 2010.	31	40	1080
associate	associate_adj-nou	PetrSU faculty numbers about 890 (105 doctors of science, 502 candidates of science, 66 professors, and 329 associate professors).	108	117	1094
associate	associate_adj-nou	She was previously an associate professor at the Kennedy School, before which she was at Sandia National Laboratories.	22	31	1103
associate	associate_adj-nou	They choose the folk language and its associate musical form as an appropriate medium for effective transmission of their message.	38	47	1086
associate	associate_adj-nou	There were three classes of membership: active, associate, and patron.	48	57	1163
associate	associate_adj-nou	Nebenzal's son Harold was associate producer of this version.	26	35	1104
associate	associate_adj-nou	He first served as associate pastor of St. Joseph Church in Santa Ana, until July 1984.	19	28	1108
associate	associate_adj-nou	William Mitchell Kendall, an associate in the firm, designed the Hemicycle.	29	38	1150
associate	associate_adj-nou	He is associate editor of the International Journal of Game Theory.	6	15	1106
associate	associate_adj-nou	Until his retirement in July 2010, he was an associate judge on the Maryland Court of Special Appeals.	45	54	1162
associate	associate_adj-nou	He was promoted as Associate Professor and later as Head of the Department of Medicine in 1969.	19	28	1149
associate	associate_adj-nou	Two- and three-year associate degree programs are also offered.	20	29	1097
associate	associate_adj-nou	He is initially accompanied by his associate James Rhodes, his personal assistant Giulietta Nefaria and his biographer Vergil Munsey.	35	44	1102
associate	associate_adj-nou	Jones was retained by Dodds and stayed at Texas, being promoted to Associate Athletic Director in 1982.	67	76	1131
associate	associate_adj-nou	The opinion was authored by Associate Justice of the U.S. Supreme Court Noah Haynes Swayne.	28	37	1148
associate	associate_adj-nou	Associate membership provided a discounted purchase price for the International Journal of Nautical Archaeology.	0	9	1141
associate	associate_adj-nou	Philip Lim is assigned to TA as an associate pastor on attachment, and Rev.	35	44	1151
associate	associate_adj-nou	Kishen murders Mehaboob (Nadirshah), a close associate of Muhammed Ibrahim which upsets him greatly.	45	54	1154
associate	associate_adj-nou	Gambino associate Joseph Watts wanted Gotti to kill Bilotti's brother Joseph because he might seek revenge.	8	17	1089
associate	associate_adj-nou	He served there until being elected to the Supreme Court in October 1873, serving as an Associate Justice until 1887.	88	97	11558
associate	associate_adj-nou	From 2004, she was associate editor at The Burlington Magazine, rising to acting editor.	19	28	1085
associate	associate_adj-nou	It also has 20 experts, 34 people PhD postgraduate, 58 full-time professors, 104 associate professor.	81	90	1135
associate	associate_adj-nou	Being able to leave Romania he worked as Associate Professor of the Paris University.	41	50	1114
associate	associate_adj-nou	His company became a manufacturer of proprietary products, usually farming out the assembly to associate companies.	95	104	1158
associate	associate_adj-nou	Lloyd became an associate of the Institute of Civil Engineers, and served on its council.	16	25	1125
associate	associate_adj-nou	In 1930 he was appointed as an associate to Justice Robert Douglas in Townsville.	31	40	1140
associate	associate_adj-nou	He was a Senior Lecturer in the Geology Department of the University of Leicester, and also Associate Dean of Science.	92	101	1132
associate	associate_adj-nou	Roselle Huplander, an obese associate of Thelma and Iola who is never seen.	28	37	1130
associate	associate_adj-nou	These associate membres are parties from EU candidate countries and EFTA countries.	6	15	1146
associate	associate_adj-nou	She started translating in 1988, when she co-founded Kist & Kilian with her associate Katy Kist.	76	85	1137
associate	associate_adj-nou	He was accompanied by Peter Baynes and an American associate, George Beckwith.	51	60	11559
associate	associate_adj-nou	After his departure to launch the children's Dreamcast magazine, Mr Dreamcast, associate editor Keith Stuart took over until issue 19.	79	88	11563
associate	associate_adj-nou	He was reportedly a close associate of gangster Tommy Lucchese, who helped Impellitteri's rise in politics.	26	35	1144
associate	associate_adj-nou	When New Zealand First formed a coalition with the governing National Party, Kirton was appointed Associate Minister of Health.	98	107	11560
associate	associate_adj-nou	To this end, MARKA has established an active Region-wide communication network and is an associate member of EURADA.	89	98	1133
associate	associate_adj-nou	His brother Bill Miller was an associate producer on the film.	31	40	1101
