homograph	wordid	sentence	start	end	orig_idx
estimate	estimate_nou	"Its report, which was not released until 2013, concluded that ""as a conservative estimate."	81	89	4678
estimate	estimate_nou	One estimate is that between 10,000 and 20,000 people were killed; another 200,000 people were forced to flee their homes.	4	12	4626
estimate	estimate_nou	The patrol brought back to the Union Army commanders an exaggerated estimate of Confederate strength at Fairfax Court House.	68	76	11957
estimate	estimate_nou	The government of Bavaria regards this estimate as too low, mainly because it does not include electrification.	39	47	4661
estimate	estimate_nou	Statistics Canada's estimate of the Winnipeg CMA population as of 1 July 2016 is 811,874.	20	28	4630
estimate	estimate_nou	This estimate predicts enhancement of the reflectivity at the reduction of period.	5	13	4649
estimate	estimate_nou	Other sources estimate upwards of two thousand congregations, with a large presence in the State of Andhra Pradesh.	14	22	4685
estimate	estimate_nou	The comet has an observation arc of 362 days allowing a good estimate of the orbit.	61	69	4683
estimate	estimate_nou	The final population estimate as of April 2014 is 127,136,000, or a return to 2003 levels.	21	29	4697
estimate	estimate_nou	The population was 20,547 in 2015 according to a US Census Estimate.	59	67	4663
estimate	estimate_nou	The new plant will be called the American Centrifuge Plant, which has an estimate cost of 2.3 billion USD.	73	81	11959
estimate	estimate_nou	The estimate of the World Romani Union and the Council of Europe is considerably higher (around 400,000).	4	12	4651
estimate	estimate_nou	Greg Laughlin, one of the few researchers who knew in advance about this paper, gives an estimate of 68.3%.	89	97	4673
estimate	estimate_nou	The White House office said its estimate was based on sampling from high resolution satellite imagery.	32	40	4708
estimate	estimate_nou	The population of the district according to a 2011 estimate was 1,176,969.	51	59	4644
estimate	estimate_nou	Bent's rule provides a qualitative estimate as to how these hybridised orbitals should be constructed.	35	43	4693
estimate	estimate_nou	On 1 January 2005, the estimate was 83.	23	31	4681
estimate	estimate_nou	Thus the number of 13,500 executed people seems to be a low-end estimate of the real number.	64	72	11956
estimate	estimate_nou	"Roger Cooper gives an estimate of between 150,000 and 300,000."""	22	30	4684
estimate	estimate_nou	The population estimate of Sindh ibex in kirthar national park is around 13,000.	15	23	4631
estimate	estimate_nou	The population of Chanov is 1,500 - 2,000 (2006 estimate).	48	56	4700
estimate	estimate_nou	His original estimate of 1834 of £894,874 was amended to £1,507,753 in 1836.	13	21	11962
estimate	estimate_nou	Modern historians find the latter estimate to be the most credible.	34	42	4647
estimate	estimate_nou	For a given value for an estimate of the functionusing kernel method.	25	33	4703
estimate	estimate_nou	This estimate was reinforced in the early 1970s.	5	13	4628
estimate	estimate_nou	According to one estimate, more than 100 Poles made the pilgrimage during that era.	17	25	4670
estimate	estimate_nou	The estimate terrain elevation above seal level is 3,622 metres (11,883 ft).	4	12	4687
estimate	estimate_nou	The minimum proportion is %8 of Izmir population while the maximum estimate is %17.	67	75	4713
estimate	estimate_nou	In personal dive computers, they produce a real-time estimate of decompression status and display it for the diver.	53	61	4686
estimate	estimate_nou	The final cost was £180,000, more than Jessop's estimate of £155,000, but still much cheaper than a canal.	49	57	4666
estimate	estimate_nou	The most advanced of these is Koulékoun with a Mineral Resource estimate of 2.15 million ounces.	65	73	4676
estimate	estimate_nou	The U.S. census 2015 county population estimate is 245,671.	39	47	4656
estimate	estimate_nou	The remaining distance is an estimate based on map scale and ruler.	29	37	11960
estimate	estimate_nou	Then the function:is known as the likelihood function and the estimate:is the maximum likelihood estimate of.	62	70	4689
estimate	estimate_nou	The estimate of Pandits having fled Kashmir ranges from approximately 100,000 to as high as 800,000.	4	12	4712
estimate	estimate_nou	The free-fall time is a very useful estimate of the relevant timescale for a number of astrophysical processes.	36	44	4637
estimate	estimate_nou	Chiweta has an estimate population of 45,000 people.	15	23	4638
estimate	estimate_nou	At age 29, the magazine of the Chartered Institute of Management Accountants mentioned an estimate of £40 million in 2004.	90	98	4635
estimate	estimate_nou	It has the second highest population estimate of any area of Tamworth, with over six thousand people in 2011.	37	45	4641
estimate	estimate_nou	This estimate was developed by averaging selected estimates — an unorthodox methodology.	5	13	4660
estimate	estimate_nou	The simple estimate of cardinality obtained using the algorithm above has the disadvantage of a large variance.	11	19	4654
estimate	estimate_nou	"Koenraad M. R. Audenaert, ""A sharp continuity estimate for the von Neumann entropy"", J. Phys."	46	54	11954
estimate	estimate_nou	It is carried by approximately 110 million European men (2010 estimate).	62	70	11953
estimate	estimate_nou	Careful setup and repeated observations can give an estimate that is within about 10 arc seconds of the true meridian.	52	60	4706
estimate	estimate_nou	The Board of Estimate meets every Tuesday after the city council's Wednesday legislative session.	13	21	4632
estimate	estimate_nou	An early historical estimate of the Muslim population of the then Qing Empire belongs to the Christian missionary Marshall Broomhall.	20	28	4639
estimate	estimate_nou	Motivation for post-estimate fusion is often consideration of uncertainty management.	20	28	4688
estimate	estimate_nou	It had a population of 308,756 at the 2010 Census, the latest estimate (for January 2014) is 328,827.	62	70	4679
estimate	estimate_nou	The most widely accepted estimate of the number of dead is about 22,000.	25	33	4672
estimate	estimate_nou	As of 2011 the best estimate is 0.5600 obtained by Shevtsova (2010).	20	28	4664
estimate	estimate_nou	According to one estimate, 150 MiG-21s are in service.	17	25	4699
estimate	estimate_nou	The Washington State Office of Financial Management's 2015 estimate placed the population at 13,607.	59	67	4658
estimate	estimate_nou	In February 2010, the commission gave a preliminary estimate of $250 million to $500 million for construction alone.	52	60	4680
estimate	estimate_nou	The reported results were $0.35 per share above the consensus earnings estimate of $2.34 per share.	71	79	4702
estimate	estimate_nou	The 2011 American Community Survey (ACS) estimate found 470,341 Americans with full or partial Iranian ancestry.	41	49	4653
estimate	estimate_nou	Deals are reported that use the estimate of the full extent of land that the firm expects to utilise.	32	40	4665
estimate	estimate_nou	The estimate is for a copy in very good to fine condition in a like dustjacket.	4	12	4640
estimate	estimate_nou	The author presents casualty figures from a wide variety of sources and provides his best estimate.	90	98	4645
estimate	estimate_vrb	Michael Hudson and Adair Turner estimate that about 80 percent of credit finances real estate purchases, mostly land.	32	40	4633
estimate	estimate_vrb	Local NGOs estimate the total number of female prostitutes to be as many as 100,000.	11	19	4682
estimate	estimate_vrb	He also collaborated with IPCC to develop methodologies to estimate greenhouse gas emissions.	59	67	4655
estimate	estimate_vrb	Scholars estimate that in ancient Rome an adult consumed a liter of wine daily.	9	17	4643
estimate	estimate_vrb	However, it is possible to do some characterization of genetic differentiation and estimate gene flow.	83	91	4705
estimate	estimate_vrb	Try to accurately estimate all the costs that may occur including the hidden ones.	18	26	4671
estimate	estimate_vrb	Dorset County Council estimate that in 2013 the population of the parish was 330.	22	30	4695
estimate	estimate_vrb	Suppose it is desired to estimate the failure rate of a certain component.	25	33	4677
estimate	estimate_vrb	The most recent common ancestor has been variously estimate at 7.24 million years ago (mya) and 15.71 mya.	51	59	4707
estimate	estimate_vrb	Typically, an average amount of fat used on a dish-by-dish basis is used to estimate fat intake.	76	84	4694
estimate	estimate_vrb	Archaeologists estimate that it had been founded in the late 1400s on the site of iron and copper ore deposits.	15	23	4629
estimate	estimate_vrb	For drivers and pedestrians, it may be difficult to estimate how fast a cyclist is moving.	52	60	4692
estimate	estimate_vrb	Analysts estimate that a price of $30 to $40 per barrel is required to make new oil sands production profitable.	9	17	4642
estimate	estimate_vrb	Researchers estimate that 3 million slaves were exported out of the Slave Coast bordering the Bight of Benin.	12	20	4704
estimate	estimate_vrb	Police estimate the homicide occurred approximately five months before the body was discovered.	7	15	4674
estimate	estimate_vrb	Voice assessment is necessary to plan and estimate the success of a possible speech therapy.	42	50	4690
estimate	estimate_vrb	Various figures estimate that the ethnic Armenian population in Russia is actually more than 2 million.	16	24	4701
estimate	estimate_vrb	In modern scholarship, researchers estimate 597 Mexicans were lynched between 1848 and 1928.	35	43	4657
