homograph	wordid	sentence
abuse	abuse_nou	"She described the abuse as ""mild inappropriate touching"", saying it occurred while she was sleeping and was ""fully clothed""."
abuse	abuse_nou	Many arranged marriages also end up being cold and dysfunctional as well, with reports of abuse.
abuse	abuse_nou	It smashed taboos surrounding mental health, abuse, sexuality and religion with humor and optimism.
abuse	abuse_nou	Members of all three groups have been involved in child sexual abuse.
abuse	abuse_nou	Victims of child abuse or rape should be allowed sufficient breaks as and when required during the testimony.
abuse	abuse_nou	In 1934, the New York Parental School was investigated amid rumors of abuse.
abuse	abuse_nou	The Making of Addiction: The 'Use and Abuse' of Opium in Nineteenth-Century Britain.
abuse	abuse_nou	Mr Burarrwanga's wider interests include Indigenous health, education and social issues, particularly substance abuse, domestic violence and family health.
abuse	abuse_nou	In the hearse with Charlie he discusses the abuse he has received from his wife.
abuse	abuse_nou	In accordance, although very rare, case reports of modafinil abuse exist.
abuse	abuse_nou	Satan's Silence: Ritual Abuse and the Making of a Modern American Witch Hunt.
abuse	abuse_nou	These claims are backed up by a swelling number of academic studies and insider accounts of misconduct and abuse.
abuse	abuse_nou	The bills are designed to protect children from the abuse of restraint and seclusion in school.
abuse	abuse_nou	This is how most partners adapt to verbal abuse.
abuse	abuse_nou	Victims of The Village: Expose of rural Child Abuse.
abuse	abuse_nou	The album's lyrics focus on subjects such as propaganda, Catholic sex abuse cases, terrorism and fame.
abuse	abuse_nou	On September 30, 2016, Gibbs was acquitted of all charges related to the sexual abuse allegations.
abuse	abuse_nou	This naturally occurring deficiency is one of the most studied genetic vulnerabilities to substance abuse across the field.
abuse	abuse_nou	Incidence of drug abuse is minuscule, compared with other industrialized nations and limited mainly to stimulants.
abuse	abuse_nou	The settlement was the largest settlement ever awarded for a sexual abuse case in Quebec history.
abuse	abuse_nou	Despite periodic investigations, changes of leadership, and promises to improve, the allegations of cruelty and abuse continued.
abuse	abuse_nou	We didn't say 'We need a drug song or a child abuse song,' but when they fit, we used them.
abuse	abuse_nou	This valve is weakened by drug abuse.
abuse	abuse_nou	"There were incidences of abuse, however, with one example having been recorded in the ""Records of Officialdom""."
abuse	abuse_nou	Allegations included rape, sodomy, fellatio and bizarre acts characteristic of satanic ritual abuse.
abuse	abuse_nou	Gangsterism and drug abuse has increased and a number of informal settlements has sprung up in several areas.
