homograph	wordid	sentence	start	end	orig_idx
subordinate	subordinate_adj-nou	The Surruque to the north and the Jaega to the south were politically subordinate to the Ais.	70	81	10186
subordinate	subordinate_adj-nou	"Known as the ""Titans"", VMGRT-253 was a subordinate unit of Marine Aircraft Group 14, 2nd Marine Aircraft Wing."	39	50	12583
subordinate	subordinate_adj-nou	The statutes are subordinate to the Oregon Constitution.	17	28	10241
subordinate	subordinate_adj-nou	This is often called the falling fight, though it is more common for one wasp to act as a subordinate.	90	101	10272
subordinate	subordinate_adj-nou	Politically the United States tried to keep a distance from European affairs, and Canada was subordinate to British foreign policy.	93	104	10189
subordinate	subordinate_adj-nou	The Federal Agency for Special Construction is subordinate to the Ministry of Defence.	47	58	10198
subordinate	subordinate_adj-nou	It was established in 1989 as a subordinate to the Elections and Boundaries Commission.	32	43	10263
subordinate	subordinate_adj-nou	The major subordinate Army commands were Eighth Army, commanded by Lt.	10	21	10242
subordinate	subordinate_adj-nou	All of the Teutonic Knights' possessions were subordinate to the Grand Master, whose seat was in Bad Mergentheim.	46	57	10205
subordinate	subordinate_adj-nou	Since Wright was the chief engineer, Randel was his subordinate.	52	63	10234
subordinate	subordinate_adj-nou	Each of the four provinces became subordinate entities and had far fewer powers than the Canadian provinces or Australian states.	34	45	10255
subordinate	subordinate_adj-nou	First Army has directed that all subordinate brigades wear the First Army SSI instead of their own authorized brigade SSI.	33	44	10223
subordinate	subordinate_adj-nou	On August 20, the North Korean commands distributed operations orders to their subordinate units.	79	90	10261
subordinate	subordinate_adj-nou	The units of Raveneck and his subordinate, Kaspar Nostyc (commander from Conitz (Chojnice) also created a tabor.	30	41	10254
subordinate	subordinate_adj-nou	"Instead of a subordinate regional diet, Hungary was granted its own parliament, and essentially attained the status of ""sovereign state""."	13	24	10217
subordinate	subordinate_adj-nou	He left his subordinate Jia Xun (賈循) in charge of Fanyang.	12	23	12578
subordinate	subordinate_adj-nou	The region has been subordinate both the Roman Catholic Diocese of Lezhe and Roman Catholic Diocese of Sape.	20	31	10203
subordinate	subordinate_adj-nou	Kodungallur was a feudal principality subordinate to the rulers of the Kingdom of Cochin.	38	49	10248
subordinate	subordinate_adj-nou	Subordinate to the Army of the Alps was the 14th Army Corps under General Beynet.	0	11	10185
subordinate	subordinate_adj-nou	Secondly, the slaves were captured and, at night, they were bound to stakes which symbolized their subordinate status.	99	110	10194
subordinate	subordinate_adj-nou	On 13 May 1943, the 616th Bombardment Squadron was established as the initial subordinate squadron of the 477th Bombardment Group.	78	89	10235
subordinate	subordinate_adj-nou	On 23 July 1930, the okrugs were abolished, and the districts became directly subordinate to the oblasts.	78	89	10226
subordinate	subordinate_adj-nou	Items that have subordinate aggregate data are called group items; those that do not are called elementary items.	16	27	10244
subordinate	subordinate_adj-nou	Baltimore Gabbro Complex is a hypersthene gabbro with subordinate amounts of olivine gabbro, norite, anorthositic gabbro, and pyroxenite.	54	65	10209
subordinate	subordinate_adj-nou	In particular, this is the case when swearing accompanies insubordination against a superior or humiliation of a subordinate employee.	113	124	10191
subordinate	subordinate_adj-nou	Instead, he sends his subordinate Nezha to arrest Wukong.	22	33	10216
subordinate	subordinate_adj-nou	It was headed by a governor, subordinate to the U.S. Governor-General of the Philippine Islands.	29	40	12580
subordinate	subordinate_adj-nou	Subsequently he worked for Sun Yuanhua, governor of Shandong, along with fellow Mao subordinate Geng Zhongming.	84	95	10262
subordinate	subordinate_adj-nou	It is subordinate to the National Security Directorate of the Egyptian Ministry of Interior.	6	17	10253
subordinate	subordinate_adj-nou	It is subordinate to the Federal Ministry of the Interior (Bundesministerium des Innern (BMI)).	6	17	10252
subordinate	subordinate_adj-nou	The Hamburg Stock Exchange (founded in 1558) is owned by and subordinate to the Hamburg Chamber of Commerce.	61	72	10268
subordinate	subordinate_adj-nou	Voltaire also wonders about such detention measures and state secrecy around a simple subordinate confidant.	86	97	10204
subordinate	subordinate_adj-nou	The Task Force and its subordinate formations comprised a shifting group of units and formations.	23	34	10238
subordinate	subordinate_adj-nou	Champlin is managed on a daily basis by the city administrator and subordinate department heads.	67	78	12574
subordinate	subordinate_adj-nou	Svalbard is subordinate Nord-Troms District Court and Halogaland Court of Appeal, both located in Tromso.	12	23	12579
subordinate	subordinate_adj-nou	Speer was to be replaced by his own subordinate, Karl-Otto Saur.	36	47	10271
subordinate	subordinate_adj-nou	Many countries maintain a signal corps, which is typically subordinate to a country's army.	59	70	10193
subordinate	subordinate_adj-nou	His subordinate generals were supportive of this line of reasoning and counseled delay, all except for Brig.	4	15	10247
subordinate	subordinate_adj-nou	At the time, it was a fortress subordinate to Pskov and protecting it from the south.	31	42	10224
subordinate	subordinate_adj-nou	P. annularis queens have the tendency to outlive all of the subordinate cofoundresses of their associations.	60	71	10207
subordinate	subordinate_adj-nou	Unlike the La Mojarra Stela 1, these two monuments also show a subordinate, and likely intimidated, smaller figure.	63	74	10251
subordinate	subordinate_adj-nou	He allowed his subordinate commanders a great deal of latitude in making decisions for their units.	15	26	10274
subordinate	subordinate_adj-nou	The area has been populated since at least the 10th century and was subordinate to Pskov.	68	79	12577
subordinate	subordinate_adj-nou	His subordinate Liu Zeqing (劉澤清) escaped north to Huai'an, while only Liu Zhaoji (劉肇基) came to Shi Kefa's aid.	4	15	10199
subordinate	subordinate_adj-nou	In comparison with unparasitized control nests, subordinate females under a parasite queens laid more eggs.	48	59	10239
subordinate	subordinate_adj-nou	The members of the court can be divided into three general categories: royalty, ministers, and subordinate officials.	95	106	10196
subordinate	subordinate_adj-nou	In the first phase of planning, the centrally determined objectives were divided and assigned to appropriate subordinate units.	109	120	12582
subordinate	subordinate_adj-nou	In 1826 von Recke was himself dismissed from his post because of embezzlement by a subordinate employee in his department.	83	94	10202
subordinate	subordinate_adj-nou	The League of Communists of Macedonia was also an organization subordinate to the federal-level League of Communists of Yugoslavia.	63	74	10258
subordinate	subordinate_adj-nou	In the first case the accompaniment is subordinate, and serves merely to support the first or principal part.	39	50	10245
subordinate	subordinate_adj-nou	Among the critics of Patton's frequent use of vulgarities was General Omar Bradley, Patton's former subordinate.	100	111	10195
subordinate	subordinate_adj-nou	The other (nameless) subordinate decides to utilize the formula to conquer the world by using the former Brainhov's invention.	21	32	10200
subordinate	subordinate_adj-nou	The two B sections (subordinate themes) are in G major and C major respectively.	20	31	10270
subordinate	subordinate_adj-nou	In a fit of romantic jealousy, Bodie's subordinate, Lex murdered his ex-girlfriend's new boyfriend: a Stanfield dealer known as Fruit.	39	50	10273
subordinate	subordinate_adj-nou	The idea of keeping slaves illiterate was a tool for white Southerners to keep the slaves subordinate.	90	101	10264
subordinate	subordinate_adj-nou	Subordinating conjunctions make relations between clauses, making the clause in which they appear into a subordinate clause.	105	116	10211
subordinate	subordinate_adj-nou	During the verses of the song the quinto is capable of sublime creativity, while musically subordinate to the lead vocalist.	91	102	10236
subordinate	subordinate_adj-nou	New Forms and Functions of Subordinate Clause in Kurdish.	27	38	10249
subordinate	subordinate_adj-nou	Along with other federal ministries and agencies, the FSB created its own departmental awards subordinate to the state awards.	94	105	10208
subordinate	subordinate_adj-nou	He was also chief supervisor of the Secret Service Sigurimi, which was subordinate to the Ministry of the Interior.	71	82	10227
subordinate	subordinate_adj-nou	It facilitated analysis of the ways subordinate groups actively resist and respond to political and economic domination.	36	47	10233
subordinate	subordinate_adj-nou	After protracted discussion, the Presbytery referred the case to the Western Subordinate Synod for adjudication.	77	88	10269
subordinate	subordinate_adj-nou	Typically an individual may work with or be subordinate to a conservator.	44	55	10212
subordinate	subordinate_adj-nou	Hypatius's subordinate commanders were either killed or joined the rebellion.	11	22	10256
