homograph	wordid	sentence	start	end	orig_idx
celtic	celtic	Music ranges from traditional Gaelic and Celtic bands to more progressive bands that merge rock and Celtic sound.	100	106	1736
celtic	celtic	Weekday names used in-game reflect the Celtic mythology that the game evokes.	39	45	1730
celtic	celtic	The first known inhabitants were the Vettones, a pre-Roman Celtic people.	59	65	11630
celtic	celtic	"The name came from Celtic word arevalon, meaning ""place near the wall."""	19	25	1758
celtic	celtic	The presence of a Land of Faerie, or an Otherworld, betrays the story's Celtic roots.	72	78	1750
celtic	celtic	"Thomas Richmond, a local historian, erroneously assigned it in 1868 to ""a late Celtic, or early Anglo-Saxon period""."	79	85	1779
celtic	celtic	There are also some Celtic standing stones.	20	26	1761
celtic	celtic	In 1988 Jon Mark released a CD, The Standing Stones of Callanish, intended to evoke Britain's Celtic legacy.	94	100	1704
celtic	celtic	Another notable characteristic is its knotted tail, reminiscent of Celtic design and similar to that of the griffin.	67	73	1773
celtic	celtic	In March 2005 17 Celtic coins were found in Echt (Limburg).	17	23	1737
celtic	celtic	Folklorists of the 19th century saw these figures as Celtic fairies.	53	59	1712
celtic	celtic	It seems likely that Celtiberian split off before Cisalpine Celtic, but the evidence for this is not robust.	60	66	1722
celtic	celtic	The Society does support Celtic heritage activities in the United States through an affiliated non-profit organization.	25	31	1727
celtic	celtic	The exterior has some Celtic symbols such as the swastika and horned feet.	22	28	11633
celtic	celtic	The name is probably a compound made up of a Celtic, Brythonic word with an Anglo Saxon, Old English word.	45	51	11631
celtic	celtic	His second son, Andrew Holmes Reed, lies nearby to the south, beneath a large grey granite Celtic cross.	91	97	1771
celtic	celtic	"The sinking is the subject of a song called ""Oceanos"" by Celtic rock band Coast."	57	63	11629
celtic	celtic	From 1913 to 1954 he was Professor in Celtic languages at the University of Oslo.	38	44	1735
celtic	celtic	The result was an album that included elements of Celtic and Arabic music.	50	56	1751
celtic	celtic	WCNI (90.9 FM), the college radio station, broadcasts a variety of music including polka, blues, and celtic music shows.	101	107	1699
celtic	celtic	The discovery of tombs from the third century BC indicates that the site was occupied during the Celtic period.	97	103	1701
celtic	celtic	It also goes into further detail of the layout, even what each position on the Celtic cross means.	79	85	1716
celtic	celtic	"The p-Celtic Welsh language also translates the Latin ""day of the sun"" as dydd Sul."	6	12	1749
celtic	celtic	Ballinroad grew rapidly during the Celtic tiger era and is now one of Dungarvan's main dormitory areas.	35	41	1768
celtic	celtic	Some people speak Celtic languages in the other Celtic diaspora areas of the United States, Canada, Australia, and New Zealand.	48	54	1717
celtic	celtic	Bathanatos was a Celtic king in Thrace that ruled the Scordisci.	17	23	1726
celtic	celtic	The Celtic Gods of Marvel Comics live on the island of Avalon.	4	10	1760
celtic	celtic	The group also consists of former Celtic Woman singer Alex Sharpe and former Celtic Woman choir member Edel Murphy.	34	40	1719
celtic	celtic	"The word Amtmann is derived from ambet-ambachtos - ""one sent round"", Celtic: Latin ambactus ""envoy"", ""herold"", ""servant"", French, ambassadeur, ""ambassador""."	69	75	11632
celtic	celtic	In 228 BC, Hamilcar was killed, witnessed by Hannibal, during a campaign against the Celtic natives of the peninsula.	85	91	1714
