homograph	wordid	sentence	start	end	orig_idx
permit	permit_nou	Tijerina obtained a permit from the Arizona Department of Education to construct a school and to educate their children.	20	26	8102
permit	permit_nou	One person has been issued a permit to discharge stormwater into an unnamed tributary of the stream during construction operations.	29	35	8044
permit	permit_nou	The construction permit was granted on March 19, 2001.	17	23	8069
permit	permit_nou	Illegal construction or building is construction work (or the result of such) without a valid construction permit.	107	113	12341
permit	permit_nou	In the U.S., a construction permit is valid for three years.	28	34	8086
permit	permit_nou	Members of the public will no longer need to obtain a permit to enter the excluded areas.	54	60	8061
permit	permit_nou	Beck retained the construction permit, and partnered with Ernest Moody and Claude Hill to bring KCEB back on the air.	31	37	8035
permit	permit_nou	Four-wheel drive vehicles on Fraser Island need to obtain a vehicle permit.	68	74	8029
permit	permit_nou	Bixler then applied for a license on channel 40, and was granted a construction permit for that channel in 1976.	80	86	8093
permit	permit_nou	WETD received a construction permit from the Federal Communications Commission (FCC) to increase power from 350 watts to 3.5 kilowatts.	29	35	8066
permit	permit_nou	USACE personnel evaluate permit applications for essentially all construction activities that occur in the nation's waters, including wetlands.	25	31	8076
permit	permit_nou	With a special permit it is sometimes possible to sand-ski at the world's highest dunes in Sossusvlei.	15	21	8062
permit	permit_nou	While the trial was formally public, admission to it was by permit issued by district committees of the Communist Party.	60	66	8037
permit	permit_nou	The Federal Communications Commission issued a construction permit for the station on June 18, 2003.	60	66	8040
permit	permit_nou	Permits for ports should include: clean air permit, construction permit, discharge permit, dredge permits and water discharge permit.	65	71	8083
permit	permit_nou	He voted against reducing the application fee for obtaining a concealed carry permit.	78	84	8046
permit	permit_nou	In February 1999 he signed for Wycombe Wanderers after initially being refused a work permit.	86	92	8031
permit	permit_nou	Sgro denied she had done anything wrong, and argued that she granted the permit on compassionate grounds.	73	79	8111
permit	permit_nou	Problems with obtaining a work permit saw this fall through and he returned to Stoke.	31	37	8071
permit	permit_nou	"Interested parties must file an application for construction permit during the appropriate AM application filing window""."	61	67	8106
permit	permit_nou	After this action, authority to issue construction permits for the road transferred to the CoE in a new permit process.	104	110	8104
permit	permit_nou	If carrying a camera you will be stopped and asked for permit.	55	61	12332
permit	permit_nou	It may be the only man-made structure in the United States where BASE jumping is allowed year-round without a permit.	110	116	8089
permit	permit_nou	Normally, CAFO operators are subject to the terms of their permit for a period of 5 years.	59	65	8077
permit	permit_nou	Seasonal small game and deer hunting is allowed with the proper permit.	64	70	8050
permit	permit_nou	Night and predator hunting is only permitted by daily permit cards from the property manager.	54	60	8109
permit	permit_nou	Subsequently EPA issued an initial Vessel General Permit (VGP) with an effective date of February 6, 2009.	50	56	8095
permit	permit_nou	Coral collection is not allowed in the state waters of Hawaii without a research permit.	81	87	8042
permit	permit_nou	Furthermore, not all Chinese nationals in Hong Kong or Macau have a Home Return Permit.	80	86	8105
permit	permit_nou	The suit allege thousand of violations of the city's National Pollutant Discharge Elimination System Permit from their sewage treatment plant.	101	107	8036
