homograph	wordid	sentence	start	end	orig_idx
conjugate	conjugate_adj-nou	Impedance matching is achieved when the source impedance is the complex conjugate of the load impedance.	72	81	2495
conjugate	conjugate_adj-nou	By multiplying the top and bottom of the first expression by this conjugate, one obtains the second expression.	66	75	2432
conjugate	conjugate_adj-nou	Conjugate subgroups are isomorphic, but isomorphic subgroups need not be conjugate.	0	9	2468
conjugate	conjugate_adj-nou	The sacral angle is the angle formed by the true conjugate with the two pieces of sacrum.	49	58	11714
conjugate	conjugate_adj-nou	Consider, as before, a polynomial with complex coefficientsDenote the reverse conjugate polynomial as.	78	87	2443
conjugate	conjugate_adj-nou	Organic anions are conjugate bases of organic acids.	19	28	2436
conjugate	conjugate_adj-nou	The conjugate momentum to X has the expressionwhere the pᵢ are the momentum functions conjugate to the coordinates.	88	97	2471
conjugate	conjugate_adj-nou	Conjugate matching versus reflectionless matching (PDF) taken from Electromagnetic Waves and AntennasThe Spark Transmitter.	0	9	2446
conjugate	conjugate_adj-nou	Moreover, the conjugate of if it exists, is unique up to an additive constant.	14	23	2437
conjugate	conjugate_adj-nou	This relation is called the Conjugate Pairing Rule.	28	37	2499
conjugate	conjugate_adj-nou	They are the conjugate bases of sulfonic acids with formula RSO₂OH.	13	22	2480
conjugate	conjugate_adj-nou	The intensity of the beam will be just t times its complex conjugate.	59	68	2447
conjugate	conjugate_adj-nou	Lorvotuzumab mertansine (IMGN901) is an antibody-drug conjugate.	54	63	2424
conjugate	conjugate_adj-nou	The above algorithm gives the most straightforward explanation of the conjugate gradient method.	70	79	2418
conjugate	conjugate_adj-nou	The SN1cB (conjugate base) mechanism describes the pathway by which many metal amine complexes undergo substitution, that is ligand exchange.	11	20	2412
conjugate	conjugate_adj-nou	Carborane acid's remarkably stable conjugate base allows it to be contained easily because it does not react in this manner.	35	44	2442
conjugate	conjugate_adj-nou	The Beta distribution is the conjugate prior of the Bernoulli distribution.	29	38	2420
conjugate	conjugate_adj-nou	In the above description, the product of two conjugate variables yields an energy.	45	54	2438
conjugate	conjugate_adj-nou	Therefore, its conjugate base is suitable for the deprotonation of compounds with greater acidity.	15	24	2490
conjugate	conjugate_adj-nou	Several vaccine candidates for Shigella are in various stages of development including live attenuated, conjugate, ribosomal, and proteosome vaccines.	104	113	2466
conjugate	conjugate_adj-nou	Conjugate coding is a cryptographic tool, introduced by Stephen Wiesner in the 1960s.	0	9	2455
conjugate	conjugate_adj-nou	In algebra, a conjugate is a binomial formed by negating the second term of a binomial.	14	23	11707
conjugate	conjugate_adj-nou	At equilibrium, both the acid and the conjugate base are present in solution.	38	47	2429
conjugate	conjugate_adj-nou	An experimental antibody-drug conjugate SGN-CD123A targets CD123 as a possible treatment for AML.	30	39	2467
conjugate	conjugate_adj-nou	The conjugate beam is loaded with the real beam's M/EI diagram.	4	13	2416
conjugate	conjugate_adj-nou	Conversely, every 2-subnormal subgroup (that is, a subgroup that is a normal subgroup of a normal subgroup) is conjugate-permutable.	111	120	11711
conjugate	conjugate_adj-nou	The Lanczos and Conjugate Gradient Algorithms: From Theory to Finite Precision Computations.	16	25	2451
conjugate	conjugate_adj-nou	Every finite subgroup of SL(2, C) is conjugate to a finite subgroup of SU(2, C).	37	46	2462
conjugate	conjugate_adj-nou	Its thermodynamic conjugate, an isobaric process would appear as a straight horizontal line.	18	27	2473
conjugate	conjugate_adj-nou	Sacituzumab govitecan (IMMU-132) is an anti-Trop-2-SN-38 antibody-drug conjugate for breast cancer and solid tumors.	71	80	2492
conjugate	conjugate_adj-nou	It was the first antibody-drug conjugate to be approved.	31	40	2488
conjugate	conjugate_adj-nou	CRM197 is used as a carrier protein in a number of approved conjugate vaccines.	60	69	2484
conjugate	conjugate_adj-nou	The four eigenvalues of a 4-D rotation matrix generally occur as two conjugate pairs of complex numbers of unit magnitude.	69	78	2474
conjugate	conjugate_adj-nou	The smallest faithful complex representation has dimension 1333; there are two complex conjugate representations of this dimension.	87	96	2450
conjugate	conjugate_adj-nou	Conjugate addition of the amine to 1 followed by elimination of hydroxide (as water) would give ene-aminoketone 3.	0	9	2463
conjugate	conjugate_adj-nou	It turns out that is the conjugate momentum of, and together these form Ashtekar's new variables.	25	34	2482
conjugate	conjugate_adj-nou	For antineutrinos, the complex conjugate should be dropped from the first equation, and added to the second.	31	40	2439
conjugate	conjugate_adj-nou	Exponential families have conjugate priors, an important property in Bayesian statistics.	26	35	2435
conjugate	conjugate_adj-nou	This process results in the creation of an ocean basin, and possibly conjugate NVPM (Geoffroy & 200).	69	78	2449
conjugate	conjugate_adj-nou	In the form of its conjugate base called lactate, it plays a role in several biochemical processes.	19	28	2493
conjugate	conjugate_adj-nou	In other words, the conjugate pairs are conjugate with respect to energy.	40	49	2411
conjugate	conjugate_adj-nou	Potassium gluconate is the potassium salt of the conjugate base of gluconic acid.	49	58	2431
conjugate	conjugate_adj-nou	To that effect, one has to find quadratic factors for pairs of conjugate complex roots.	63	72	2475
conjugate	conjugate_adj-nou	At present, SimScale allows uncoupled thermo-mechanical simulations, conjugate heat transfer and convective heat transfer analysis.	69	78	2497
