homograph	wordid	sentence	start	end	orig_idx
compound	compound_nou	The compound can be reduced using sodium borohydride to give the lactone.	4	12	11658
compound	compound_nou	Tungsten hexachloride is the chemical compound of tungsten and chlorine with the formula WCl₆.	38	46	1967
compound	compound_nou	This compound showed high antifungal activity against Colletotrichum gloesporioides, a pathogenic fungus of papaya.	5	13	11663
compound	compound_nou	When the two R groups are not identical, the compound is said to be an asymmetric or mixed disulfide.	45	53	1965
compound	compound_nou	Camp 93 consisted of a Guards' compound and a Prisoners' compound with garden plots and a recreation area.	57	65	2034
compound	compound_nou	In the end, the two had isolated and purified 200 mg of the precursor compound.	70	78	2000
compound	compound_nou	"In literature of the early 20th century, before the invention of compound bows, composite bows were described as ""compound""."	65	73	11664
compound	compound_nou	The helicopter touched down in the centre of the compound outside D-Wing, where political prisoners had been exercising.	49	57	2009
compound	compound_nou	Spectinabilin is a biologically active compound, exhibiting both antimalarial and antiviral activity.	39	47	1991
compound	compound_nou	The compound walls of that encroachment runs inside the lake from one end to almost to other end.	4	12	2038
compound	compound_nou	Thiophene, also commonly called thiofuran, is a heterocyclic compound with the formula C₄H₄S.	61	69	2005
compound	compound_nou	On top was a compound or altar where priests probably performed rituals.	13	21	2012
compound	compound_nou	The compound adopts a pseudotetrahedral structure with two cyclopentadienyl and two chloride substituents attached to the metal.	4	12	1968
compound	compound_nou	The charges included involvement in the Riyadh compound bombings.	47	55	1982
compound	compound_nou	The first human trials with this compound began in 2012.	33	41	1964
compound	compound_nou	Mike Schloesser (born 15 January, 1994 in Heerlen, Netherlands) is a compound archer from Netherlands.	69	77	2047
compound	compound_nou	This red-colored compound is commonly abbreviated (bda)Fe(CO)₃.	17	25	1971
compound	compound_nou	It adopts an unusual structure, being a mixed-valence compound.	54	62	2020
compound	compound_nou	Like other members of the genus, the inflorescence of Thapsia villosa is a compound subhemispherical to globose umbel.	75	83	2050
compound	compound_nou	The college is at Jaleel Compound Payan Darga Road Area of Gulbarga, Karnataka.	25	33	2015
compound	compound_nou	The trans compound is favored due to antiperiplanar effects of the final aldol condensation in kinetically controlled reactions.	10	18	2022
compound	compound_nou	It was propelled by two vertical compound steam engines, and had a single mast and funnel.	33	41	1986
compound	compound_nou	Christie Colin (maiden name Bisco) (born June 14, 1982) is an American compound archer.	71	79	2006
compound	compound_nou	Ytterbium(III) chloride (YbCl₃) is an inorganic chemical compound.	59	67	1981
compound	compound_nou	Ethyl pentanoate, also commonly known as ethyl valerate, is an organic compound used in flavors.	71	79	2010
compound	compound_nou	His name is a made-up compound word of elephant and van.	22	30	11660
compound	compound_nou	Etiracetam is a chemical compound belonging to the racetam family, which was developed as a nootropic drug.	25	33	1975
compound	compound_nou	Grupa Azoty is currently the second largest producer of mineral fertilizers and third of compound fertilizers in European Union.	89	97	1993
compound	compound_nou	Since it is a recently discovered compound, there are still animal experiments taking place to prove its efficiency.	34	42	2028
compound	compound_nou	Product quality is often mathematically modelled around a parameter (concentration of a chemical compound, a microbiological index, or moisture content).	97	105	2011
compound	compound_nou	Although he discovered the compound in 1863, it took him two years to publish results in a peer reviewed journal.	27	35	2036
compound	compound_nou	An isolate of G. citricarpa was found to produce the medically important compound, taxol under certain growth conditions.	73	81	2049
compound	compound_nou	Number 1619 was built as a Worsdell-von Borries compound with two inside cylinders.	48	56	2021
compound	compound_nou	Divided and compound leaves reduce wind resistance and promote cooling.	12	20	2044
compound	compound_nou	Although the method can produce diols, overoxidation to the dicarbonyl compound has led to difficulties isolating the vicinal diol.	71	79	2023
compound	compound_nou	In these languages (e.g. Modern Hebrew and Moroccan Arabic), the construct state is used mostly in forming compound nouns.	107	115	2035
compound	compound_nou	The head of Mickoleitia was provided with large compound eyes and functional mouthparts (preserved are 3-segmented labial palps).	48	56	2037
compound	compound_nou	Monopotassium glutamate (MPG) is a compound with formula KC₅H₈NO₄.	35	43	2053
compound	compound_nou	Its shape is that of a hexagram, the compound of two equilateral triangles.	37	45	1966
compound	compound_nou	The synthesis reported by Bodwell/Li(racemic, 2002) was a formal synthesis as it produced a compound already prepared by Rawal (no.	92	100	2033
compound	compound_nou	Auxiliary verbs are combined with past participles of main verbs to produce compound tenses, including the compound past (passé composé).	76	84	1999
compound	compound_nou	The margins of the compound eyes are rounded and lacking occipital angles.	19	27	1995
compound	compound_nou	For the Amity Compound, a set was constructed at Serenbe Community south of Atlanta.	14	22	1985
compound	compound_nou	"The Colonel James ""Nick"" Rowe Training Compound hosts SERE, SFAS, the Q Course and other training courses."	39	47	11666
compound	compound_nou	"The German name ""Tyrol"" was banned, likewise its derivants and compound words such as ""Tyrolean"" and ""South Tyrolean""."	63	71	11657
compound	compound_nou	The combined attack (also known as the compound attack) can be quite effective, despite its vulnerability to counter-attack.	39	47	1990
compound	compound_nou	Adults have a narrow oval head, with small round compound eyes, and ocelli which are separated from the compound eyes.	104	112	2002
compound	compound_nou	"Nowadays it's largely replaced by Compound forms ""tinha amado"" or ""havia amado"" (had loved)."	34	42	1989
compound	compound_nou	In 1875 after returning to Harvard Jackson synthesized the first new organic compound made in a Harvard laboratory, p-bromobenzyl bromide.	77	85	2042
compound	compound_nou	The most common bivalent organoxenon compound is C₆F₅XeF, which is always used as a precursor to other organoxenon compounds.	37	45	1994
compound	compound_nou	Stipules are compound, with up to 20 pairs of leaflet-like lobes, each up to 9 mm long.	13	21	2045
compound	compound_nou	Twin propellers were powered by two lightweight compound steam engines each delivering 180 horsepower (130 kW).	48	56	2046
compound	compound_nou	Disodium phosphate (DSP), or sodium hydrogen phosphate, is the inorganic compound with the formula Na₂HPO₄.	73	81	1974
compound	compound_nou	This latter compound shows antifungal activity towards Mycocentrospora acerina and Cladosporium cladosporioides.	12	20	2016
compound	compound_nou	It is an aromatic compound that has two benzene rings fused to a central furan ring.	18	26	1969
compound	compound_nou	"Tris(pentafluorophenyl)borane, sometimes referred to as ""BCF"", is the chemical compound (C₆F₅)₃B."	79	87	1973
compound	compound_nou	From outside the compound, the shrews begin to chew through the compound walls on the main floor.	64	72	2026
compound	compound_nou	Compound Tincture of Benzoin (CTB) is often applied to skin before applying tape or other adhesive bandages.	0	8	1983
compound	compound_nou	Calcium guanylate is a compound with formula Ca(C₁₀H₁₂O₄N₅PO₄).	23	31	1970
compound	compound_nou	Though misidentified as a lead compound with selenium and iron components, the mineral was crocoite with a formula of PbCrO₄.	31	39	2013
compound	compound_nou	Sometimes the name ammonium triiodide is mistakenly used to refer to a different compound, nitrogen triiodide (NI₃).	81	89	2043
compound	compound_nou	Another example could be the compound PbS₂.	29	37	2017
compound	compound_nou	This compound exhibits ability to lower levels of Aromatase.	5	13	2030
compound	compound_nou	The head has a pair of long, slender antennae, two large compound eyes and two protuberant ocelli.	57	65	2001
compound	compound_nou	"The original area, now referred to as the ""Compound"" that contained smaller cages with cement flooring has been emptied."	43	51	2007
compound	compound_nou	Coyne lives on a compound of four houses in the same neighborhood in which he grew up.	17	25	11665
compound	compound_nou	For the function of a β-blocker it's essential for the compound to contain an aromatic ring and a β-ethanolamine.	56	64	2032
compound	compound_nou	The Rezeigat attacked and reportedly destroyed a Maaliya compound.	57	65	1992
compound	compound_nou	The same compound sans the quaternary methyl group and the methoxy ether is called tipepidine.	9	17	1998
compound	compound_nou	The first part of these expressions has the meaning 'word' (perhaps slightly reduced as appropriate for part of a compound).	114	122	2048
compound	compound_nou	Buddhist temple compound located few kilometers east from Sewu temple, probably 9th century.	16	24	1977
