homograph	wordid	sentence	start	end	orig_idx
uses	uses_nou	Integration enables lean uses of information for the creation of actionable knowledge.	25	29	12683
uses	uses_nou	For a time, this device defeated the intent of the Statute of Uses.	62	66	11166
uses	uses_nou	For more details of the usage of some of the above verb forms, see Uses of non-finite verbs in English.	67	71	11144
uses	uses_nou	This is consistent with the ritual uses of rood lofts being substantially a late medieval development.	35	39	11096
uses	uses_nou	The Medicinal Uses of Cannabis and Cannabinoids.	14	18	11162
uses	uses_nou	He edited EDU, DEC's newsletter on educational uses of computers, that regularly published instructions for playing computer games on minicomputers.	47	51	11149
uses	uses_nou	The campaign aims to educate people on the history and uses of cannabis and pave way for its legalization.	55	59	11119
uses	uses_nou	Vesicants have medical uses including wart removal but can be fatal if even small amounts are ingested.	23	27	11139
uses	uses_nou	Mass spectrometry has both qualitative and quantitative uses.	56	60	11158
uses	uses_nou	Drugs of hallucination: The uses and misuses of lysergic acid diethylamide.	28	32	11132
uses	uses_vrb	The husband shows Osama the padlocks he uses on his wives' rooms, reserving the largest for Osama.	40	44	11113
uses	uses_vrb	It uses new-technology ballasts to drive 28 1-inch-diameter (25 mm) fluorescent bulbs resulting in a low-power, high-output computer-controlled fixture.	3	7	12679
uses	uses_vrb	Line 2 uses four-car trains of class 3400 since summer 2007.	7	11	11117
uses	uses_vrb	It features the same specifications as the 1000H, except it uses a 900 MHz Celeron CPU chip.	60	64	11136
uses	uses_vrb	Millia uses this as another chance to find Zato.	7	11	11105
uses	uses_vrb	It uses Alberti bass and has strong harmonic features.	3	7	11133
uses	uses_vrb	The game Puzzle Pirates uses the Elo rating system to determine the standings in the various puzzles.	24	28	11098
uses	uses_vrb	Meanwhile, House uses a dead patient's name to obtain Oxycodone pills as a Vicodin replacement drug.	17	21	11168
uses	uses_vrb	Written by Imre Poniklo, the song uses a verse-chorus form.	34	38	11150
uses	uses_vrb	She is a criminal psychologist who uses rationale to analyze everything.	35	39	11131
uses	uses_vrb	This print has 32 pages, size 8.5 x 14 cm and uses Schwabacher typeface.	46	50	11137
uses	uses_vrb	He uses mostly a 2007, 6136 Gretsch White Falcon.	3	7	11094
uses	uses_vrb	Shock rarely speaks directly, instead he beat-boxes and uses his hands to act out ideas.	56	60	11155
uses	uses_vrb	The missile uses a multi-function doppler-monopulse active radar seeker developed by OAO Agat.	12	16	11170
uses	uses_vrb	So now Metamath uses the premise of opreq2i.	16	20	11107
uses	uses_vrb	He uses a magic mirror to see things at a distance and carries a fan as his weapon.	3	7	11116
uses	uses_vrb	The original formulation uses sodium deoxycholate to improve solubility.	25	29	11123
uses	uses_vrb	Predictive modeling uses statistics to predict outcomes.	20	24	12675
uses	uses_vrb	In his blog and book, Ries uses specific terms to refer to the core lean startup principles.	27	31	12682
uses	uses_vrb	For specialty units, FDNY uses a variety of manufacturers.	26	30	11082
uses	uses_vrb	The school is located near the Paa-ko Ridge community, and the golf team uses the Paa-ko golf course to practice.	73	77	11154
uses	uses_vrb	This lens uses an inner focusing system, powered by a ring type HSM motor.	10	14	11169
uses	uses_vrb	This swimming event uses medley swimming as a relay.	20	24	11163
uses	uses_vrb	Ring often uses doors and windows as thresholds.	11	15	11161
uses	uses_vrb	With all of the Legionnaires having survived, Superboy uses the hypnosis ray to erase Lana's knowledge of his secret identity.	55	59	11138
uses	uses_vrb	The Cauer topology uses passive components (shunt capacitors and series inductors) to implement a linear analog filter.	19	23	11089
uses	uses_vrb	Poe uses the term shadow in the middle of each stanza.	4	8	12676
uses	uses_vrb	"Vulcan API Uses Mantle Technology for OpenGL""."	11	15	11140
uses	uses_vrb	Their journaling feature uses a rule-based selection to determine whether an e-mail should or should not be journaled.	25	29	11148
uses	uses_vrb	"Labor's 2015 Marriage Equality initiative uses the phrase ""It's Time."	42	46	11093
uses	uses_vrb	Tehkan World Cup uses two Zilog Z80C 8-bit CPU microprocessors at 4.608 MHz clock rate for processing.	17	21	11159
uses	uses_vrb	Another gag is that she sometimes uses her rear end to attack the Kinclons, which apparently knocks them out cold.	34	38	11099
uses	uses_vrb	The starfield effect uses a bug in the Atari 2600 hardware.	21	25	11124
uses	uses_vrb	Tess uses an alien power to blank her memory.	5	9	11122
uses	uses_vrb	Westlake High School uses a unique grading system called a TMU (Thunder Mastery Unit).	21	25	12678
