homograph	wordid	sentence	start	end	orig_idx
buffet	buffet_nou	Some restaurants also offer buffets, such as a lunch buffet, or are specifically buffet restaurants.	53	59	1675
buffet	buffet_nou	"Chicken nuggets, corn dogs and French fries are served in their children's menu as well as a ""kid size"" buffet."	104	110	11619
buffet	buffet_nou	The Aztec Inn also features a buffet and a business center.	30	36	11618
buffet	buffet_nou	In the gold room, a marble buffet and mirror face a marble fireplace.	27	33	1666
buffet	buffet_nou	Two rakes were formed with a Pullman coach that provided a buffet service for a supplementary fare.	59	65	1672
buffet	buffet_nou	It reopened as the Tampa Buffet on November 29, 2009 and includes expanded dining facilities and buffet selection.	97	103	1683
buffet	buffet_nou	Customers have two options; ordering from the menu or (at designated times) eating from the buffet.	92	98	11623
buffet	buffet_nou	The event also featured live music by Hyperdrive, a buffet, a costume contest, plus open and tournament gaming.	52	58	1692
buffet	buffet_nou	The buffet offer a wide variety of salads, entrees, and desserts.	4	10	1669
buffet	buffet_nou	Jensen was brought into Old Country Buffet in by Roe Hatlen and C. Dennis Scott in 1983.	36	42	1620
buffet	buffet_nou	Those who pay $80 can have the dinner buffet.	38	44	1690
buffet	buffet_nou	"The following dishes cover the essentials of a ""buffet"" luncheon."	48	54	1645
buffet	buffet_nou	One buffet car survived and is at the Great Central Railway.	4	10	1657
buffet	buffet_nou	These units have Buffet Cars, but a trolley service is provided.	17	23	1647
buffet	buffet_nou	"In Sweden, a traditional form of buffet is the smorgasbord, which literally means ""table of sandwiches""."	33	39	1685
buffet	buffet_nou	And on the other hand, through his private buffet.	43	49	1622
buffet	buffet_nou	The car was converted to its buffet car state by the Auto-Train Corporation when they bought the car.	29	35	1679
buffet	buffet_nou	Cha Chaan Teng buffet is rich in Hong Kong local culture.	15	21	1634
buffet	buffet_nou	Dessert Vikings are very popular in Japan, where one can eat from a buffet full of desserts.	68	74	1613
buffet	buffet_nou	The current station building, together with its buffet and hotel, was opened in 1926.	48	54	1615
buffet	buffet_nou	The music video for the song was filmed in black-and-white and features both artists singing around a buffet.	102	108	11624
buffet	buffet_nou	"HomeTown Buffet popularized the ""scatter buffet"", which refers to the layout of separate food pavilions."	9	15	1665
buffet	buffet_nou	Their supply offering ('smallwares') includes steam table pans, cookware, kitchen utensils, tabletop accessories, and buffet serving ware.	118	124	11621
buffet	buffet_nou	Guests are first served dinner buffet style and the show follows about an hour and a half later.	31	37	1635
buffet	buffet_nou	In Chiang Mai Province, activities include buffet luncheons for elephants, a traditional blessing ceremony and a special elephant show.	43	49	1611
buffet	buffet_nou	The passengers on the trains disembarked and headed to a buffet of cold meats in the L&M's warehouse.	57	63	1636
buffet	buffet_nou	The second carbody consisted of a small baggage section and a short buffet and 20-passenger coach section.	68	74	1608
buffet	buffet_nou	The three full buffet cars were still utilised.	15	21	1691
buffet	buffet_nou	The tower has two restaurants at its top, the lower Revolving Dining Room and the upper Summit Suite Buffet.	101	107	1668
buffet	buffet_nou	Eight buffet cars coded RS were originally constructed by Commonwealth Engineering and numbered 2299 to 2306.	6	12	1651
buffet	buffet_nou	Chef Mickey (the main restaurant) has an international cuisine buffet, while Hollywood & Dine has quick-service food and beverages.	63	69	1654
buffet	buffet_nou	The lines were electrified at 750 V DC and Class 411 stock was built; some units contained a buffet car.	93	99	1681
buffet	buffet_nou	The museum includes a cloakroom, buffet, library and souvenir shop.	33	39	1689
buffet	buffet_nou	Only Platform 1 has amenities, including toilets, refreshments and a buffet.	69	75	1660
buffet	buffet_nou	The brand even started running a vegan buffet chain in Hong Kong, in 2015.	39	45	1671
buffet	buffet_nou	Onboard amenities included a dancefloor and stage, tea room, buffet, cocktail bar, even a fish and chip saloon.	61	67	1616
buffet	buffet_nou	Patrons may also dine from the buffet only without ordering a meat entree.	31	37	1667
buffet	buffet_nou	In 1898, Armstrong open a buffet in Kaukauna, Wisconsin.	26	32	1627
buffet	buffet_nou	In 2015, Tado Steakhouse was constructed, Tradewinds Buffet was remodeled and the water park & spa construction began.	53	59	1649
buffet	buffet_nou	Paula Deen's Buffet is reported to be the first celebrity chef-branded buffet at an American casino.	71	77	1623
buffet	buffet_nou	Restaurant buffet bars, tea buffet bars and licensed bars were to be found in all three enclosures.	28	34	1628
buffet	buffet_nou	Donnelly goes to the buffet cart to get a drink.	21	27	1658
buffet	buffet_nou	Originally the menu at Garfunkel's centred about a large buffet table.	57	63	1618
buffet	buffet_nou	In an effort to keep patrons in his casino, Katleman came up with the idea of the buffet in 1947.	82	88	1661
buffet	buffet_nou	The hotel has three restaurants, including one on the rooftop, and presents Rajasthani folk dancers during buffet dinners.	107	113	1684
buffet	buffet_nou	"Old Country Buffet locations have a mascot named, ""O.C. Bee"" (or ""H.T. Bee"" at HomeTown Buffet)."	12	18	1633
buffet	buffet_nou	The buffet is in place of the Sitka Coffee Place, at one end of deck 6.	4	10	1614
buffet	buffet_nou	Buffet opens each Berkshire Hathaway shareholder meeting with Ireland and Bill Gates.	0	6	1673
buffet	buffet_nou	Where'n the Hell is the God damn buffet at?	33	39	1655
