homograph	wordid	sentence	start	end	orig_idx
lives	lives_nou	Another concern of ADA is to impress on Austrians how development cooperation directly affects their lives.	101	106	7205
lives	lives_nou	Instead, the video follows the lives of a feuding couple who live next door to Dixon.	31	36	7204
lives	lives_nou	The player is given three lives initially and bonus lives are awarded at 20000 points and every 80000 points thereafter.	26	31	7227
lives	lives_nou	The novel's epilogue details the sisters' lives after marriage.	42	47	7212
lives	lives_nou	Altogether around 3,500 lives were lost from the various ships.	24	29	7232
lives	lives_nou	"The novel ""traces the eventful lives of two sisters from before the first world war to the 1960s""."	31	36	7229
lives	lives_nou	They must aim to address the political and structural inequalities that negatively shape the lives of girls.	93	98	7195
lives	lives_nou	The salamanders are totally aquatic and spend their whole lives in the same body of water.	58	63	7217
lives	lives_nou	Critical response to Other Lives was generally positive.	27	32	7200
lives	lives_nou	Her ambition was to become a doctor who improved the lives of women and children.	53	58	7175
lives	lives_nou	Lemuel (Christopher de Leon) has come out of hiding to make their lives miserables again.	66	71	7190
lives	lives_nou	CAIS women can lead active lives and expect a normal lifespan.	27	32	7208
lives	lives_nou	Some 42,000 North Carolinians lost their lives in the American Civil War.	41	46	7153
lives	lives_nou	It was a central experience in our lives.	35	40	7191
lives	lives_nou	While each monkey has unlimited lives, the player who scores the most hits against other players is declared the winner.	32	37	7225
lives	lives_nou	Kvindemuseet, the Women's Museum, from 1984 contains collections of the lives and works of women in Danish cultural history.	72	77	7177
lives	lives_nou	This guy came out with the biggest lady we had ever seen in our lives.	64	69	7189
lives	lives_nou	Both men describe Star Trek as having put personal pressures on them that negatively affected their family lives.	107	112	7228
lives	lives_nou	The player is also awarded extra lives and bombs (except in certain levels) for collecting set quantities of Geoms.	33	38	7181
lives	lives_nou	They both move on with their own lives.	33	38	12234
lives	lives_nou	This ministry works and dedicates their time to have a positive impact on others lives.	81	86	7164
lives	lives_nou	Ma Chu Ka discusses about happens when a third person walks into the lives of two people.	69	74	7197
lives	lives_nou	After this, Charlie also remembers their lives on the island, and he and Claire have an emotional reunion.	41	46	12236
lives	lives_nou	TT gives Mansukh the ultimatum of getting Indu married in 10 days, or they would lose their lives.	92	97	7158
lives	lives_nou	It made such a difference in the lives of a lot of those children.	33	38	7192
lives	lives_nou	The epidemic of 1689 claimed 700 lives out of a total population of 4,000.	33	38	7231
lives	lives_nou	His gallant actions saved many lives and inspired those around him by his example.	31	36	7183
lives	lives_nou	Two singles were released from The Time of Our Lives.	47	52	7193
lives	lives_nou	Although many women perceive that Fascinating Womanhood helped their lives, the book's teachings remain controversial.	69	74	7182
lives	lives_nou	An exploration of the magical force of music in the lives of human beings.	52	57	12241
lives	lives_vrb	Conor, a lighthouse keeper, lives on an island with son Ben, his pregnant wife Bronagh, and sheepdog Cu.	28	33	7172
lives	lives_vrb	Norman lives at Greenwood children's home, south of London, where he grew up.	7	12	12235
lives	lives_vrb	This sponge lives from the subtidal zone and down to at least 15m underwater.	12	17	7160
lives	lives_vrb	She lives in Washington, D.C., with her husband, Bloomberg editor Max Berley, and their children.	4	9	7233
lives	lives_vrb	He is also obsessed with a sow who lives on the farm.	35	40	7221
lives	lives_vrb	This concern for equality and humanity extends also to the stranger who lives among the Israelites.	72	77	7216
lives	lives_vrb	Some times later Anthony lives together with Donna and her gay brother.	25	30	7178
lives	lives_vrb	Snow then lives in the forest, meeting Prince David while robbing him who she nicknames Charming.	10	15	7223
lives	lives_vrb	She lives in the Lasalle borough of Montreal, Quebec.	4	9	7154
lives	lives_vrb	Lodge now lives in Rancho Mirage, California, near Palm Springs, with his wife Beth and their two dogs.	10	15	12243
lives	lives_vrb	He currently lives in Freetown, Sierra Leone.	13	18	7179
lives	lives_vrb	It lives in isolated mud deposits found under large rocks in the rapid flowing sections of stream and river shoals.	3	8	7202
lives	lives_vrb	Savithiri does not like the life that M.G.R. lives.	45	50	7222
lives	lives_vrb	Monaghan lives in Contin, Ross-Shire with his wife and daughter.	9	14	7174
lives	lives_vrb	He currently lives in Studio City, California.	13	18	12239
lives	lives_vrb	Greco now lives in Los Angeles and has recently appeared alongside Kevin Costner in the three-part film Hatfields & McCoys.	10	15	7187
lives	lives_vrb	His wife Ashalata has deserted him and lives in her maternal house with their children.	39	44	7213
lives	lives_vrb	Born in 1961 in Shanghai, she now lives in Vancouver and is the mother of two children.	34	39	7188
lives	lives_vrb	Ann picks up the blue framed butterfly, showing that the apartment is where Alice lives.	82	87	7224
lives	lives_vrb	Sabina lives her life as an extreme example of lightness, taking profound satisfaction in the act of betrayal.	7	12	7171
lives	lives_vrb	He currently lives in Nashville, Tennessee with his wife.	13	18	7214
lives	lives_vrb	He is married with four children, and lives in France.	38	43	7203
lives	lives_vrb	He lives in Sumter, South Carolina and has his offices in Columbia, South Carolina.	3	8	7230
lives	lives_vrb	Meanwhile, Jeremy meets Elena, a beautiful Russian woman and occasional marijuana dealer who lives in their building.	93	98	7168
lives	lives_vrb	The Carlebach family is a notable Jewish family originally from Germany that now lives all over the world.	81	86	7226
lives	lives_vrb	She currently lives in Brighton where she works in a shared artists' studio.	14	19	7170
lives	lives_vrb	First discovered in 1992, this gastropod lives in most oceans.	41	46	12237
lives	lives_vrb	The strongest legacy brand with the best prospects for the future lives on.	66	71	7206
lives	lives_vrb	Larsen lives in Fairhope, Alabama, with his wife and their three children.	7	12	7157
lives	lives_vrb	Cash lives with her husband and son in Chelsea, Manhattan.	5	10	7150
lives	lives_vrb	The lock keeper, who no longer lives on site, controls the whole process from a control room overlooking the lock.	31	36	7220
lives	lives_vrb	Phranc lives in Santa Monica, California with her partner and children.	7	12	7159
lives	lives_vrb	She lives in Berlin, is married with a German and is mother of a son.	4	9	7176
lives	lives_vrb	He currently lives in Santa Rosa, California.	13	18	7173
lives	lives_vrb	Bork now lives and works in Heidelberg, Germany.	9	14	7146
lives	lives_vrb	Goss currently lives in Torpoint, Cornwall, and has three teenage children: Alex, Livvy and Eliot.	15	20	7235
lives	lives_vrb	After separating from his wife, he lives on a boat parked outside her house.	35	40	7236
lives	lives_vrb	The player controls a child, Noah, who lives in a utopia called Eden.	39	44	7155
lives	lives_vrb	She lives in the Lakouanga neighborhood of Bangui.	4	9	7198
lives	lives_vrb	Lucy lives a very lonely life, reading books and keeping bees.	5	10	7163
lives	lives_vrb	The crested eagle lives in humid lowland forests, mostly comprised by tropical rainforests.	18	23	7180
lives	lives_vrb	Una M. Ryan (born 1966) is a biochemist from Ireland, researching parasites and infectious agents in Australia, where she lives.	122	127	7209
lives	lives_vrb	The family lives on the Pointefield Landing of the Severn River in Maryland.	11	16	7149
lives	lives_vrb	Philodromus rufus vibrans is a spider that ambushes its prey and lives in United States and Canada.	65	70	7219
lives	lives_vrb	It is a popular belief that he only lives in the dark.	36	41	7201
lives	lives_vrb	She lives and works in Los Angeles.	4	9	7156
lives	lives_vrb	Currently, Bishop Zipfel lives at Little Sisters of the Poor in Florissant, MO.	25	30	12240
lives	lives_vrb	In 2012 Evangelist Norwood created her own record label Dorothy Norwood Music Group (DNMG)Norwood presently lives in Georgia.	108	113	7166
lives	lives_vrb	Chris Doyle is a multi-media artist who lives in New York City.	40	45	7185
lives	lives_vrb	About 75% of the Haitian population lives in rural areas, a large portion of whom practice subsistence agriculture.	36	41	7234
lives	lives_vrb	She currently lives in Los Angeles with her mother and younger brother, Justin.	14	19	7196
