homograph	wordid	sentence	start	end	orig_idx
discard	discard_nou	If the draw deck becomes depleted during play, shuffle the discard pile and begin again.	59	66	4040
discard	discard_nou	Singaporean Mahjong uses the Traditional Prohibition Rules concerning Sacred Discard & Missed Discard.	94	101	4108
discard	discard_nou	In order to do this, players must be able to meld the top discard.	58	65	4103
discard	discard_nou	That would force the declarer to choose a discard prematurely.	42	49	11895
discard	discard_nou	Most external urban areas with high pedestrian traffic show high incidence of casual chewing gum discard.	97	104	4111
discard	discard_nou	However, since players can draw from the common discard piles, they are free to make use of opposing discards.	48	55	4045
discard	discard_nou	He can draw the top card from the discard pile or the top card from the top of the deck.	34	41	4028
discard	discard_nou	Ratchet was able to use the discard prototype Pretender shells to revive Grimlock, Jazz and Bumblebee, and defeated Megatron's plan.	28	35	4114
discard	discard_nou	The zone of assimilation and zone of discard are together called the zone of transition.	37	44	11892
discard	discard_nou	The discard rate for each area is around 10%.	4	11	4071
discard	discard_nou	Towards the bottom are the Deck, the 2 Dealt piles, and the Discard pile.	60	67	4070
discard	discard_nou	Other features identified include a discard area and a deep feature of unknown function.	36	43	4033
discard	discard_nou	The discard: discarding any one card (other than a joker) face up on the discard pile.	73	80	4030
discard	discard_nou	Threes can't be discarded, except as your final discard when going out; the same is true of wild cards.	48	55	4087
discard	discard_nou	The name comes from the discard pile which is also the origin of the name for the Skat card game.	24	31	4042
discard	discard_nou	The player must have a discard and may not discard a playable card.	23	30	4089
discard	discard_nou	The end of a turn occurs when a player discards one card onto the discard pile.	66	73	4043
discard	discard_nou	Different from the discard pile in that it isn't reshuffled into the deck when the deck becomes depleted.	19	26	4057
discard	discard_nou	All of the revealed cards are put in a discard pile.	39	46	4027
discard	discard_nou	After a player refuses to have a new discard phase, the playing rounds begin.	37	44	4104
discard	discard_nou	They must be concealed hands though may be won on a discard or from the wall.	52	59	4097
discard	discard_nou	However, not if the previous card on the discard pile is an Offensive card or a Defensive card.	41	48	11896
discard	discard_vrb	To end your turn you must discard one card from your hand face up to the discard pile.	26	33	4059
discard	discard_vrb	The costume also featured the poulaines of crakows, which some artists would discard from the portrayal.	77	84	4066
discard	discard_vrb	They can also be countered by the otherwise useless Disarm, which forces the attacker to discard the Weapon.	89	96	4110
discard	discard_vrb	On arriving at the threshold of the church, pilgrims discard their robes at the midnight hour.	53	60	11890
discard	discard_vrb	If desired, players can discard all the way down to one card.	24	31	4085
discard	discard_vrb	The decision to discard the vessel was taken in September 2014 and Iroquois was paid off on 1 May 2015.	16	23	4072
discard	discard_vrb	Here we use Euler's formula to identify and discard the negative frequency.	44	51	4036
discard	discard_vrb	Attitudes of even skeptical citizens, do not discard the possibility on future sustainable enlargements.	45	52	4067
discard	discard_vrb	It was then decided to discard the result and replay the game two days later.	23	30	4091
discard	discard_vrb	Specializes in Combat and drawing new cards and to force opponent to discard cards.	69	76	4077
discard	discard_vrb	Their main approach to achieve this is to discard the coolant bath for the required superconductors.	42	49	4094
discard	discard_vrb	Custom Alarms creation and management are used to notify, acknowledge and discard for custom notifications flow.	74	81	11888
discard	discard_vrb	Allow water to drain into the saucer and discard excess water.	41	48	4075
discard	discard_vrb	The computer may discard items because they are expired.	17	24	4116
discard	discard_vrb	If they do not have any cards in the suit named, then they may discard any other card.	63	70	4098
discard	discard_vrb	It is foolhardy to discard such an advantage!	19	26	4060
discard	discard_vrb	Most firewalls should intercept and discard the poison packet thus protecting the host from this attack.	36	43	4052
discard	discard_vrb	Once this happens, both players discard cards from their hand down to three and the turn ends.	32	39	4106
discard	discard_vrb	It was no longer a trick-taking game but a draw-and-discard game.	52	59	4044
discard	discard_vrb	Once a player drowns, all players discard their leftover stones, then check the cards they did not play.	34	41	4112
discard	discard_vrb	The player may go out only by melding all his cards, and may discard a single final card if necessary.	61	68	4047
discard	discard_vrb	Scientists also hope to prove, or discard, the existence of so-called quark stars, or strange stars, through these studies.	34	41	4113
discard	discard_vrb	ID5 (1988) didn't discard subtrees, but also did not guarantee that it would produce the same tree as ID3.	18	25	4031
discard	discard_vrb	Fruit-eating bats typically carry the diaspore to a favorite perch, where they eat the fruit and discard the seed.	97	104	4073
discard	discard_vrb	Players pick a card from the open or closed stack and discard a card from hand to the open stack.	54	61	4037
discard	discard_vrb	Among professionals in the 1830s, he was said to be the last to discard breeches in favour of trousers.	64	71	4107
discard	discard_vrb	When it became apparent that the universe is not static, but expanding, Einstein was quick to discard this additional term.	94	101	4096
discard	discard_vrb	"If you cannot oppose, why not demobilise the troops, discard your armour and surrender to the north?"""	53	60	4056
discard	discard_vrb	Proteus intends to discard his current body and possess the Maestro.	19	26	4034
discard	discard_vrb	From the 13 card each player must create 4 card groups, and discard one card.	60	67	4115
discard	discard_vrb	Humans may discard codes or systems of morality that have been purely socially constructed by their native cultures.	11	18	4095
discard	discard_vrb	Those who play must win at least two tricks, but may first discard and draw any number of replacements.	59	66	4081
discard	discard_vrb	The Drej eventually discard Akima and extract the Titan's map from Cale.	20	27	4032
discard	discard_vrb	Some rummy players play that any player must discard on the turn in which they go out.	45	52	4029
discard	discard_vrb	"Cursed Legacy released the exclusive digital album ""Discard Once Motionless"" through Bandcamp on a pay-what-you-want basis."	52	59	4100
discard	discard_vrb	He took a leading part in the vestiarian controversy, and persuaded the college to discard the surplice.	83	90	11887
discard	discard_vrb	Moreover, whenever they draw/discard they must ensure their hand stays under 12 points.	29	36	4039
discard	discard_vrb	Norbert decides to discard their next project, John the Baptist, and move directly to Jesus.	19	26	4082
discard	discard_vrb	Following a message by a period means Self will discard the returned value.	48	55	4092
discard	discard_vrb	You may not discard the blue in any situation.	12	19	4105
discard	discard_vrb	This feature, however, is tenable only as far as hard determinists discard responsibility.	67	74	4068
discard	discard_vrb	Each CobraNet device individually determines if it will use the bundle or discard it.	74	81	11891
discard	discard_vrb	They discard the bits of wood, or reuse particles to build partitions between cells.	5	12	4046
discard	discard_vrb	If West chooses to discard a diamond, the club jack is underplayed with the five.	19	26	4078
discard	discard_vrb	"However, Farhad receives a call about ""laundry"" and decides to discard the phone and change residences."	63	70	4051
discard	discard_vrb	Condon should discard the rest of the book and rebuild on this foundation.	14	21	4079
discard	discard_vrb	Sometime a player must discard a card to do an effect or event, or may do so voluntarily.	23	30	4049
discard	discard_vrb	The time has come to discard old conceptions and look anew at Late Gothic architecture.	21	28	11893
discard	discard_vrb	Their partner then must take those five cards and pick the ones he/she wants to keep and discard the rest.	89	96	4109
discard	discard_vrb	These destroy or discard the mamane's toxins they take up with their food, so that the caterpillars themselves are non-toxic.	17	24	4088
discard	discard_vrb	Barney has a plethora of strategies and rules designed to meet women, sleep with them, and discard them.	91	98	4055
discard	discard_vrb	As a result, employees tend to discard employers with a bad reputation.	31	38	4064
discard	discard_vrb	He was unwilling to discard completely Maxwell's theory of electrodynamics.	20	27	4035
discard	discard_vrb	The accident causes the school to discard the outdoor centre, much to the students dismay.	34	41	4054
discard	discard_vrb	After scoring, the player may then discard a card from his or her hand, and then draw a replacement.	35	42	4084
discard	discard_vrb	Or you can discard the liquid and use fresh water instead.	11	18	11894
discard	discard_vrb	His Postmaster General Amos Kendall gave Southern postmasters discretionary powers to discard the tracts.	86	93	4076
discard	discard_vrb	He admitted to hoping it would be so bad that he could discard it after reading a few pages.	55	62	11889
