homograph	wordid	sentence	start	end	orig_idx
tear	tear_nou	The film ends with Purushan's mother watching Hari's mother wiping her tear.	71	75	10586
tear	tear_nou	Both medals, the twelve and twenty-five-year medals, have the tear-drop suspension loop.	62	66	10622
tear	tear_nou	They also water-cannoned and tear gassed the Taksim German Hospital.	29	33	12619
tear	tear_nou	"The Jacka sampled most of the song in 2008 for the single ""Storm"" featuring Cormega for his album ""Tear Gas""."	99	103	10560
tear	tear_nou	The priest is shown watching them leave and wiping a tear from his eye.	53	57	10558
tear	tear_nou	Significantly improved scores in ocular discharge, conjunctival hyperaemia, corneal changes and Schirmer tear tests (STT) were seen.	105	109	10608
tear	tear_nou	The police refused to release them and used tear gas shells.	44	48	10612
tear	tear_nou	"Mandopop singer Valen Hsu covered the song in her 1996 album Tear Sea, titled ""Fang Sheng Da Ku"" (放聲大哭; ""Wailing"")."	61	65	10571
tear	tear_nou	The name Dungibara is made up of two words; Dungi meaning wet, tear etc.	63	67	10555
tear	tear_nou	Police ultimately resorted to tear gas to break up the crowd.	30	34	10585
tear	tear_nou	According to police, some protesters threw bottles at the officers, prompting the use of tear gas to disperse the crowd.	89	93	10597
tear	tear_nou	"He plays the message over and over again, swearing he heard sadness and regret, or ""a tear"" in her voice."	86	90	10624
tear	tear_nou	There the squadron was equipped with steel helmets and gas masks and training in the tear gas chamber.	85	89	10568
tear	tear_nou	They were dispersed by police firing tear gas and rubber bullets.	37	41	10607
tear	tear_nou	Chemical weapons in World War I included phosgene, tear gas, chlorarsines and mustard gas.	51	55	10616
tear	tear_nou	The police respond by shooting a tear gas grenade into the area.	33	37	10587
tear	tear_nou	It is a tear-drop shaped atoll, 11 nautical miles (20 km; 13 mi) long North-South and fringed with coral reefs.	8	12	10599
tear	tear_nou	It was voted first place in Famitsu's and Dengeki's polls of most tear-inducing games of all time.	66	70	10613
tear	tear_nou	The soldiers fired tear gas and stun grenades at the demonstrators.	19	23	10580
tear	tear_nou	It is so-named because the ball drops down from the high point of the arc like a falling tear drop.	89	93	10600
tear	tear_nou	The siege ended at exactly 1541 GMT after UTK members stormed the building with tear gas and shot the suspect.	80	84	10544
tear	tear_nou	Police responded with tear gas, the squatters with slingshots, fireworks and Molotov cocktails.	22	26	10623
tear	tear_nou	People covered their faces with wet handkerchiefs to counter the effects of the tear gas and barricaded streets with cars.	80	84	10614
tear	tear_nou	German Federal and state special police forces use the MZP 1 as tear gas launcher.	64	68	10611
tear	tear_nou	French riot police used tear gas and charged at hundreds of England fans, as flares were set off.	24	28	10567
tear	tear_nou	For the first time during the 1989 Tiananmen Protests, the police fired tear gas to repel protesters.	72	76	10584
tear	tear_vrb	It was then revealed the next day that he had suffered a slight tear in his right meniscus.	64	68	10593
tear	tear_vrb	"According to Bell, ""Most studios, as soon as you do the drums they will tear down the drums."	72	76	10565
tear	tear_vrb	In this form, Torque can tear enemies apart and can perform several powerful attacks.	25	29	10590
tear	tear_vrb	During shaping he would vigorously tear, pound, and gouge their surfaces.	35	39	10630
tear	tear_vrb	The buckram used is a 100% cotton, bulky fabric designed to withstand wear and tear (Jones 1993).	79	83	10598
tear	tear_vrb	The injury proved to be a tear of Alexander's anterior cruciate ligament (ACL).	26	30	10628
tear	tear_vrb	When X-51 arrived, he and Otomo fought, and Otomo managed to tear X-51 apart, but his nanotechnology to rebuilt him.	61	65	10548
tear	tear_vrb	"The house was marketed as a potential ""tear down"", with no mention of Mann in accompanying sales literature."	39	43	10594
tear	tear_vrb	The eye was severely slashed on the sclera which resulted in a retinal tear and a detached retina.	71	75	10596
tear	tear_vrb	Locations for the bone anchors are selected based on number and severity of tear.	76	80	10562
tear	tear_vrb	One night I was sitting in the studio alone, looking at Woody's tear-sheets from the ECs, when Warren called.	64	68	10588
tear	tear_vrb	"Perhaps most important, coldly efficient bombings tear at the fabric of trust that holds societies together."""	50	54	10632
tear	tear_vrb	Fixed assets depreciate in value over time, due to wear and tear and market obsolescence.	60	64	10574
tear	tear_vrb	An MRI exam revealed that he had a complete tear of the ulnar collateral ligament.	44	48	10617
tear	tear_vrb	Cats with the condition cannot be grasped by the scruff, as this may tear away.	69	73	10615
tear	tear_vrb	In almost a repeat of Game three, a 12-4 tear by Alaska in the last five minutes iced Swift's downfall.	41	45	10563
tear	tear_vrb	At the apartment, a vengeance demon appears suddenly before Xander, threatening to tear him into pieces.	83	87	10589
tear	tear_vrb	"The former spent four weeks in that chart, peaking at #64, whilst ""Tear Down the Walls"" peaked at #61."	67	71	10626
tear	tear_vrb	The main construction fabric is Hypalon-coated Nylon which provides a durable, non-tear surface.	83	87	10606
tear	tear_vrb	If the injury is caught before a SLAP tear, then physical therapy with stretching and exercise can restore it.	38	42	12622
tear	tear_vrb	Love Will Tear Us Apart is a cover of the song from Joy Division.	10	14	10581
tear	tear_vrb	"Taylor's show-stopping performance of the INXS song ""Never Tear Us Apart"" was considered by many to be his finest moment."	59	63	12621
tear	tear_vrb	The prevalence rate for traumatic hip injuries that causes a tear of the labrum is very low.	61	65	12616
tear	tear_vrb	The school board voted to tear down the condemned building and build a new one at the same site.	26	30	10591
tear	tear_vrb	If a tear is detected, treatment depends on the type and size of the tear.	5	9	10578
tear	tear_vrb	Turandot demands that Ping tear the Prince's name from Liu, and he orders her to be tortured.	27	31	10561
tear	tear_vrb	He added that he would love to tear the throat out of the person who killed Vengalli.	31	35	10604
tear	tear_vrb	Fearing that this would tear them apart, Carla is pleasantly surprised when Doug proposes.	24	28	10569
tear	tear_vrb	He employed women to tear up sheets of stamps in the evening from this address.	21	25	10553
tear	tear_vrb	The bird can then tear off flesh by using the projection as an anchor.	18	22	10609
tear	tear_vrb	The man, seeing another innocent man, proceeds to tear up his coat.	50	54	10545
tear	tear_vrb	It took a crew of 4, about 6 hours to set up and 4 hours to tear down.	60	64	12615
tear	tear_vrb	At the start of training camp the following year, Dominique Foxworth suffered a tear to his ACL.	80	84	12614
tear	tear_vrb	They stumble into a monsoon that is threatening to tear apart a village church.	51	55	10631
tear	tear_vrb	Young women tear down the patriotic posters.	12	16	10625
tear	tear_vrb	Her knee injury in the prior game would turn out to be a season-ending ACL tear.	75	79	10583
tear	tear_vrb	Taylor warns the family that Kane is extremely clever and will try to tear them apart.	70	74	10618
tear	tear_vrb	Based on the detail of the teeth, the molars suggest that the animal could rend and tear flesh.	84	88	10592
tear	tear_vrb	"Eventually, ""Never Tear Us Apart"" by INXS was suggested by Port Adelaide's events manager, Tara MacLeod."	19	23	10601
tear	tear_vrb	"He also appeared in the video clip for ""Tear You Apart"" by She Wants Revenge as Tommy."	40	44	10576
tear	tear_vrb	As the Avengers have left Earth to fight the Builders, Thanos has come to tear the Illuminati apart.	74	78	10579
tear	tear_vrb	In 2002 the family signed a deal with contractors to tear the place down and develop the property.	53	57	10554
tear	tear_vrb	He was waived with a triceps tear on August 30, and reverted to their injured reserve after going unclaimed.	29	33	12620
tear	tear_vrb	This sets off a series of explosions that tear the facility apart.	42	46	12618
tear	tear_vrb	Finally, Gamera manages to tear off Legion's horn, and she momentarily collapses in defeat.	27	31	10605
tear	tear_vrb	On May 5, 2015, it was revealed that his elbow was diagnosed with a partial tear of the UCL.	76	80	10582
tear	tear_vrb	Using them would also prevent wear and tear on the heads of the VHS itself.	39	43	10556
tear	tear_vrb	As the continent proceeds to tear itself apart, the people of Atlantis panic, striving without success to escape their doom.	29	33	10595
tear	tear_vrb	"He was picked as one of Tear Sheet magazine's ""50 Most Beautiful Faces"" of October 2001."	24	28	10552
tear	tear_vrb	He played bass and shared responsibility for keyboard parts with John Evans on the Tear Off album.	83	87	12623
tear	tear_vrb	The end result of the process is a lustrous, tear-resistant yarn which is extremely hardwearing.	45	49	10572
tear	tear_vrb	Because ribbon seal skins tear easily, they are most suitable for decoration or ceremonial clothing.	26	30	10551
tear	tear_vrb	Once reunited with Keller, Cross and Green work to seal the dimensional tear to stop the invasion.	72	76	12617
