homograph	wordid	sentence	start	end	orig_idx
refund	refund_nou	Please request a call credit transfer or refund by April 3, 2011.	41	47	9375
refund	refund_nou	In 2006, Perfectmatch.com was stung with controversy over complaints about poor service and failure to response to refund requests.	115	121	9309
refund	refund_nou	This has given taxpayers an opportunity to save and spend some of their refund (rather than only spend their refund).	109	115	9377
refund	refund_nou	Instead of getting a refund, subscribers were sent copies of The Week.	21	27	9371
refund	refund_nou	If the man broke off the engagement, he got no refund.	47	53	9385
refund	refund_nou	After delays of 180 days, BC Ferries could rescind the contract for a full refund.	75	81	12479
refund	refund_nou	Persons in violation will be sent to the lockers or possibly ejected from the park without a refund.	93	99	9352
refund	refund_nou	People who bought tickets for recent shows received a refund.	54	60	9390
refund	refund_nou	Caracal stated that a refund will be made to its customers.	22	28	9340
refund	refund_nou	The entire audience was allowed to attend the following night's show, although those who couldn't attend were given a refund.	118	124	12483
refund	refund_nou	This is more difficult these days, as more places of retail will delay a refund on purchases made by check.	73	79	9374
refund	refund_nou	Louisiana Boardwalk provides a sales tax refund on purchases up to $500 in cash and over $500 by check.	41	47	9364
refund	refund_nou	The refund was about $5,000 for all 20 workers.	4	10	9313
refund	refund_nou	An estimated 10 million buyers were eligible to claim a refund.	56	62	9311
refund	refund_nou	In 2004, Ormond launched Refund Home Loans.	25	31	9360
refund	refund_nou	After this strike, students sought a refund for tuition, a request that was denied by the Board of Regents.	37	43	9346
refund	refund_nou	Instead, contact the manufacturer or installer to determine their return policy for a refund or credit.	86	92	9354
refund	refund_nou	Others have been reported to print fake receipts which they use to return stolen merchandise for a cash refund.	104	110	9332
refund	refund_nou	It is the practice of purchasing an item, using it, and then returning it to the store for a refund.	93	99	9333
refund	refund_nou	MET paid federal income tax on its investment earnings, and in 1990 filed suit for refund from the IRS.	83	89	9315
refund	refund_nou	Other incentives include a refund on capital investments of up to 30 percent once a production facility is in operation.	27	33	9306
refund	refund_nou	If the borrower subsequently provides proof of insurance, a refund is issued, otherwise, the premiums are rolled into the loan.	60	66	9343
refund	refund_nou	It has collected dozens of complaints about what it calls rudeness, misinformation, incompetence, special-needs mistreatment and refund problems.	129	135	9355
refund	refund_nou	Cardholder-originated transactions include purchase, withdrawal, deposit, refund, reversal, balance inquiry, payments and inter-account transfers.	74	80	9325
refund	refund_nou	Deposit-refund systems are used on products such as batteries, tyres, automotive oil, consumer electronics and shipping pallets.	8	14	9339
refund	refund_nou	Just days after Christmas, Wolfe broke into the office of Barbara Bird, an attorney in the IRS's Refund Litigation Service.	97	103	9347
refund	refund_nou	Three candidates received the maximum refund allowed; the other four had too few votes and received no refund.	38	44	9356
refund	refund_nou	Customers' only recourse was to visit the Encore USA website and submit a refund request for the software.	74	80	9380
refund	refund_nou	If the ferries had fallen one knot below specifications, BC Ferries could similarly cancel the contract for a full refund.	115	121	9369
refund	refund_nou	Many consumers have trouble getting a refund or exchange for these often defective DVDs.	38	44	9363
refund	refund_nou	No proper reason, refund or compensation was made.	18	24	9308
refund	refund_nou	Collecting the tax on all media but allowing purchasers to claim a refund for media applied to non-covered uses.	67	73	9391
refund	refund_nou	The company ended production without any type of notification or refund to subscribers or advertisers.	65	71	9316
refund	refund_nou	Valve allowed users to submit a ticket for a refund if they weren't satisfied with the game.	45	51	9392
refund	refund_nou	There were not many backers from China, and they were offered a refund in spring 2015.	64	70	9366
refund	refund_nou	Europa received a tax refund of $NZ4,000,000.	22	28	9338
refund	refund_nou	When he gets a refund for the free cake, Jenna decides to scam the restaurant.	15	21	9370
refund	refund_nou	The user could also potentially return the item for a refund so it can be used again.	54	60	9329
