homograph	wordid	sentence	start	end	orig_idx
precipitate	precipitate_adj-nou	Together they can form an insoluble precipitate which blocks the distal part of the nephrons.	36	47	8454
precipitate	precipitate_adj-nou	However, lack of forewarning, combined with caution over upsetting Japan needlessly with precipitate actions, prevented the plans from being implemented.	89	100	8467
precipitate	precipitate_adj-nou	This produces a solid neutralisation precipitate containing largely calcium sulfate, basic iron(III) arsenate and iron(III) hydroxide.	37	48	8464
precipitate	precipitate_adj-nou	Any solid precipitate was pumped out and transported for off-site disposal, while the liquid was reused in the conditioning process.	10	21	8403
precipitate	precipitate_adj-nou	The precipitate is washed with hot water (5x 10 ml) and dried over CaCl₂.	4	15	8396
precipitate	precipitate_adj-nou	However the addition of hydrochloric acid to Ovoferrin produces a well-known color and precipitate of Prussian blue.	87	98	8407
precipitate	precipitate_adj-nou	Diazepam should not be administered if a precipitate has formed and does not dissolve.	41	52	8445
precipitate	precipitate_adj-nou	It is a precipitate of the scientific and cultural lag of centuries and millenia of human experience.	8	19	8450
precipitate	precipitate_adj-nou	He was extremely cool-headed and patient with the more precipitate of the Cherokees around him.	55	66	8468
precipitate	precipitate_adj-nou	Production of a greenish precipitate was an indication of the presence of tannins.	25	36	8422
precipitate	precipitate_adj-nou	It is based on the reduction of copper(II) acetate to copper(I) oxide (Cu₂O), which forms a brick-red precipitate.	104	115	8404
precipitate	precipitate_adj-nou	Filtration: Collect thorium phosphate precipitate during filtration of neutralized monazite solution.	38	49	8443
precipitate	precipitate_adj-nou	However, the composition of the precipitate that forms is variable and depends on the chemical and physical conditions used.	32	43	8391
precipitate	precipitate_adj-nou	If a white precipitate forms, Zinc is present.	11	22	8461
precipitate	precipitate_adj-nou	"Walpole was not consulted and stated that Townshend was ""too precipitate"" in his actions."	61	72	8416
precipitate	precipitate_adj-nou	The formation of a brominated phenol in form of a white precipitate indicates that the unknown was a phenol.	56	67	8437
precipitate	precipitate_adj-nou	An alcian blue solution with a precipitate should be discarded and replaced, not filtered and used.	31	42	8465
precipitate	precipitate_adj-nou	Because of its color, the precipitate of kermesite was used as a coloring agent and in alchemy.	26	37	8394
precipitate	precipitate_adj-nou	This produces a gel-like precipitate that can then be dried in air.	25	36	8412
precipitate	precipitate_adj-nou	Neutralisation frequently produces a precipitate that will require treatment as a solid residue that may also be toxic.	37	48	8466
precipitate	precipitate_adj-nou	Silver nitrate reacts with iodate to form the precipitate of silver iodate, and the precipitate is transferred to silver nitrate.	46	57	8413
precipitate	precipitate_adj-nou	Precipitation: If a reaction produces a solid, a precipitate will form during the titration.	49	60	8406
precipitate	precipitate_adj-nou	The cloudiness is due to the fact that the precipitate particles are very small resulting in Tyndall scattering.	43	54	8385
precipitate	precipitate_adj-nou	Initially at low antigen concentration, all of the antibody is contained in the precipitate.	80	91	8447
precipitate	precipitate_adj-nou	Precipitate formation is useful in the detection of the type of cation in a salt.	0	11	8453
precipitate	precipitate_adj-nou	Without sufficient force of gravity (settling) to bring the solid particles together, the precipitate remains in suspension.	90	101	8459
precipitate	precipitate_adj-nou	For the precipitate, a reagent is added until the precipitate stops forming.	8	19	8388
precipitate	precipitate_adj-nou	This precipitate action led to protests from the consuls of Toulouse, and Roland left the city soon afterwards.	5	16	8420
precipitate	precipitate_adj-nou	Iron precipitate is also caked thickly along the stream.	5	16	8409
precipitate	precipitate_adj-nou	Reduction of this platinum(II) species with alkaline ethanol in the presence of excess triphenylphosphine affords the product as a precipitate.	131	142	8405
precipitate	precipitate_adj-nou	The eggs of macroinvertebrates and fish are also smothered by the precipitate.	66	77	8429
precipitate	precipitate_adj-nou	The precipitate will dissolve back into solution.	4	15	8431
precipitate	precipitate_vrb	The stories and the attention they garnered off campus helped precipitate the resignation of university President Richard Van Horn.	62	73	8395
precipitate	precipitate_vrb	"The electrons are then dislodged and ""precipitate"" into the Earth's atmosphere."	38	49	12381
precipitate	precipitate_vrb	By adding a reagent, here ammonia, the calcium will precipitate as calcium oxalate.	52	63	8389
precipitate	precipitate_vrb	Xerostomia, also known as dry mouth syndrome, can precipitate dysgeusia because normal salivary flow and concentration are necessary for taste.	50	61	8423
precipitate	precipitate_vrb	The municipal consolidation would also precipitate greater physical connections between the boroughs.	39	50	8472
precipitate	precipitate_vrb	Calcium carbonate dissolved into water may precipitate out where the water discharges some of its dissolved carbon dioxide.	43	54	8455
precipitate	precipitate_vrb	The generating of such mental imagery can precipitate or accompany strong emotions or feelings.	42	53	12375
precipitate	precipitate_vrb	The portion that dissolves in base but does not precipitate with acid is γ cellulose.	48	59	8383
precipitate	precipitate_vrb	Potassium and sodium salt by-products tend to precipitate from solution and can be removed.	46	57	8399
precipitate	precipitate_vrb	They are contraindicated in variant angina and can precipitate heart failure.	51	62	8457
precipitate	precipitate_vrb	This avoids cutting off the blood flow to the digit that a too-tight wrap can precipitate.	78	89	12373
precipitate	precipitate_vrb	Asses fill his thoughts and even precipitate black-outs, during which he commits terrible acts of bottom-pinching.	33	44	8408
precipitate	precipitate_vrb	It also helped precipitate the Wars of the Three Kingdoms, during which the Scots carried out major military interventions.	15	26	8438
precipitate	precipitate_vrb	"Raynor allegedly began talking about a ""divorce"" of the two merged unions in order to precipitate just such an outcome."	86	97	8433
precipitate	precipitate_vrb	Most families of dicot contain tannin-free species (tested by their ability to precipitate proteins).	79	90	8392
precipitate	precipitate_vrb	Black also found that when bubbled through an aqueous solution of lime (calcium hydroxide), it would precipitate calcium carbonate.	101	112	8470
precipitate	precipitate_vrb	Belichick was also accused of maintaining a relationship with former Giants receptionist Sharon Shenocca, which helped precipitate her divorce.	119	130	8401
precipitate	precipitate_vrb	Sodium hydrosulfide (NaHS) is added (along with some metallic cobalt as a catalyst) to precipitate nickel sulfide (NiS).	87	98	8446
precipitate	precipitate_vrb	The slightest inadvertence can precipitate him who crosses this bridge into the abyss.	31	42	8441
precipitate	precipitate_vrb	Accumulation occurs as crystals are formed by fractional crystallisation and, if they are dense enough, precipitate out from the magma.	104	115	12374
precipitate	precipitate_vrb	Bordiga's entrance to the party in 1949 was to precipitate the formation of opposition 'blocks'.	47	58	8411
precipitate	precipitate_vrb	Typically, an acidic solution of thallium(I) sulfate is treated with hydrochloric acid to precipitate insoluble thallium(I) chloride.	90	101	12379
precipitate	precipitate_vrb	Tutton's salts containing magnesium with fluoroberyllate are difficult to produce, as the solutions tend to precipitate insoluble MgF₂.	108	119	8439
precipitate	precipitate_vrb	In sufficient concentration it will cause protein, DNA and RNA to precipitate out of solution.	66	77	8435
precipitate	precipitate_vrb	This causes the calcium of the milk to precipitate out, whilst the phosphate is digested.	39	50	12372
precipitate	precipitate_vrb	These compounds slowly precipitate on the surface.	23	34	8458
precipitate	precipitate_vrb	Metal salts can be used at low concentrations to precipitate enzymes and nucleic acids from solutions.	49	60	8440
precipitate	precipitate_vrb	In the acidic environment of the bog, a chemical reaction forms insoluble iron compounds which precipitate out.	95	106	8390
precipitate	precipitate_vrb	"Whisky can be ""chill filtered"": chilled to precipitate out fatty acid esters and then filtered to remove them."	43	54	8415
precipitate	precipitate_vrb	The suspended load of the detritus will precipitate.	40	51	8414
precipitate	precipitate_vrb	The moments of exhaustion might consequently precipitate an inversion in the thematic flux.	45	56	8430
precipitate	precipitate_vrb	In Phase II the pH of the effluent is raised again and additional metals precipitate.	73	84	8419
precipitate	precipitate_vrb	This would precipitate a brutal counter-reaction, with capitalists preserving their power by discarding democracy and instituting a brutal repressive regime.	11	22	8448
precipitate	precipitate_vrb	One kg of CuSO₄ actually requires only 0.225 kg of chemically pure hydrated lime to precipitate all the copper.	86	97	8424
precipitate	precipitate_vrb	The positive metal ions are pulled toward the cathode, where they catch electrons and precipitate as a compact metal film.	86	97	8460
precipitate	precipitate_vrb	Most particularly, this art can identify the single person whose death would precipitate a societal change.	77	88	8417
precipitate	precipitate_vrb	Football rivals and political adversaries from the Balkans all precipitate conflict and amusing situations.	63	74	8432
precipitate	precipitate_vrb	This action, known as the Chesapeake-Leopard Affair, helped precipitate the War of 1812.	60	71	8418
precipitate	precipitate_vrb	He participated in the 1975 Congressional delegation meetings in the Middle East that helped precipitate the 1979 Israel-Egypt Peace Treaty.	93	104	12380
precipitate	precipitate_vrb	After neutralization, only the zinc stays in solution while germanium and other metals precipitate.	87	98	8444
precipitate	precipitate_vrb	This split would eventually precipitate the Fall of Numenor.	28	39	8449
precipitate	precipitate_vrb	Some patients become hyperirritable and combative, which can precipitate accidents or even assaultive behaviour.	61	72	8402
precipitate	precipitate_vrb	Aqueous solutions of nickel sulfate reacts with sodium carbonate to precipitate nickel carbonate, a precursor to nickel-based catalysts and pigments.	68	79	8442
precipitate	precipitate_vrb	Upon addition of ammonium sulfate to the solution and damping in of the solution, ferric ammonium sulfate crystals will precipitate.	120	131	12378
precipitate	precipitate_vrb	This leaves uranium-238 bonded to fluorine and allows uranium-235 metal to precipitate from the solution.	75	86	8462
precipitate	precipitate_vrb	Both of these are oxidized in aqueous solution and precipitate in even mildly elevated pH as iron(III) oxide.	51	62	8425
precipitate	precipitate_vrb	The bile salts precipitate in the immediate neighbourhood of the colony, causing the medium surrounding the colony to become hazy.	15	26	8469
precipitate	precipitate_vrb	In contrast, many common ions give insoluble salts, e.g. halides precipitate with silver, and sulphate precipitate with barium.	103	114	8397
