homograph	wordid	sentence	start	end	orig_idx
initiate	initiate_nou	To their right, the initiate is in a panic.	20	28	6083
initiate	initiate_nou	Characters begin as lay members and progress through a series of membership levels, such as initiate or Rune Lord.	92	100	6062
initiate	initiate_nou	The Eudiaque Order, an initiate spiritual society, where the main objective consisted in magnifying the human person.	23	31	6129
initiate	initiate_nou	At the Kai Monastery is a young initiate, given the name Silent Wolf.	32	40	12113
initiate	initiate_nou	When the initiate returns, he enacts his cannibalistic possession symbolically.	9	17	6111
initiate	initiate_nou	The Initiate goes back into the Ruins to find the Laboratory passkey to find Attis.	4	12	12120
initiate	initiate_nou	Maroon released a demo cassette in 1999 entitled The Initiate although all four songs can be found on later releases.	53	61	6071
initiate	initiate_vrb	"The secret ""Poro"" society is for men while ""Sande"" society for women both of whom initiate the young into adulthood."	82	90	6106
initiate	initiate_vrb	Clients therefore initiate communication sessions with servers which await incoming requests.	18	26	6058
initiate	initiate_vrb	When the lung expands, the receptors initiate the Hering-Breuer reflex, which reduces the respiratory rate.	37	45	6141
initiate	initiate_vrb	Indonesians smile a lot to initiate contact, it is highly recommended to smile back in return.	27	35	12122
initiate	initiate_vrb	Once the electric field is turned on, protein migration will initiate.	61	69	6107
initiate	initiate_vrb	In such mixtures decomposition of the peroxide can initiate exothermic radical polymerization of the vinyltrimethoxysilane.	51	59	6056
initiate	initiate_vrb	The use of a laser to initiate a carbon-doped explosive via a fiber optic.	22	30	6057
initiate	initiate_vrb	Sustainability mini-grants also provide students with opportunities to initiate contributions to campus sustainability efforts.	71	79	6074
initiate	initiate_vrb	In 1978, Pei was asked to initiate a project for his home country.	26	34	12114
initiate	initiate_vrb	SWAT arrived on the scene shortly thereafter, while a negotiator attempted to initiate contact with Penley.	78	86	6090
initiate	initiate_vrb	Restriction of the amino acid methionine, which is required to initiate protein synthesis, is sufficient to extend lifespan.	63	71	6121
initiate	initiate_vrb	"Since 1996 a replica ""pancake bell"" situated at Newborough and North Street has been rung to initiate the day's festivities."	93	101	6126
initiate	initiate_vrb	The emerging combined group may then initiate a recurrent, expansionist process of ethnic and language shift.	37	45	12118
initiate	initiate_vrb	Certain inflammatory chemokines activate cells to initiate an immune response or promote wound healing.	50	58	6112
initiate	initiate_vrb	To initiate the program, the Maryland state senate purchased ten Mud Machines from the Ellicott brothers.	3	11	6140
initiate	initiate_vrb	In February 1940, the FCC asked the United States Department of Justice to initiate an investigation into the program.	75	83	6104
