homograph	wordid	sentence	start	end	orig_idx
minute	minute	Wilson recognizes the flier as a last-minute smear attempt.	38	44	7289
minute	minute	Originally a thirty-minute show, it was extended to forty-five minutes, then later to sixty minutes.	20	26	7249
minute	minute	Blackrock fought back and a Cummins goal in the 24th minute helped to level matters at the interval.	53	59	7277
minute	minute	Loop 464 was designated in 1968, with no changes to the route description since the original Minute Order.	93	99	12246
minute	minute	"King delivered a 17-minute speech, later known as ""I Have a Dream."""	20	26	7239
minute	minute	He came as a substitute in the second group game against Japan, replacing Jehad Al Hussain in the 77th minute.	103	109	7321
minute	minute	Wintuk was a 90-minute show with a 20-minute intermission.	38	44	7303
minute	minute	After they've been sauced they throw them on the grill for a minute or two.	61	67	12248
minute	minute	It's about a 15-minute walk from the parking lot to the beach.	16	22	7237
minute	minute	Less than a minute later another long delivery from Fitzpatrick found Shefflin at the edge of the square.	12	18	7252
minute	minute	"The 12-inch single included an additional track, the 17:15-minute-long ""Grendel"", making it an EP in terms of overall length."	59	65	12251
minute	minute	This version lengthens the drum solo by roughly four minutes and the organ solo by about one minute.	93	99	7254
minute	minute	House of Lords Minute of Proceedings of Monday 13 October 2008.	15	21	7298
minute	minute	On the trip, the Prince spent a 15-minute spell behind the controls of the locomotive.	35	41	7310
minute	minute	Each 30-second frame begins precisely on the minute or half-minute as indicated by the atomic clock on each satellite.	45	51	7312
minute	minute	In the same match, he scored his first senior goal for Audax in the 51st minute.	73	79	7290
minute	minute	Play was largely uneventful from then until the 56th minute, when Charlie George again shot wide from long distance.	53	59	7317
minute	minute	Crimond Church has an extra minute between the eleven and twelve making for 61 minutes in the hour.	28	34	7256
minute	minute	In the 100 Butterfly, Yeo also finally finished in under one minute, winning the race in 59.91s.	61	67	7257
minute	minute	The deneuralyzer took a minute to complete its job.	24	30	7283
minute	minute	Buses run regularly from Knott End there is also a seasonal three-minute ferry crossing to Fleetwood.	66	72	7260
minute	minute	Walt Disney Feature Animation made a 1990 animated 24-minute short film, inspired by the novel and starring Mickey Mouse.	54	60	12253
minute	minute	Due to the space consumed by the multiple grooves, the song itself played for only about one minute.	93	99	7285
minute	minute	During the exposition, it hosted 50-minute versions of Shakespeare plays.	36	42	7271
minute	minute	Minute Muffler, which began in 1969, is based in Lethbridge.	0	6	7269
minute	minute	"The editors dubbed it, ""Unadulterated and unabashed bubblegum pop that plays like a three-minute dose of summer."""	90	96	7300
minute	minute	Scientists at Stanford University in California have developed a battery that can be charged within one minute.	104	110	7274
minute	minute	The victory came after a ten-minute period at the end of the match where the Springboks scored three-tries.	29	35	7244
minute	minute	Later Iran's space research website uploaded an 18-minute video.	51	57	7238
minute	minute	The DC Circulator has six lines operating at 10-minute intervals.	48	54	7292
minute	minute	Since the opening of the line, the line has been served at 20-minute intervals.	62	68	7241
minute	minute	At the last minute, CBS decided to renew the series for a seventh season.	12	18	7307
minute	minute	Commercial breaks occur, on average, every fifteen minutes; news reports every thirty minutes in five-minute durations.	102	108	7297
minute	minute	The feature was extended into a weekly 30-minute magazine show in January 2016.	42	48	12249
minute	minute	On one occasion, television stations were forced to broadcast a 44-minute-long musical performance contained within a cadena nacional.	67	73	7299
minute	minute	On June 13, 2016, it was announced that 4Minute have decided to disband.	41	47	7323
minute	minute	However, he then scored his second goal of the game in the 103rd minute after a pass from Max Christie.	65	71	7294
minute	minute	By the time Hodgson restarted his car, he was around one minute down on McKay and Pitt.	57	63	7291
minute	minute	Midfielder Kevin Stewart made his Premier League debut as a 66th-minute substitute, replacing Coutinho.	65	71	7281
minute	minute	There were four 15-minute episodes and it was broadcast on BBC Radio 4.	19	25	12252
minute	minute	Labo played his first game on 22 August 2007 against Zambia, appearing as substitute in minute 60.	88	94	7318
minute	minute	The whole sequence in the final minute of the game was phenomenal.	32	38	7255
minute	minute	"His counterpart, T. B. Langton noted that his crew ""had an excellent race and enjoyed every minute of it""."	92	98	7276
minute	minute	Each team had ten hours to write, shoot, and edit a two-minute short film based around a quote.	56	62	7272
minute	minute	Yanks for Stalin (1999) is a 60-minute History Undercover series special documentary that aired on the History Channel.	32	38	7287
minute	minute	In making the two-minute film, he videotaped people walking and animated them in walk cycles.	18	24	7302
minute	minute	"It is about Joel Stein, the host of a three-minute rock-star interview show on VH1 called ""3 minutes with Joel""."	44	50	7263
minute	minute	The first failed at the five-minute mark.	29	35	7246
minute	minute	They have one minute in which to make their choice.	14	20	7305
minute	minute	"Cray's ""two minute portraits"" are large-scale self-portraits, inquiring into the persistence of the photographic image."	12	18	7322
minute	minute	On 26 June, Morsi delivered a two-hour-and-forty-minute speech to the nation.	49	55	7266
minute	minute	He founded the Specials along with his brother Minute Man, the Weevil, Ms. Indestructible, and Stretchie Boy.	47	53	7270
minute	minute	Debutant Sean Murray was sent off for a bad tackle on Jim McAlister in the fifth minute of injury time.	81	87	7245
minute	minute	The new trams would allow a five-minute service on the Buckland route and a ten-minute service on the Maxton route.	80	86	7279
minute	minute	Until the last minute, he kept expecting the door to open and friends to walk in.	15	21	7280
minute	minute	Gylfi Sigurthsson levelled in the 70th minute, but seven minutes later, Wayne Rooney flicked home the winner.	39	45	7306
minute	minute	Starting in the mid-1970s, another 30-minute edition was presented on DDR2 (launched in 1969) around 9:30pm.	38	44	7242
minute	minute	In the 31st minute, a break-away by Switzerland saw Josip Drmic setting up Shaqiri to convert.	12	18	7264
minute	minute	"Dylan also recorded a six-minute song entitled ""Who Loves You More"", which is a virtually finished take."	26	32	7293
minute	minute	It was a music program which starred the singer of the same name, and aired in a 15-minute time-slot.	84	90	7251
minute	minute	FC Union Berlin, after coming off the bench to replace Anton Fink in the 89th minute.	78	84	7275
minute	minute	Almost all the subsequent rereleases of Now We Are Six contained the 3 minute version of the song.	71	77	12247
minute	minute	"From the water taxi dock, it's only a few minute taxi ride to the bus stop known as ""el cruce."""	42	48	7301
minute	minute	It is only a short twenty-minute drive from Western Carolina University, and the town of Sylva.	26	32	7267
minute	minute	Audio conversations with 20-second responses, and a two-minute presentation complete the exam.	56	62	7253
minute	minute	Tallied for the first time in 2011 on the game-winner in the 77th minute against Cleveland State (9/14).	66	72	7265
minute	minute	However the 2003 event lifted some controversy when China decided to pull out from the tournament at the last minute.	110	116	7314
minute	minute_adj	The bladder is often small, nondistensible and may be filled with a minute amount of fluid.	68	74	7315
minute	minute_adj	Topaginella is a genus of minute fossil sea snails, marine gastropod mollusks or micromollusks in the family Cystiscidae.	26	32	7268
minute	minute_adj	Munditia owengaensis is a minute sea snail, a marine gastropod mollusc in the family Liotiidae.	26	32	7308
minute	minute_adj	Setia impolite is a species of minute sea snail, a marine gastropod mollusk or micromollusk in the family Rissoidae.	31	37	7319
minute	minute_adj	Caecum subvolutum is a species of minute sea snail, a marine gastropod mollusk or micromollusk in the family Caecidae.	34	40	7313
minute	minute_adj	Their legs are short and robust, while the claws are equipped with minute teeth.	67	73	7262
minute	minute_adj	Manzonia crispa is a species of minute sea snail, a marine gastropod mollusk or micromollusk in the family Rissoidae.	32	38	7240
minute	minute_adj	Anatoma micalii is a species of minute sea snail, a marine gastropod mollusk or micromollusk in the family Anatomidae.	32	38	7288
minute	minute_adj	There is a terminal series of minute indistinct dark fuscous dots.	30	36	7282
minute	minute_adj	Thus, the change in bitline voltage is minute.	39	45	12245
