homograph	wordid	sentence	start	end	orig_idx
extract	extract_nou	These wines tend to be low in extract and acidity with faint aromatics that can be lightly floral.	30	37	5137
extract	extract_nou	Exemplified copies are also usually an extract or transcript made directly from the original.	39	46	5083
extract	extract_nou	The malt extract is stabilized and sterilised during boiling.	9	16	5140
extract	extract_nou	This extract transcribed by Roger Pearse, 2001.	5	12	5125
extract	extract_nou	Only one brief extract from this work is known.	15	22	5159
extract	extract_nou	Bromelain extract is a mixture of protein-digesting (proteolytic) enzymes and several other substances in smaller quantities.	10	17	5113
extract	extract_nou	Antioxidant and anti-inflammatory activities of different solvent fractions from ethanol extract of Synurus deltoides (Aiton) Nakai leaves.	89	96	5117
extract	extract_nou	This type of extract is rich in condensed tannins of natural high molecular weight (phlobaphenes), which are not easily soluble.	13	20	5127
extract	extract_nou	Major industries include the canning, juicing and extract of citrus fruit and other produce.	50	57	12004
extract	extract_nou	Desperados' listed ingredients are water, malted barley, glucose syrup, corn, sugar, aromatic compounds (75% Tequila), citric acid, and hop extract.	140	147	5142
extract	extract_nou	An extract from the poem is at the head of Rudyard Kipling's short story, At the Pit's Mouth.	3	10	5078
extract	extract_nou	In 2009, she appeared in the comedy film Extract with Ben Affleck and Jason Bateman.	41	48	5098
extract	extract_nou	By forcing the liquid extract through a nozzle, the solution atomizes, or becomes very fine droplets.	22	29	5080
extract	extract_nou	"The released script extract shows that ""Dad"" would not have followed the pre-credits sequence of ""Backwards"" to the letter."	20	27	5084
extract	extract_nou	Liquorice: Containing extract of the liquorice root.	22	29	5151
extract	extract_nou	Its seed is traded as a spice, and in an oil extract form as oleoresin.	45	52	5123
extract	extract_nou	To keep the chocolate extract in suspension and make the liqueur thicker, glycerine may be added.	22	29	12003
extract	extract_nou	Tu found the way to extract it and her innovations boosted potency and slashed toxicity of this extract.	96	103	5158
extract	extract_nou	Synthetic benzaldehyde is the flavoring agent in imitation almond extract, which is used to flavor cakes and other baked goods.	66	73	5099
extract	extract_nou	The 50% inhibitory concentration (LD₅₀) of the extract against Entamoeba histolytica was 33 µg/mL.	51	58	12009
extract	extract_nou	Recordings from Melbourne and Auckland, with a live extract (Austria).	52	59	5150
extract	extract_nou	This diary extract was adduced and shown to state nothing of the kind.	11	18	5128
extract	extract_nou	In the United States, Maria Parloa extolled the benefits of Liebig's extract.	69	76	5082
extract	extract_nou	"An extract of the single ""I Know You Sleep"" was released on Bang Gang's Myspace page."	3	10	5114
