homograph	wordid	sentence	start	end	orig_idx
isolate	isolate	On the one hand, Western states are asking it to help isolate the new dictatorship in Fiji.	54	61	6687
isolate	isolate	It is also used to isolate and maintain Neisseria and Moraxella species.	19	26	6694
isolate	isolate	The military regime also attempts to isolate ex-political prisoners from society, for example by denying them economic and educational opportunities.	37	44	6702
isolate	isolate	Rather than damaging the reputation of Amaro, however, the incident did more to isolate Sanchez, who Amaro abandoned.	80	87	6715
isolate	isolate	It can be used to isolate and to simultaneously bypass a sampling cylinder installed on a pressurized water line.	18	25	12187
isolate	isolate	Both engine and gearbox were mounted each at three points on rubber to isolate the chassis and body from vibration.	71	78	6710
isolate	isolate	Under certain conditions it can even isolate the transfer function analytically!	37	44	6741
isolate	isolate	This assault pushed through the defenders' outer lines and threatened to isolate the bulk of the division from the river.	73	80	6689
isolate	isolate	They managed to isolate their feedback from the standards thereby minimizing the threat to their self-esteem.	16	23	6688
isolate	isolate	If this is not feasible, it is possible to use ferrocement walls to isolate the vaults from encroaching flood waters.	68	75	6706
isolate	isolate	In this situation it will be necessary to isolate the timber from the masonry with DPC material.	42	49	6692
isolate	isolate	The system helps marketers to isolate motives likely to be involved in various consumption situations.	30	37	6740
isolate	isolate	He used these methods to interrogate the memory repertoire of selected individuals to isolate monoclonal antibodies with unique specificities.	86	93	6748
isolate	isolate	Typical work is done with genes in order to isolate and then develop certain plant traits.	44	51	6747
isolate	isolate	The kill zone should isolate and trap the enemy.	21	28	6695
isolate	isolate	However, attempts to isolate gnomium proved fruitless.	21	28	6758
isolate	isolate	It attempts to isolate and exploit a mismatch using these skills.	15	22	6756
isolate	isolate	Gordonia effusa is a bacterium from the genus of Gordonia which has been isolate from human sputum in Japan.	73	80	6749
isolate	isolate	They isolate the rose, tend it, foster it.	5	12	6718
isolate	isolate	He further tells them that to isolate them fully, they are forbidden from using any advanced technology.	30	37	6711
isolate	isolate	This allows the player to isolate each reed.	26	33	6730
isolate	isolate	Methods using silica beads and silica resins have been created that can successfully isolate DNA molecules for subsequent PCR amplification.	85	92	6744
isolate	isolate	While significant populations do exist in protected areas, further loss of inhabitable terrain could fragment and isolate these communities.	114	121	6720
isolate	isolate	Now was the time for frank dialogue, rather than rhetoric that would isolate a country.	69	76	6762
isolate	isolate	Had they broken through, they would have been able to isolate the battalion's headquarters from the soldiers on the flanks.	54	61	6719
isolate	isolate	It attacked Hong Kong and Canton to isolate Japanese forces there.	36	43	12185
isolate	isolate	Consequently, high-level radioactive waste requires sophisticated treatment and management to successfully isolate it from the biosphere.	107	114	6735
isolate	isolate	Selenite broth is used to selectively isolate Salmonella species.	38	45	6704
isolate	isolate	"The condition of ""no torque"" is necessary to isolate the phenomenon of Thomas precession."	45	52	6713
isolate	isolate	Stas was able to successfully isolate the alkaloid from the organs of the victim.	30	37	6759
isolate	isolate	The user then has to watch the on-screen displays to try to isolate where the problem is.	60	67	12190
isolate	isolate	These bacteria doubled in number about every three weeks in laboratory conditions, which made them very difficult to isolate.	117	124	6755
isolate	isolate	Floodwaters from Storm Isolate 13 Vermont Towns; article; The New York Times online; accessed.	23	30	12186
isolate	isolate	"This is a, ""strategy to isolate American Muslims from the rest of society."""	24	31	6697
isolate	isolate	HPLC can be used to isolate products with the proper sequence.	20	27	6712
isolate	isolate	Directional microphones should be used in most cases, in order to isolate a speaker's voice from other potential noise sources.	66	73	6703
isolate	isolate	Still, the court system treated the hospital as simply a convenient way to isolate social outcasts.	75	82	6743
isolate	isolate	This is critical to ASM's requirement to be able to isolate the source of service-impacting conditions.	52	59	6750
isolate	isolate	The plan was to isolate Budapest from the rest of the German and Hungarian forces.	16	23	6766
isolate	isolate	Their illicit relationship serves to isolate them from their friends and from society at large.	37	44	6700
isolate	isolate	Their main objectives were to inflict casualties on US troops and to isolate them in the remote border regions.	69	76	6691
isolate	isolate	At the same time he began to isolate himself.	29	36	6742
isolate	isolate	The Seychelles then underwent two more stages of rifting to isolate it from Madagascar and India.	60	67	6701
isolate	isolate	This was both interesting and difficult to isolate due to its extraordinarily long half-life, about 1.39 million years.	43	50	12191
isolate	isolate	The V-22 has triple-redundant fly-by-wire flight control systems, which included computerized damage control to automatically isolate damaged areas.	126	133	12183
isolate	isolate	Air raids were also undertaken to isolate the battle area from further reinforcement.	34	41	6696
isolate	isolate	More importantly, a microinverter attached to a single panel allows it to isolate and tune the output of that panel.	74	81	6721
isolate	isolate	Buffer states sometimes isolate regions, such as Afghanistan's location between the Middle East and South Asia.	24	31	6726
isolate	isolate	His increasing tendencies would eventually start to isolate and alienate him from some of his own writers.	52	59	6690
isolate	isolate	However, the quantity of the metals was too small to isolate, and Osann eventually withdrew his discovery claims.	53	60	12192
isolate	isolate	The Council appreciated efforts by Albania to promote peace in the region and isolate extremists.	78	85	6728
isolate	isolate	Also, vapor-deposited, protective ceramic coatings like nitrides could be investigated for their suitability to isolate these new alloys.	112	119	6745
isolate	isolate	Despite the drawbacks of linkage analysis studies, they are nevertheless useful in preliminary studies to isolate genes linked to disease.	106	113	6733
isolate	isolate	In an effort to isolate the local communist movement, President Marcos went to China in 1975 to normalize diplomatic relations.	16	23	6736
isolate	isolate	Therefore, many reactions using 2-chloropyridine generate mixtures of products which require further workup to isolate the desired isomer.	111	118	6716
isolate	isolate	It is not possible to completely isolate a portion of the maze through gate-shifting.	33	40	6771
isolate	isolate	They isolate their servers by licensing software providers which are called MPI (merchant plug-in) providers.	5	12	6724
isolate	isolate	Like various other anaerobes, Actinomyces species are fastidious and thus not easy to culture and isolate.	98	105	6761
isolate	isolate	The team could not isolate and fix the error and they needed to ship it as soon as possible.	19	26	6732
isolate	isolate	The point was to find and isolate corrupted data before it was permanently written into databases and other disk files.	26	33	6698
isolate	isolate	Websphere uses AspectJ internally to isolate features of the different editions.	37	44	6757
isolate	isolate	Closing this strategic southern port was an important part of the Union strategy to isolate and subdue the South.	84	91	6685
isolate	isolate_nou	It is a Lindera obtusiloba isolate with anti-allergic activity.	27	34	6763
isolate	isolate_nou	The Penicillium isolate was discovered during the culture of the white mold.	16	23	6725
isolate	isolate_nou	Isoemericellin is a bio-active isolate of the marine fungus Emericella variecolor.	31	38	6737
isolate	isolate_nou	Eupenifeldin is a cytotoxic bistropolone isolate of Eupenicillium brefeldianum.	41	48	6686
isolate	isolate_nou	Antibiotic sensitivities are then assessed on the bacterial isolate to inform clinicians with respect to appropriate antibiotics for treatment.	60	67	6707
isolate	isolate_nou	Plinabulin is a fungal isolate derivative currently being researched for anticancer applications.	23	30	6764
isolate	isolate_nou	Psoriasis improvement in patients using glutathione-enhancing, nondenatured whey protein isolate.	89	96	6709
isolate	isolate_nou	Pectolinarigenin is a Cirsium isolate with anti-inflammatory activity and belongs to the flavones.	30	37	6765
isolate	isolate_nou	The parent of Vedda language is of unknown linguistic origin, is considered a linguistic isolate.	89	96	6705
isolate	isolate_nou	"The ""pop"" directional formatting characters terminate the scope of the most recent ""embedding"", ""override"", or ""isolate""."	112	119	6722
isolate	isolate_nou	The Isolate grid must be partitioned into areas so that each area contains two dotted squares.	4	11	6751
isolate	isolate_nou	Some horses do show the neurological effects without the D752 isolate but the majority are with this strain.	62	69	6769
isolate	isolate_nou	The entire Indo-European family itself is a language isolate: no further connections are known.	53	60	6772
isolate	isolate_nou	Warren County is heavily populated by the Haliwa-Saponi, descendants of a long existing tri-racial isolate deeply rooted in the area.	99	106	6684
isolate	isolate_nou	Molecular characterization of a closterovirus from carrot and its identification as a German isolate of carrot yellow leaf virus.	93	100	6734
isolate	isolate_nou	Soybean protein isolate has a biological value of 74.	16	23	6746
isolate	isolate_nou	11,11'-Dideoxyverticillin A, an isolate of marine Penicillium, was used to create dozens of semi-synthetic anticancer compounds.	32	39	12188
isolate	isolate_nou	The complete sequence of the genomic RNA of an isolate of Lily virus X (genus Potexvirus).	47	54	6738
