homograph	wordid	sentence	start	end	orig_idx
rerelease	rerelease	DeMille himself supervised a new version for its 1944 rerelease.	54	63	9622
rerelease	rerelease	"In 2011, the rerelease of the track ""Undertow"" as a single charted in the UK at No."	13	22	9597
rerelease	rerelease	In 2011, the album was scheduled for rerelease, alongside Get Fired and Born to Quit, on Asian Man Records.	37	46	9577
rerelease	rerelease	Native Windows 2000 and XP support are introduced in Koei rerelease and Sourcenext release for the Windows game.	58	67	9575
rerelease	rerelease	Not simply a rerelease, performing the songs again gives them even more soul than they did in 1968.	13	22	9579
rerelease	rerelease	"Suzanne McElfresh gave the 1999 rerelease a positive review, calling it ""more fully realized"" than Meat Puppets II."	32	41	9619
rerelease	rerelease	Additional and reworked tracks were created for its PlayStation 2 rerelease, Kingdom Hearts Re:Chain of Memories.	66	75	9625
rerelease	rerelease	Ventus was first shown in the secret endings of Kingdom Hearts II and its rerelease Kingdom Hearts II: Final Mix.	74	83	9602
rerelease	rerelease	"The 2006 CD rerelease replaces the album track version of ""Copacabana"" with the extended disco version."	12	21	9572
rerelease	rerelease	It was taken from the 2008 rerelease of her 2007 album, Over the Rainbow.	27	36	9649
rerelease	rerelease	The rerelease was exclusive to Enjoy The Ride Records, with copies also being available through Hot Topic.	4	13	9648
rerelease	rerelease	The CD rerelease of the Metal Box album by Public Image Ltd.	7	16	9642
rerelease	rerelease	The series was a rerelease version of Walt Disney Mini-Classics.	17	26	9655
rerelease	rerelease	"On the book jacket of the 2012 rerelease, William Gibson calls Shirley ""cyberpunk's patient zero."""	31	40	9656
rerelease	rerelease	At the time of the game's Virtual Console rerelease, he felt the game had aged well.	42	51	12513
rerelease	rerelease	The Virginian was released on 9 November 1929, with a theatrical rerelease in 1935.	65	74	9596
rerelease	rerelease	No bug fixes or patches were integrated into the Classics/Platinum rerelease of the game.	67	76	9600
rerelease	rerelease	In 2010, Ufouria: The Saga was rated by the Australian OFLC, implying a future rerelease.	79	88	9643
rerelease	rerelease	The 1998 Original Masters rerelease added two bonus songs that were also covers.	26	35	9633
rerelease	rerelease	EMI did the second rerelease in 1999 (featuring 24-bit digitally remastered sound and no bonus tracks).	19	28	9570
rerelease	rerelease	RuneScape 3 will use the Elo system for the rerelease of bounty hunter later in 2016.	44	53	9603
rerelease	rerelease	In 2002, the film had a very limited rerelease in U.S. theaters.	37	46	9653
rerelease	rerelease	The film was later condensed for rerelease and titled The Kaiser's Last Squeal.	33	42	9638
rerelease	rerelease	"As this box set is now discontinued, a rerelease was made in 2005 called ""Serial Experiments Lain TV-BOX""."	39	48	9585
rerelease	rerelease	In 1995, the full-length version appeared as a bonus track on the Virgin Records rerelease of the album Tonight.	81	90	12510
rerelease	rerelease	"Northern Silence Productions released a special digipak edition and also a rerelease on 10"" vinyl on March 23, 2007."	75	84	9631
rerelease	rerelease	The remastered version of the album along with the rerelease of Sonic Firestorm was released on 22 February 2010.	51	60	9634
rerelease	rerelease	The 1993 rerelease spent 27 weeks on the Hot 100 (matching the chart life of the original 1975 single).	9	18	9595
rerelease	rerelease	The film has only been released in Japan, and has not seen a home video rerelease since 1997.	72	81	9571
rerelease	rerelease	Tracks 11 and 12 appear on the Reprorecords rerelease (2001).	44	53	12508
rerelease	rerelease	Several of these tracks were also included on the CD rerelease of Presenting Cannonball Adderley.	53	62	12514
rerelease	rerelease	The CD rerelease omits the stage announcements and programs the live tracks first.	7	16	9610
rerelease	rerelease	By mistake, the rerelease was originally printed in Monaural and was corrected via a mail-in replacement campaign.	16	25	9626
rerelease	rerelease	The puppet was replaced with a computer-generated image for the Special Edition rerelease.	80	89	9630
rerelease	rerelease	Just Gettin' It On is the rerelease of Playa Fly's 1995 independent album, Just gettin it on.	26	35	9647
rerelease	rerelease	However, most coverage of the album followed the rerelease in June 2012.	49	58	9574
rerelease	rerelease	The 2010 rerelease also charted in the UK, reaching No.	9	18	9658
rerelease	rerelease	On October 16, 2015 Twiztid released another vinyl rerelease with Cryptic Collection: Halloween Edition.	51	60	9645
rerelease	rerelease	This DVD set contains the rerelease version of this film from Realart Pictures, Inc..	26	35	9592
rerelease	rerelease	The contents of Character Library and Music Library were later included as extras in the PlayStation rerelease of Chrono Trigger.	101	110	9623
rerelease	rerelease	CD rerelease with deluxe packaging on Tesco Distribution/Storm in 2001.	3	12	9654
rerelease	rerelease	An abridged 1929 rerelease version is preserved.	17	26	9604
rerelease	rerelease	The 1991 CD rerelease was titled Magnitude and featured three previously unreleased tracks from the sessions.	12	21	9617
rerelease	rerelease	Track five on the rerelease, I Am as Earth, originally appeared on a split that Nadja did with Moss.	18	27	9635
rerelease	rerelease	"Bonus tracks on the rerelease include a version of ""Hot Pink"" that incorporates a lengthy improvised jam."	20	29	9582
rerelease	rerelease	On October 31, 2015 Twiztid rereleased the third vinyl rerelease with Freek Show.	55	64	9621
rerelease	rerelease	September 2006 saw the remastered rerelease of Dawn of the Undead.	34	43	9637
rerelease	rerelease	Dora's signature board, released in 1966, became the biggest seller in history, and again on its rerelease 25 years later.	97	106	9580
rerelease	rerelease	This recording is a rerelease of a Collins Classics CD.	20	29	12507
rerelease	rerelease	"He also directed the music video for the 1988 rerelease of ""Atmosphere""."	46	55	9590
