homograph	wordid	sentence	start	end	orig_idx
use	use_nou	Its main use is for fresh eating.	9	12	11006
use	use_nou	The other mineral found in large quantities, conveniently with a commercial use, is shale.	76	79	11022
use	use_nou	The effect of preventive use is not clear.	25	28	11011
use	use_nou	Equally important as the use or lack of symbolism in algebra was the degree of the equations that were addressed.	25	28	11036
use	use_nou	The player can also make use of several weapons of opportunity, such as fire extinguishers.	25	28	11032
use	use_nou	The technique was in widespread use in Athenian Democracy and Renaissance Florence and is still used in modern jury selection.	32	35	11075
use	use_nou	Ribavirin was patented in 1971 and approved for medical use in 1986.	56	59	12670
use	use_nou	It joined the Brisbane tuff culvert and is still in use.	52	55	10993
use	use_nou	Gamification, the use of game mechanics to make tasks more fun, is used to encourage community engagement on SCN.	18	21	11013
use	use_nou	In lower limb surgery there have also been reports of successful use of perforator flaps.	65	68	11070
use	use_nou	"Instead, it should put the lands to their ""highest and best use."""	60	63	11069
use	use_nou	His team pioneered the use of GRACE for remote sensing of groundwater storage changes.	23	26	10998
use	use_nou	This module was developed and intended for use with the Dungeons & Dragons Expert Set and Companion Set rules.	43	46	12673
use	use_nou	The following are a few examples selected to illustrate the variety in use today.	71	74	10999
use	use_nou	It makes repeated use of Euclidean division.	18	21	11048
use	use_nou	Use of buses around the world has also been influenced by colonial associations or political alliances between countries.	0	3	11078
use	use_nou	Kennedy Park is a large, multi-use park in Hayward, California, managed by the Hayward Area Recreation and Park District (HARD).	31	34	11060
use	use_nou	The same developer also maintains a JavaScript (nodejs) tool to automate packaging Android apps for use with ARC.	100	103	11062
use	use_nou	Without the use of that confession, it is unlikely that there is sufficient evidence to retry him.	12	15	11040
use	use_nou	Membership in OCLC is based on use of services and contribution of data.	31	34	11055
use	use_nou	Even by that definition, the use of four wheels instead of two raises doubts.	29	32	11065
use	use_nou	Substances can leave particles during consumer use, for example into the air where they can be inhaled or ingested.	47	50	11034
use	use_nou	This is done through the use of materials that readily form stable compounds with active gases.	25	28	11053
use	use_nou	In December 2004 the School Board decided to retain the use of corporal punishment.	56	59	11052
use	use_nou	Before the liturgical reform, black was the ordinary color for funeral Masses; in the revised use, several options are available.	94	97	11023
use	use_nou	First, takedown notices supersede the fair use doctrine which goes against the freedom of speech act.	43	46	12672
use	use_nou	Kal Tire also carries and services industrial-use tires for equipment such as forklifts, excavators and tracked vehicles.	46	49	11031
use	use_nou	In the early 1890s, bookcases were purchased for use in each classroom.	49	52	11068
use	use_nou	This category of chip has grown dramatically with the increased use of 3G cell phones and other portable technologies.	64	67	11081
use	use_nou	Some equipment adapted for use in paediatric radiology includes:Artificial Windows / light panelsPositioning equipment such as sponges, weights.	27	30	11000
use	use_nou	The Government of the Netherlands donated US$370,000 for use in the relief efforts following the storm.	57	60	11038
use	use_nou	After the war Shinano Maru reverted to civilian use, being scrapped in 1951.	48	51	11054
use	use_nou	Erlang has found some use in fielding MMORPG servers.	22	25	11008
use	use_nou	It was a hairstyle that remained in constant use even when fashion changed.	45	48	11014
use	use_nou	Also many buildings in the compound show use of textiles or evidence of textiles being made in the building itself.	41	44	11044
use	use_nou	Because of segregation, his skills were never put to use.	53	56	10994
use	use_nou	Maspero published other testimonies on Algeria, including investigations of the use of torture by the French Army, also censored.	80	83	11018
use	use_nou	In 2007, the terminal's use changed to pilgrimage and charter flights.	24	27	11051
use	use_nou	It is also available for use by other institutions for seminars.	25	28	11050
use	use_nou	The BS 4573 socket is suitable for use in dry areas only, so is rarely used in a stand-alone form.	35	38	11077
use	use_nou	"In common use, ""cane"" may refer to any plant with a long, thin stem."	10	13	11058
use	use_nou	It has an additional use in gastric variceal obliteration as a dilutant that does not affect polymerization of cyanoacrylate.	21	24	10992
use	use_nou	Thetford Hill State Park is a day-use state park in Thetford Hill State Forest in Thetford, Vermont.	34	37	11029
use	use_nou	She remained at Nikolayev throughout the Russian Civil War, of no use to either side.	66	69	11076
use	use_nou	MOD and TOD are recording formats for use in digital tapeless camcorders.	38	41	11028
use	use_nou	Additionally, the eastern perimeter track for the aircraft has been adapted for use as a local road.	80	83	11041
use	use_vrb	He turned to Zev to use his connections on Capitol Hill, and it was done.	20	23	11010
use	use_vrb	Applications could also use simplified higher-level objects rather than directly call methods on the engines.	24	27	11005
use	use_vrb	Another concept of sample-return mission from Phobos and Deimos is OSIRIS-REx 2, which would use heritage from the first OSIRIS-REx.	93	96	11079
use	use_vrb	Despite the great deal of attention the system has received, very few publications successfully derive (or use) the full dynamics.	107	110	11063
use	use_vrb	They are the only ones that use Glock pistols (Glock 17 type).	28	31	11061
use	use_vrb	Hence consumers are advised to use a different phone when dialing a company's number to confirm.	31	34	12667
use	use_vrb	Many modern offset presses use computer-to-plate systems as opposed to the older computer-to-film work flows, which further increases their quality.	27	30	11059
use	use_vrb	Numerical solutions use a mesh of the structure to perform the simulation.	20	23	11056
use	use_vrb	Rasterization systems generally use a transformation stack to move the stream of input vertices into place.	32	35	11019
use	use_vrb	Light water reactors, both boiling water and pressurised water reactors the most common type, use ordinary (light) water.	94	97	12664
use	use_vrb	Some dog handlers use trade secrets to trim and style a dog for the show ring.	18	21	11045
use	use_vrb	Academic critics have pointed out that pseudoarchaeologists typically neglect to use the scientific method.	81	84	11024
use	use_vrb	Nowadays, only the older generation of Ilocanos use the Spanish system.	48	51	11047
use	use_vrb	The HM in the name indicates that these lenses use high-modulation glass elements.	47	50	11072
use	use_vrb	Because the shore and breakwater are disconnected, it is necessary to use a boat to reach it.	70	73	11071
use	use_vrb	"Of the controls, he wrote ""at times the movements don't seem to register properly unless you use exaggerated gestures."""	93	96	11046
use	use_vrb	All existing switches have been subsequently upgraded to use the 1B processor.	57	60	12666
use	use_vrb	Glider pilots use GNSS Flight Recorders to log GNSS data verifying their arrival at turn points in gliding competitions.	14	17	11025
use	use_vrb	Anti-Christian and anti-Jewish passages remained in grade school textbooks that use rhetoric that were little more than hate literature.	80	83	11066
use	use_vrb	"Those who are actively certified as a registered respiratory therapist are permitted to use the post-nominal letters ""RRT""."	88	91	11030
use	use_vrb	When writing the song, vocalist Chris Martin originally intended to use a church-style organ for the track.	68	71	12665
use	use_vrb	Smiley is able to use this irregularity against Karla, forcing him to defect to the West.	18	21	11035
use	use_vrb	The government planned to use some of the residential blocks as social housing.	26	29	11021
use	use_vrb	Nowadays Gorodets craftsmen use similar imagery and motifs in their works.	28	31	11073
use	use_vrb	In order to test effects within an omnibus test, researchers often use contrasts.	67	70	11049
use	use_vrb	The Hive use superior numbers to overwhelm their opponents in close quarters while more elite units attack from a distance.	9	12	11039
use	use_vrb	Boletini intended to use Montenegro as a base for incursions into Ottoman Albania.	21	24	11016
use	use_vrb	Brand is reluctant to do this, but they use his own words against him, and he gives in.	40	43	11037
use	use_vrb	The Sugpiaq (Alaska) also use it for bandages, and as a hot compress in medicinal steam baths.	26	29	11057
use	use_vrb	Especially people who often use them for various purposes.	28	31	11020
use	use_vrb	The Japanese even use their cell phones to do grocery shopping.	18	21	11003
use	use_vrb	In Maine, fence views use their judgement to determine if a fence is legal and sufficient.	22	25	11033
use	use_vrb	Lancia continued to use the HF integrale 16v throughout the 1990 season.	20	23	12669
use	use_vrb	For media, CS networks use Pulse-code modulation (PCM), while IMS uses Real-time Transport Protocol (RTP).	23	26	11043
