homograph	wordid	sentence	start	end	orig_idx
misuse	misuse_nou	Nevertheless, direct marketing can involve a misuse of databases and the soliciting of unwilling recipients.	45	51	12261
misuse	misuse_nou	Abuse of notation should be contrasted with misuse of notation, which should be avoided.	44	50	7382
misuse	misuse_nou	An issue in the election were allegations that there had been misuse of the procedure for allocating council housing.	62	68	7327
misuse	misuse_nou	"Firefighter Glen Jeffs indicated that the warrants referenced ""misuse of funds."""	63	69	7379
misuse	misuse_nou	Cannabis had been a class B substance under the Misuse of Drugs Act 1971.	48	54	7334
misuse	misuse_nou	EDS accused CA of breach of contract, including misuse of copyright and violations of anti-trust laws.	48	54	12255
misuse	misuse_nou	It is controlled in the UK by the Misuse of Drugs Act 1971.	34	40	7380
misuse	misuse_nou	Nawaz and Shahbaz Sharif were accused of misuse of authority and of wealth accumulation beyond their means.	41	47	7381
misuse	misuse_nou	The Act removed the statutory requirement for the Advisory Council on the Misuse of Drugs to include scientists.	74	80	7408
misuse	misuse_nou	Its most likely use is for the cybercriminals to lease out portions of the network for misuse.	87	93	7393
misuse	misuse_nou	These figures do not include the crime and social problems associated with alcohol misuse.	83	89	7402
misuse	misuse_nou	As a governor he tried his best to fight corruption and misuse of public funds.	56	62	7365
misuse	misuse_nou	Dakta Green is involved in several ongoing court cases for cannabis offences under the Misuse of Drugs Act 1975.	87	93	7386
misuse	misuse_nou	Following the 2013 Singapore cyberattacks, the Computer Misuse Act was renamed to Computer Misuse and Cybersecurity Act.	91	97	7396
misuse	misuse_nou	Following the resignation of President Richard Nixon, there were several investigations of suspected misuse of FBI, CIA and NSA facilities.	101	107	7367
misuse	misuse_nou	He also denied authorizing any misuse of customer funds.	31	37	7400
misuse	misuse_nou	There was widespread criticism of the misuse of Emergency powers.	38	44	7359
misuse	misuse_nou	Her social pretensions are rendered all the more comical by her frequent misunderstandings, misuse of common idioms and atrocious spelling.	92	98	7395
misuse	misuse_nou	Through their frequent misuse, words that should convey real value are emptied of meaning.	23	29	12262
misuse	misuse_nou	To prevent misuse of their names in this way, some legitimate academic institutions have registered .ac domains.	11	17	7405
misuse	misuse_nou	In 2015 however, case reports of extremely high-dose loperamide resulting in opioid misuse were published.	84	90	7346
misuse	misuse_nou	This was again criticized in both the press and parliament for the alleged misuse of funds supposedly earmarked for healthcare.	75	81	7326
misuse	misuse_nou	The European Commission accused E.ON of the misuse of markets in February 2008.	44	50	7366
misuse	misuse_nou	While generally stimulant medications do not seem to worsen substance misuse, they are known to be abused in some cases.	70	76	7384
misuse	misuse_nou	"Import ban on psychoactive drug, UK Home Office""The Misuse of Drugs Act 1971 (Amendment) Order 2012"" (PDF)."	52	58	7375
misuse	misuse_nou	This has led to complaints (for the last 50 years) that statistical significance testing is a misuse of statistics.	94	100	7410
misuse	misuse_nou	Pesticide misuse can also endanger wildlife and other environmental resources.	10	16	7360
misuse	misuse_nou	When the 2016 season of the anime season started, Gintoki parodied a Japanese politician crying for misuse of fundings.	100	106	7350
misuse	misuse_nou	Islam has instructed its followers to maintain decency in speech, and misuse of tongue has been admonished.	70	76	7336
misuse	misuse_nou	It is suggested to use a repository of reusable misuse cases as a support in this 5-step process.	48	54	7341
misuse	misuse_nou	To avoid misuse of official position or information.	9	15	7358
misuse	misuse_nou	The officer says he wanted them to learn a lesson about the misuse of prop guns.	60	66	7325
misuse	misuse_nou	Alcohol misuse costs the United Kingdom's National Health Service £3 billion per year.	8	14	7368
misuse	misuse_nou	Sri Lankan elections have a history of violence, misuse of state resources, and other violations of election laws.	49	55	7364
misuse	misuse_nou	It retained the powers given to SEBI in the ordinance, but also introduced safeguards against misuse.	94	100	7354
misuse	misuse_nou	However, after Highfather's misuse of the Life Equation, they are fully resurrected.	28	34	7332
misuse	misuse_nou	The substance could also be considered illegal in the UK under the Misuse of Drugs Act 1971.	67	73	7337
misuse	misuse_nou	Short-sighted misuse of that power can ruin everything.	14	20	7343
misuse	misuse_nou	He was sentenced to 31 years 10 months 15 days imprisonment for misuse of weapons restricted to the Army.	64	70	7342
misuse	misuse_nou	One night the real Chad arrives after learning about Sid's misuse of the device.	59	65	7371
misuse	misuse_nou	Proponents of the patent misuse defense suggest it could be a defense against litigation brought by patent trolls.	25	31	7340
misuse	misuse_nou	In 2013 he was dismissed by the university on grounds of refusal to teach and misuse of university resources.	78	84	7339
misuse	misuse_nou	He strongly opposed direct democracy, however, particularly the use (or misuse) of referendums, as leading to totalitarianism.	72	78	7351
misuse	misuse_nou	"This rule is known as the ""purging"" doctrine in patent misuse law."	55	61	7389
misuse	misuse_nou	Penalties for misuse of emergency door-opening handles are similar to those for stop-valve misuse.	91	97	7392
misuse	misuse_nou	"Sukanya Verma of Rediff.com appreciated the film for bringing ""attention to the misuse and commercialisation of religion""."	80	86	7330
misuse	misuse_nou	The season focuses on Chad's misuse of Jeremy and Maggie's attempts to ally with Jeremy.	29	35	7348
misuse	misuse_nou	In 2010, the Federal Circuit ruled, however, that similar conduct is not misuse.	73	79	7338
misuse	misuse_nou	He did however, receive a four-day ban from the racecourse stewards for the misuse of his whip.	76	82	7370
misuse	misuse_nou	Scandals ranging from illegal land sale/grabbing to funds misuse.	58	64	7347
misuse	misuse_nou	In theory, misuse detection assumes that abnormal behaviour has a simple-to-define model.	11	17	7383
misuse	misuse_nou	There have also been works that describe the possible misuse of Wikipedia.	54	60	12260
misuse	misuse_nou	Its misuse continued after the breakup of Yugoslavia when it served as a night club and gaming house.	4	10	7403
misuse	misuse_nou	Efforts to prevent suicide include limiting access to firearms, treating mental illness and drug misuse, and improving economic circumstances.	97	103	7378
misuse	misuse_nou	Joseph Daul was under investigation for misuse of public funds in France.	40	46	7345
misuse	misuse_nou	Having ADHD makes it more likely that an individual will initiate substance misuse at a younger age than their peers.	76	82	7377
misuse	misuse_nou	One of the hallmarks of problematic benzodiazepine drug misuse is escalation of dose.	56	62	7324
misuse	misuse_nou	He has opposed the misuse of funds for urban revitalization to instead destroy viable buildings.	19	25	7333
misuse	misuse_nou	Often both the alcohol misuse and psychological problems need to be treated at the same time.	23	29	12257
misuse	misuse_nou	This is not necessarily contradictory, as they include incompetent operation under equipment failure and specify overlap between malfunction and misuse.	145	151	7406
misuse	misuse_nou	Due to the nature of quad charts as relatively short documents, there are opportunities for misuse.	92	98	7349
misuse	misuse_nou	Misuse of an administrator's privileges can also be easily appealed.	0	6	7387
misuse	misuse_nou	Etizolam is controlled in Denmark under the Danish Misuse of Drugs Act.	51	57	7362
misuse	misuse_nou	Last year, he continued to detail the F.B.I.'s widespread misuse since 2001 of 'exigent letters'.	58	64	7385
misuse	misuse_nou	"And that is not patent misuse under any court's definition of the term."""	23	29	7369
misuse	misuse_nou	The misuse of arms is a criminal offence in Scotland, and treated as tax evasion.	4	10	7353
misuse	misuse_nou	These are expensive and susceptible to failure, improper configuration and misuse.	75	81	7376
misuse	misuse_nou	Matsui supports firearms manufacturers being held responsible for product misuse cases and lawsuits.	74	80	7361
misuse	misuse_nou	Due to misuse of the weapon, Roxalana forced fourteen-year-old nephew Frank Gates to further fire at her husband.	7	13	7409
misuse	misuse_nou	NASPER is designed to protect patients and physicians from the harmful effects of controlled substances through their misuse and abuse.	118	124	7352
misuse	misuse_nou	Denis McQuail also believes new media needs regulations to avoid misuse of monopoly power.	65	71	12263
misuse	misuse_nou	In 2002 the UN GA adopted a second resolution on the criminal misuse of information technology.	62	68	12258
misuse	misuse_nou	The Court also rejected the possibility of preemption due to Sherman Act violations stemming from misuse of the statute.	98	104	7373
misuse	misuse_vrb	Legislative Council Chairman Jasper Tsang Yok-sing disagreed that the police were excessively violent, saying they would not misuse pepper spray.	125	131	7374
misuse	misuse_vrb	"In 2006/2007, a group of Austrian researchers observed a tendency to misuse the Google engine as a ""reality interface""."	69	75	7407
misuse	misuse_vrb	I'm a religious person and I will fight those who misuse His name.	50	56	7397
misuse	misuse_vrb	They usually abandon the house if their gifts are called payments, or if the owners of the house misuse them.	97	103	7329
misuse	misuse_vrb	Children who are often forgotten, such as young carers, traveller children or children whose parents misuse alcohol or other drugs.	101	107	7398
