homograph	wordid	sentence	start	end	orig_idx
laminate	laminate_nou	Westermann experimented with all manner of wood, metal, laminate, synthetic materials such as rubber, and more.	56	64	6809
laminate	laminate_nou	Laser resist ablation Spray black paint onto copper clad laminate, place into CNC laser plotter.	57	65	6832
laminate	laminate_nou	Part of lower wings and chemicals tanks were made of a laminate to avoid corrosion.	55	63	6779
laminate	laminate_nou	Thin walled beams are particularly useful when the material is a composite laminate.	75	83	6805
laminate	laminate_nou	In some newer styles, off threadline aramid yarns, are also laid into the laminate.	74	82	6803
laminate	laminate_nou	The laminate not only cemented the sheets together, but also filled in any empty spaces between the sheet.	4	12	6785
laminate	laminate_nou	"Once sealed together, the glass ""sandwich"" (i.e., laminate) behaves as a single unit and looks like normal glass."	50	58	6781
laminate	laminate_nou	The laminate melts and becomes part of the paper, sealing the pages but letting it remain flexible and readable.	4	12	6783
laminate	laminate_nou	The laminate blade is deeply divided into linear segments and is yellowish brown with large digitate segments.	4	12	6793
laminate	laminate_nou	Depending upon the stacking sequence of the individual layers, the laminate may exhibit coupling between inplane and out-of-plane response.	67	75	6823
laminate	laminate_nou	Vacuum pressure is used to drive resin into the laminate.	48	56	6780
laminate	laminate_nou	Micarta industrial laminate sheet is a hard, dense material made by applying heat and pressure to layers of prepreg.	19	27	6796
laminate	laminate_nou	Laminate may be more durable than hardwood, but cannot be refinished like hardwood.	0	8	6857
laminate	laminate_nou	These use polyethylene-coated liquid packaging board and sometimes a foil laminate.	74	82	6831
laminate	laminate_nou	Personal data was recorded on the inner rear cover of the passport, which was covered with a security laminate.	102	110	6854
laminate	laminate_nou	Economical boards comprise paper, plastic, or laminate, which can easily be folded away and stored.	46	54	6814
laminate	laminate_nou	NEMA is the regulating authority for FR-4 and other insulating laminate grades.	63	71	6841
laminate	laminate_nou	Every person in the crowd had a laminate.	32	40	6816
laminate	laminate_nou	These were the first to have a laminate built into the document.	31	39	6829
laminate	laminate_nou	Fabric layers or continuous strand mats are added into the laminate, depending on performance requirements.	59	67	12194
laminate	laminate_nou	Hugo Junkers first explored the idea of a honeycomb core within a laminate structure.	66	74	6778
laminate	laminate_nou	Laminate flooring is often made of melamine resin, a compound made with formaldehyde.	0	8	6839
laminate	laminate_nou	Pioneer work on composite laminate thinthin walled beams was done by Librescu.	26	34	6813
laminate	laminate_nou	It is the first company to produce high-density fiberboard (HDF), medium-density fiberboard (MDF), laminate flooring and multi-layer films in Iran.	99	107	12202
laminate	laminate_nou	For the restoration of the folios after the removal of the laminate, an innovative parchment leafcasting technique was developed.	59	67	6801
laminate	laminate_nou	It is also important to keep laminate relatively dry, since sitting water/moisture can cause the planks to swell, warp, etc.	29	37	6840
laminate	laminate_nou	The application can carry out laminate analyses including calculation of laminate stiffness, stress, strain, and failure.	73	81	6795
laminate	laminate_nou	Majic laminate flooring offers the timeless hardwood look at a more affordable price point.	6	14	6807
laminate	laminate_nou	However, many laminate surfaces and ceramic topped stoves are easily damaged by these abrasive compounds.	14	22	6817
laminate	laminate_nou	Overprinting of the laminate was added in 1981 to make removal easier to spot.	20	28	6806
laminate	laminate_nou	There are many benefits to choosing a laminate floor over other types of flooring.	38	46	6855
laminate	laminate_nou	Its products include a wide variety of beds, mattresses, carpets, laminate flooring, vinyl flooring and rugs.	66	74	6858
laminate	laminate_nou	It is generally made of either a plywood laminate or aluminum with a rubber laminate.	41	49	6834
laminate	laminate_nou	The Tsai-Wu criterion predicts failure when the failure index in a laminate reaches 1.	67	75	12197
