homograph	wordid	sentence	start	end	orig_idx
convert	convert_nou	Petrus Alphonsi, a Spanish Jewish convert to Christianity, popularized this tale in Europe in his collection Disciplina Clericalis.	34	41	3079
convert	convert_nou	Another important convert was Baksaday-Dorji, the grandson of Ayuka Khan who adopted the Christian name, Peter Taishin.	18	25	11783
convert	convert_nou	The gunman in the military recruiting center attack, Abdul Hakim Mujahid Muhammad, was black, a Muslim convert, anti-military, and anti-American.	103	110	3099
convert	convert_nou	Pu Thuam Hang, chief of Khuasak, was the first Christian convert among the Zomi (Chin) in Chin State, Burma.	57	64	3117
convert	convert_nou	Wilsdorf was an early convert to the wristwatch, and contracted the Swiss firm Aegler to produce a line of wristwatches.	22	29	3045
convert	convert_nou	On April 1, 1984, she married the widowed German convert Abdulkarim Grimm (1933-2009) and moved to Hamburg with him.	49	56	3103
convert	convert_nou	She was the daughter of John Purcell Gillespie and Mary Madeleine Miers, the latter a convert to the Church.	86	93	3107
convert	convert_nou	The invited speaker that year was Orsetes Brownson, a philosopher and Catholic convert.	79	86	3102
convert	convert_nou	Abdallah Jones, a Welsh-born Muslim-convert terrorist affiliated with jihadists in Pakistan and elsewhere.	36	43	3093
convert	convert_nou	He was born about the close of the sixth century, and became a convert to Judaism about 615.	63	70	3052
convert	convert_nou	He is a convert to Roman Catholicism.	8	15	3048
convert	convert_vrb	Captiva Software, also announced in October 2005, added image capture and scanning technologies to convert paper-based documents into digital formats.	99	106	11782
convert	convert_vrb	These destabilizing tactics eventually forced the LMU to convert to a pure gold standard for its currency (in 1878).	57	64	3083
convert	convert_vrb	Multiplication by attaches vortices to each electron to convert it into a composite fermion.	56	63	3091
convert	convert_vrb	Following the end of the war, the Society helped convert America's wartime industry into a producer of consumer goods.	49	56	3128
convert	convert_vrb	Lockheed Martin also received a contract to convert existing M30 DPICM GMLRS rockets to the XM31 unitary variant.	44	51	3106
convert	convert_vrb	This had to happen when the bank (Lloyds) refused Blacks' offer to convert them into Blacks and Millets stores.	67	74	3043
convert	convert_vrb	His bride, however, was reluctant to convert.	37	44	3109
convert	convert_vrb	Luteal cells possess the necessary enzymes to convert cholesterol to pregnenolone, which is subsequently converted into progesterone.	46	53	3121
convert	convert_vrb	Schlumberger Chart SP-2 can then be used to convert Rwe to obtain Rw.	44	51	3087
convert	convert_vrb	The second part is of those writings inviting other rulers and kings to convert to Islam.	72	79	3041
convert	convert_vrb	However, she made known to Sebastian her desire to convert to the Church.	51	58	3086
convert	convert_vrb	The Deathloks were then used to hunt down and convert all heroes of the future.	46	53	3071
convert	convert_vrb	When the Spaniards arrived in the island one of their first missions was to convert the Tainos into Christianity.	76	83	3061
convert	convert_vrb	Typical pyrolysis processes require a water content of less than 40% to suitably convert the biomass to bio-oil.	81	88	3095
convert	convert_vrb	Existing treatment plants use bacteria that convert ammonium into nitrate.	44	51	3076
convert	convert_vrb	The conversion part comes in when they plan to have Gallicanus convert to Christianity.	63	70	3097
convert	convert_vrb	Church leaders and Christian communities received letters warning them to convert to Islam or face suicide bombings.	74	81	3112
convert	convert_vrb	The combination of manganese dioxide, cyanide, acetic acid and methanol will convert the aldehyde to a methyl ester.	77	84	3114
convert	convert_vrb	The company started to convert former passenger aircraft into freighters in 1996.	23	30	3072
convert	convert_vrb	The first step is to convert P1 and P2 into their equivalent weak formulations.	21	28	11786
convert	convert_vrb	Biocatalysts can be exploited to convert these waste gases to chemicals and fuels as, for example, ethanol.	33	40	3124
convert	convert_vrb	Haxe can automatically convert miles to kilometers, but not the reverse.	23	30	3059
convert	convert_vrb	The reason for this murder was because she had refused to convert to Zoroastrianism and wanted to stay Christian.	58	65	3042
convert	convert_vrb	Post Brothers is expected to convert the former office building into residential apartments or condominiums.	29	36	3040
convert	convert_vrb	The points earned in qualifying runs convert to additional seconds on the solo run timer.	37	44	3067
convert	convert_vrb	In 1632, this order was expelled from Eritrea for wanting to convert the country (an Orthodox country) to Catholicism.	61	68	3111
convert	convert_vrb	For the first time, the Shia could openly convert other Muslims to their movement.	42	49	3098
convert	convert_vrb	From 2005 university colleges were allowed to convert into universities if they met certain requirements.	46	53	3046
convert	convert_vrb	People and non-governmental organisations are pressing hard to convert it into an wildlife sanctuary.	63	70	3057
convert	convert_vrb	Later that year the IJN decided to convert her to an escort carrier, matching her sisters Taiyo and Un'yo.	35	42	3101
convert	convert_vrb	Keep can convert text notes into checklists.	9	16	3126
convert	convert_vrb	NOGS succeeded in Vietnam, but funds to convert more aircraft were not approved.	40	47	3060
convert	convert_vrb	It takes 30 minutes to convert the aircraft on ATR 42, while for ATR 72, it takes 45 minutes.	23	30	3075
convert	convert_vrb	In January 1962, planning permission was granted to convert the mill into a house.	52	59	3073
convert	convert_vrb	He was one of the few pagan leaders of the Carantanians to convert to Christianity.	59	66	3047
convert	convert_vrb	The hang glider wing can be replaced with a paraglider wing and requires ten minutes to convert.	88	95	3108
convert	convert_vrb	Similar reactions are used industrially to convert cyclic siloxanes to linear polymers.	43	50	3115
convert	convert_vrb	Senders convert their messages written with Chinese characters to a sequence of digits according to the codebook.	8	15	3049
convert	convert_vrb	Sambhaji dared Aurangzeb in open court and faltly refused to convert to Islam.	61	68	3120
convert	convert_vrb	In both the WO-1 and 3153A strains, the different phases convert spontaneously to the others at a low frequency.	57	64	3050
convert	convert_vrb	To compare accurately, you must convert all dollar amounts into same-year dollars.	32	39	3090
convert	convert_vrb	These religions are not permitted to proselytize or to try and convert others into their faith.	63	70	3094
convert	convert_vrb	"It can convert into a muzzle, a plastic blue bucket filled with water, and a ""magic hand."""	7	14	3088
convert	convert_vrb	There are plans to convert it into a museum.	19	26	3122
convert	convert_vrb	"We want to convert them to question who they are, and also question society."""	11	18	3056
convert	convert_vrb	After refusing to convert to Islam, they were executed at Samarra on 6 March 845.	18	25	3054
convert	convert_vrb	Whether the Christmas visions would or would not convert Scrooge, they convert us.	71	78	3125
convert	convert_vrb	Photochemical carbon dioxide reduction harnesses solar energy to convert CO₂ into higher-energy products.	65	72	3051
convert	convert_vrb	"Software ""translators"" could convert documents between WordStar and MacWrite, among others."	29	36	3055
convert	convert_vrb	The Rams couldn't convert on fourth down of their following drive and the Packers took over own downs.	18	25	3129
convert	convert_vrb	Some reports also show that many of the Chinese Indonesians minority convert to Christianity.	69	76	3100
convert	convert_vrb	He attempted, without success, to convert many of his Orthodox subjects to Catholicism by force.	34	41	3080
convert	convert_vrb	The option exists to convert a RRSP into a RRIF anytime on or before an individual reaches their 71st year.	21	28	3078
convert	convert_vrb	The dispute prompted the family to move again, to Fort Wayne, and convert to the Presbyterian church.	66	73	3104
convert	convert_vrb	After this battle the players agreed to convert the game to a Diplomacy-variant rule base.	40	47	3070
convert	convert_vrb	It also catalyzes other reactions that convert enol ethers, dithioacetals, and vinyl sulfides to olefins.	39	46	3074
convert	convert_vrb	Houthis militants to Jews: Convert or leave Yemen.	27	34	3089
convert	convert_vrb	Watched by a near-capacity crowd, the visitors Arsenal began the tie more strongly, but failed to convert their chances.	98	105	3053
convert	convert_vrb	In 1992, after a long period of neglect, a redevelopment project was considered to convert the building into a hotel.	83	90	11781
convert	convert_vrb	Her Muslim older brother tried in vain to convert Flora to Islam, eventually surrendering his sister to the authorities.	42	49	3064
convert	convert_vrb	Bahrain was one of the earliest areas to convert to Islam (AD 628).	41	48	3068
convert	convert_vrb	Johnson Motor Wheel was a kit to convert a bicycle into a motorized bicycle.	33	40	11777
convert	convert_vrb	They were required to formally convert to be accepted as Jews, because their history was not documented.	31	38	3113
convert	convert_vrb	Domestic biogas plants convert livestock manure and night soil into biogas and slurry, the fermented manure.	23	30	3127
convert	convert_vrb	Together with Katerina, Hector was aiming to convert the Philippine democratic system into a dynastic reign of monarchs.	45	52	3116
convert	convert_vrb	Techniques from control theory convert the task into commands that drive the actuators.	31	38	3119
convert	convert_vrb	Convert the whole number to an improper fraction with the same denominator as the fractional part,.	0	7	3044
convert	convert_vrb	It is nothing more than a disguised effort to missionize Jews and convert them to Christianity.	66	73	11779
convert	convert_vrb	Any overseas national attempting to acquire Saudi nationality must convert to Islam.	67	74	3077
