homograph	wordid	sentence	start	end	orig_idx
live	live_adj	The live BBC 1 trailer was directed by John Rooney.	4	8	7130
live	live_adj	Dead End recorded their live video Psychoscape here on September 24, 1988.	24	28	7060
live	live_adj	129, with Eugene Ormandy conducting the Festival orchestra1954: At Prades (all live performances), including:Beethoven: Cello Sonata No.	79	83	7077
live	live_adj	It was recorded live during their K.F.D. World Tour in 1997.	16	20	7073
live	live_adj	The same year, Cardoso, the band's live keyboardist since 2011, joined as a full-time member.	35	39	7102
live	live_adj	"Also, hosts are required to perform hours of ""free live chat"" in which they are not paid."	51	55	7134
live	live_adj	Tomando Control: Live (English: Taking Control) is a live album by Puerto Rican duo Wisin & Yandel.	53	57	7067
live	live_adj	Kingdom is the third live album from Covenant Worship.	21	25	7105
live	live_adj	It mirrored many of KVST's objectives including the mobile bus to cover distant events live.	87	91	7116
live	live_adj	"One episode included a live performance of ""My Little Angel"" by William Shakespeare."	23	27	7104
live	live_adj	New live shows and recordings are being planned for 2009.	4	8	7107
live	live_adj	The results show is recorded directly after the live show.	48	52	7089
live	live_adj	Both Therion's and Epica's performances were released as a live album in 2009 by Nuclear Blast Records.	59	63	7138
live	live_adj	This includes live music and local music tracks.	14	18	7091
live	live_adj	"The live version of ""Da Doo Ron Ron"" features the band The Crystals backing up Cassidy."	4	8	7063
live	live_adj	However, now that live shows have ceased this never happened.	18	22	7132
live	live_adj	Later, Queen recorded a third live version of the song at Wembley Stadium, London, in 1986.	30	34	7129
live	live_adj	It may or may not have live culture remaining in the cheese after manufacture depending on the specific process.	23	27	7097
live	live_adj	The band first performed the song live on Radio 1 at Maida Vale studios with Annie Mac.	34	38	7103
live	live_adj	Radio Live News took over from the RadioWorks news service, Global News, with the launch of Radio Live in 2005.	6	10	12230
live	live_adj	In addition, television service will also stream live program content on iPad and Android tablet computers.	49	53	7076
live	live_adj	The May 8 performance was broadcast nationally on Live from Lincoln Center on PBS.	50	54	7125
live	live_adj	The show concluded with the band's first public live performance at The Dome at the Dortmunder Westfalenhalle in February 2001.	48	52	7118
live	live_adj	Performance and Cocktails: Live at Morfa Stadium is a 1999 DVD released by Welsh Rock trio, Stereophonics.	27	31	7081
live	live_adj	The album also featured performances by most of Workman's then current live band.	71	75	12228
live	live_adj	Mere is the first live album by Norwegian rock band deLillos.	18	22	7098
live	live_adj	In 2007, he played live at the Boston Pops which created a piece of orchestral music with electronic music.	19	23	12231
