homograph	wordid	sentence	start	end	orig_idx
expose	expose_nou	The channel's biggest expose so far is about a casino which was established in Poro, San Fernando City, La Union.	22	28	11996
expose	expose_nou	Heidi later forgives Carl and Mitzeee confesses that Carl's past with Trish forced the expose.	87	93	11997
expose	expose_nou	"An expose of Ricord ""The Hunt for Andre"" was published in Reader's Digest May 1973 pp."	3	9	5050
expose	expose_nou	The expose was based on three-month investigation.	4	10	5011
expose	expose_vrb	This motivated Orwell to expose and strongly condemn what he saw as the Stalinist corruption of the original socialist ideals.	25	31	5042
expose	expose_vrb	Peter watches shocked as Claire jumps from the top of the Ferris Wheel to expose her power to the world.	74	80	5044
expose	expose_vrb	It is therefore advisable to expose young ferrets to as many different types and flavors of appropriate food as possible.	29	35	4992
expose	expose_vrb	It will reveal secrets and expose truths surrounded by silence.	27	33	5069
expose	expose_vrb	Internet, Wi-Max connectivity to expose students of the Vidyalaya to the global activities.	33	39	5031
expose	expose_vrb	He ignored the challenge, after which the challenger threatened to expose him as a coward.	67	73	5017
expose	expose_vrb	Figaro, Susanna, and the Countess conspire to embarrass the Count and expose his scheming.	70	76	11999
expose	expose_vrb	"By expecting publick good from private virtue, we expose ourselves to publick evils from private vices."""	50	56	11995
expose	expose_vrb	Put simply, classes inside ArcObjects use only COM interfaces to expose their public members and communicate with each other.	65	71	5064
expose	expose_vrb	Do not expose to air or light unnecessarily.	7	13	5065
expose	expose_vrb	Ducane must decide whether or not to expose Biranne when he makes his report to Octavian.	37	43	5068
expose	expose_vrb	When this subsided he helped expose Titus Oates, and with the Revolution of 1688, he veered towards the Whig party.	29	35	5019
expose	expose_vrb	Among the complaints were that the loosening of investment protections would expose small and inexperienced investors to fraud.	77	83	5053
expose	expose_vrb	This process may expose a cross-section of crust to the surface, as at Euboea Montes.	17	23	4986
expose	expose_vrb	Sherry then attempts to expose the truth for reasons of her own.	24	30	4997
expose	expose_vrb	Critics argue his confrontational style sometimes contributes to the conflict he seeks to expose and oppose.	90	96	4996
expose	expose_vrb	The fear that this research can expose the internal fraud-detection system of middlemen still applies.	32	38	4991
expose	expose_vrb	After Ralph and Stahl expose their plans to hypnotize the TV viewers, they are fired by the Ferret Network's CEO.	22	28	5014
expose	expose_vrb	There should be agencies with the legal power to expose and punish governmental institutions for corruption or other unlawful actions.	49	55	5021
expose	expose_vrb	But one of the jealous relatives of Chandra (Cochin Haneefa) manages to expose Appukkuttan before everyone.	72	78	5010
expose	expose_vrb	Ravikant meets Arya and Arya informs that he has the recordings of Neena's meeting which will expose Ravikant.	94	100	5006
expose	expose_vrb	It clearly expose this new interactive technology with content feeding and feedback through global networking.	11	17	11998
expose	expose_vrb	AAPS has three on-site facilities in order to expose students to laboratory environments and protocol.	46	52	4999
expose	expose_vrb	These individuals expose themselves to great danger in order to protect the cowboy.	18	24	5013
expose	expose_vrb	The graft skin is dissected to expose the veins and the thoracodorsal nerves.	31	37	4994
expose	expose_vrb	Radack is the director of National Security & Human Rights at Expose Facts.	62	68	5018
expose	expose_vrb	Even fish may be attacked by some mosquito species if they expose themselves above water level, as mudskippers do.	59	65	4995
expose	expose_vrb	Its stated goal is to investigate and expose crimes against wildlife and the environment.	38	44	5020
expose	expose_vrb	The group also held press conferences to expose Soviet forgeries and distributed copies of the fake documents to attending journalists.	41	47	5005
expose	expose_vrb	The oranges then go through roller conveyors, which expose all sides of the fruit.	52	58	5061
expose	expose_vrb	"According to Simon, Bannion ""used to take his duck to the bar and repeatedly expose 'pretty boy' and all else."	77	83	4984
expose	expose_vrb	Some programming language implementations expose their debugging functions for use by other programs.	42	48	5009
expose	expose_vrb	He wants to expose the malpractice of Ignatz.	12	18	4987
expose	expose_vrb	Her Grecian-Roman costume is revealing, and her sandals expose her feet.	56	62	12002
expose	expose_vrb	To record on film, DeForest tried using a standard light bulb to expose amplified sound onto film.	65	71	5023
expose	expose_vrb	Kings wear long robes that expose their feet.	27	33	5049
expose	expose_vrb	"The large windows in front expose a showroom containing historic artifacts, including the famous ""VETO No."	27	33	4998
expose	expose_vrb	Then he proceeded to expose the appendix.	21	27	5055
expose	expose_vrb	He risks his career and his life to expose the truth.	36	42	5003
expose	expose_vrb	The trunk is cut open to expose the cavity, and the comb is carefully removed and strapped into standard frames.	25	31	5043
expose	expose_vrb	The radioactive second-dimension gel is then allowed to expose a large sheet of film.	56	62	5058
expose	expose_vrb	In cleavage, the magnesium ions activate oxygen from water molecules and expose them to nucleophilic attack.	73	79	5008
expose	expose_vrb	There have been also attempts to expose problems of voting system by proofs of concept.	33	39	5054
expose	expose_vrb	The building is substantially shaped by climatic considerations with the intention to expose the interiors towards the sky and nature.	86	92	5000
expose	expose_vrb	Community Radio IndiaBBC 'Radio raids' expose India's corrupt 29 September 2005.	39	45	5051
expose	expose_vrb	Jack reveals to Rachel why he's in New York, and the two conspire to expose Pryce.	69	75	4982
expose	expose_vrb	To expose the brand he gave T-shirts to the musician Cornelius who wore them when performing.	3	9	5027
expose	expose_vrb	An American journalist works to expose a criminal gang in London.	32	38	5015
expose	expose_vrb	This act can expose the consumer to toxic substances and parasites found in the ingested earth.	13	19	5032
expose	expose_vrb	Ching gets a job at another jewelry company, and collaborates with Lung to expose Yuen's wrongdoings.	75	81	5029
expose	expose_vrb	Rahim's letters expose his incredible awareness of American pop culture, including a criticism of Lebron James.	16	22	5056
expose	expose_vrb	Indian techies in S Korea expose fat salary lie.	26	32	5025
expose	expose_vrb	One way of doing so was to avoid foreign publicity in order to expose problems.	63	69	5007
expose	expose_vrb	Realizing that these documents would expose his cover-up attempt, Fairey chose to come clean to his attorney.	37	43	5037
expose	expose_vrb	But working for Heep allows Micawber to expose his boss as a forger and a cheat.	40	46	4983
expose	expose_vrb	Kit warns that he would expose the asylum's secrets if those results don't occur.	24	30	5070
expose	expose_vrb	He was expose the villain and restore peace forms the rest of the point.	7	13	5040
expose	expose_vrb	Elia's brother Oberyn Martell is named Tyrion's champion for his own agenda to expose Gregor as a murderer.	79	85	5062
expose	expose_vrb	He also bullies workers, especially Lois Lane, who threatens to expose him as the Kingpin.	64	70	11994
expose	expose_vrb	Jacob Riis was only the first in to expose the conditions that the impoverished lived in using photographs.	36	42	5060
expose	expose_vrb	Sheila sent her mother to her farmhouse in Michigan before Molly could expose her.	71	77	5026
expose	expose_vrb	British forces placed there would expose the colonial forces in Boston to attack from the rear.	34	40	5036
expose	expose_vrb	Explorers, who like to discover all areas within the game, including hidden areas and glitches, and expose all game mechanics.	100	106	5048
expose	expose_vrb	Booths expose the Corsican literature in all areas, let others find the old songs and melodies on CD-ROM.	7	13	4985
expose	expose_vrb	He would later say that he had remained silent until then to expose flaws in the German justice system.	61	67	5038
expose	expose_vrb	They uncovered other suspicious deaths of officials who attempted to expose the ZNA's involvement in elephant and rhino poaching.	69	75	5063
expose	expose_vrb	We use the story to expose the mechanics, and we use the mechanics to tell the story, said Dan Houser.	20	26	5066
expose	expose_vrb	Classes in studio and location lighting expose students to daylight, tungsten, quartz and electronic flash options.	40	46	12001
expose	expose_vrb	Initially, multicultural education had intentions to expose and educate on the institutionalized racism that existed in the education system.	53	59	4990
expose	expose_vrb	Trotsky intended to use the forum to expose the NKVD's activities against him and his followers.	37	43	5052
expose	expose_vrb	The event's purpose was to expose Classical Organ Students to the world of theatre organ.	27	33	5067
