homograph	wordid	sentence	start	end	orig_idx
fragment	fragment_nou	The island, like the Falkland Islands, is a fragment of some greater land-mass now vanished.	44	52	5163
fragment	fragment_nou	Calypso uses her fragment of the Tablet of Order and Chaos to raise an army of zombies.	17	25	5203
fragment	fragment_nou	This fragment is two bifolia taken from an early seventheenth-century binding.	5	13	5228
fragment	fragment_nou	Even in the same bioptic fragment, different degrees of damage may be present.	25	33	5164
fragment	fragment_nou	It is shorter than most of Lovecraft's other short stories, and is essentially a fragment.	81	89	5240
fragment	fragment_nou	The whole business proved unexpectedly easy as Bizarro deliberately destroyed himself by colliding with the duplicating machine's fragment.	130	138	5208
fragment	fragment_nou	The moment he made the decision, the fragment took birth inverted (head-down and legs-up) in the world.	37	45	5201
fragment	fragment_nou	In his earlier works, such as Seated/Unseated Woman and Light Figure Fragment, Kraft rendered sculptures incorporating details in neon.	69	77	5186
fragment	fragment_nou	One side of this single-leaf fragment consists of John 20:30-31 with a large space under it, having no subscription.	29	37	5205
fragment	fragment_nou	At the end of this stage, each node has received the new fragment ID and level.	57	65	5191
fragment	fragment_nou	"It ""represents a fragment of a substantial hotel that served the Furness Railway""."	17	25	5231
fragment	fragment_nou	The only fragment of Sappho to explicitly refer to female homosexual activity is Sappho 94.	9	17	5242
fragment	fragment_nou	The measurements of the fragment are 344 by 119 mm.	24	32	12017
fragment	fragment_nou	The measurements of the fragment are 278 by 910 mm.	24	32	5220
fragment	fragment_nou	"In a fragment of Hellanicus, the author states that the ""Athenians, Arcadians, Aeginetans and Thebans are autocthones."""	5	13	5225
fragment	fragment_nou	This LDPC code fragment represents a three-bit message encoded as six bits.	15	23	5238
fragment	fragment_nou	Cave 8 produced five fragments: Genesis (8QGen), Psalms (8QPs), a tefillin fragment (8QPhyl), a mezuzah (8QMez), and a hymn (8QHymn).	75	83	5198
fragment	fragment_nou	The measurements of the fragment are 220 by 243 mm.	24	32	5171
fragment	fragment_nou	This ensures that the fragment chain forms realistic angles both within the fragment and between fragments.	22	30	5230
fragment	fragment_nou	The fragment was discovered by Grenfell and Hunt in 1897 in Oxyrhynchus.	4	12	5213
fragment	fragment_nou	This fragment is often found for aromatic compounds containing a benzyl unit.	5	13	5193
fragment	fragment_nou	The entire S segment and a fragment of the M segment have been sequenced.	27	35	5233
fragment	fragment_nou	Each time Alex recovers a stone fragment leads to the rebirth and invention of various things in his world.	32	40	5196
fragment	fragment_nou	RI-1077 is the only site at which a marine shell fragment was found.	49	57	5169
fragment	fragment_nou	Note that side chains are typically not modeled using the fragment library approach.	58	66	5177
fragment	fragment_nou	Other names for a rock veneer are rock-fragment cover (RFC), stone pavement, desert pavement, stony mantle, hammada and reg.	39	47	5235
fragment	fragment_nou	This production technique consists of taking a small fragment of sound and repeating it rhythmically.	53	61	5246
fragment	fragment_nou	Macalister could make neither head nor tail of it, and declared it to be an ancient fragment of druidic lore.	84	92	12014
fragment	fragment_nou	His name occurs in a fragment of the Fratres Arvales.	21	29	5232
fragment	fragment_nou	In those instances an interventional radiologist can usually retrieve the fragment and place a new port.	74	82	5194
fragment	fragment_nou	This fragment of a stone cross is located in the church Kirk Michael.	5	13	5210
fragment	fragment_nou	Spider-Man Noir pursues Vulture through the streets; Vulture's fragment grants him teleportation powers.	63	71	5226
fragment	fragment_nou	The two search the ruined city and finally locate Elliot in a large impact crater created by the largest fragment.	105	113	5227
fragment	fragment_nou	In the 2099 universe, Spider-Man confronts Vulture who uses a fragment so his wings could shoot bullets.	62	70	5179
fragment	fragment_nou	In one fragment someone encourages Waldere to go on fighting.	7	15	5180
fragment	fragment_nou	The distal fracture fragment is displaced volarly (ventrally), as opposed to a Colles' fracture which the fragment is displaced dorsally.	106	114	5206
fragment	fragment_nou	These steps are collectively referred to as fragment processing.	44	52	5239
fragment	fragment_nou	Its Fab fragment was crystallized in complex with the ED3 domains of DENV1, DENV3 and DENV4.	8	16	5174
fragment	fragment_nou	The measurements of the fragment are 273 by 158 mm.	24	32	5221
fragment	fragment_nou	This skull fragment was first described by Sartono in 1982.	11	19	5236
fragment	fragment_nou	At the court, the Doctor tries to tell Federico that the energy fragment could spell the end of the world.	64	72	5161
fragment	fragment_nou	Chemically, efungumab is a single-chain variable fragment of a human monoclonal antibody.	49	57	5199
fragment	fragment_nou	Degradation level, more than fragment size, seems to affect density and birth rates of the populations of this species.	29	37	5192
fragment	fragment_nou	For example, it has been reported that Taurine significantly increases the yield of in vitro refolding for Fab fragment antibodies.	111	119	5168
fragment	fragment_nou	The fragment is not cited in critical editions of the Greek New Testament (UBS4, NA28).	4	12	5214
fragment	fragment_nou	The measurements of the fragment are 100 by 135 mm.	24	32	5209
fragment	fragment_nou	Most of the Chatham Island economy is based on fishing and crayfishing, with only a fragment of in adventure tourism.	84	92	5176
fragment	fragment_nou	She loses the Phoenix fragment after Spider-Man baits her and Colossus into taking each other out.	22	30	12018
fragment	fragment_nou	The following code fragment connects to the Keyword Services Platform server and uses the keyword term forecast Web service.	19	27	12016
fragment	fragment_nou	The title came from a fragment Bryan Adams and Jim Vallance wrote in late 1980s.	22	30	5167
fragment	fragment_nou	The measurements of the fragment are 177 by 163 mm.	24	32	5185
fragment	fragment_nou	In addition there is a skull fragment from the Troublesome Formation of Colorado.	29	37	5184
fragment	fragment_nou	The fragment was found near Antinoe in Egypt.	4	12	5241
fragment	fragment_nou	The inserted chromosome yields a large fragment when the homologous region is amplified.	39	47	5212
fragment	fragment_nou	The tests were performed on two femur fragments, HohleFels10 and HohleFels49, and a cranial fragment, HohleFels79.	92	100	5172
fragment	fragment_nou	Early Neanderthal jaw fragment, c. 230,000 years old.	22	30	12021
fragment	fragment_nou	It is the largest surviving fragment of the habitat of the old Finchley Common.	28	36	5162
fragment	fragment_nou	The measurements of the fragment are 232 by 183 mm.	24	32	5175
fragment	fragment_nou	At the Battle of Sharpsburg, he was wounded again, this time in the neck by a shell fragment.	84	92	5211
fragment	fragment_nou	It also acknowledged, but did not standardize, the existence of relative URLs and fragment identifiers.	82	90	5181
fragment	fragment_nou	Only a fragment of its population survive, and those that survive live in the most primitive conditions.	7	15	5182
fragment	fragment_nou	The centaur fragment is 45 cm by 55 cm, warrior's face fragment is 48 cm by 52 cm.	55	63	12022
fragment	fragment_nou	The measurements of the fragment are 216 by 530 mm.	24	32	5215
fragment	fragment_nou	"Cognos is a fragment scissored off the Latin word ""cognosco,"" which means ""knowledge from personal experience""."	12	20	5170
fragment	fragment_nou	In the presence of pathogen the fragment C3b binds to microbial cell-surface through the newly showed thioester bond.	32	40	12019
fragment	fragment_nou	The fragment shows a fat man riding a barrel in a kind of lake or pool.	4	12	5244
fragment	fragment_nou	It houses a 15th-century Annunciation by Giovanni dal Ponte and fragment of a 14th-century fresco of Madonna Enthroned with Child.	64	72	5202
fragment	fragment_nou	B₁₀₅ can be conceptually divided into a B₄₈ fragment and B₂₈-B-B₂₈ (B₅₇) fragment.	54	62	5187
fragment	fragment_nou	The Veliisa Stele is a fragment of a Luwian hieroglyphic inscription of Neo-Hittite date.	23	31	5229
fragment	fragment_nou	"One story from the sequence, the fragment ""The House of Haon-Dor,"" is omitted."	33	41	12015
fragment	fragment_nou	New Caledonia was an ancient fragment of the supercontinent Gondwana.	29	37	5173
fragment	fragment_nou	This fragment cannot be clearly attributed to a specific wall of the mastaba either.	5	13	5165
fragment	fragment_nou	"One good example is shown in the fragment below, labeled ""oracle bone script for Spring""."	33	41	5204
fragment	fragment_nou	Hyrba appears as a Persian town on the borders of Media in a fragment of Nicolaus of Damascus.	61	69	5207
fragment	fragment_nou	The key contains a yellowing fragment of parchment with a name written upon it: Deliverance (Hazeltine) Dane.	29	37	5189
fragment	fragment_nou	Angiostatin is a 38 kDa plasminogen fragment with angiogenesis inhibitor activity.	36	44	12020
