homograph	wordid	sentence	start	end	orig_idx
pervert	pervert_nou	She developed a temporary crush on Yamato which partially faded when a university student protected her from a pervert.	111	118	8132
pervert	pervert_nou	"He said that ""I consider myself a pervert first and a homosexual second."""	34	41	8129
pervert	pervert_nou	Anri mistakes Ren as a pervert assassin at first, and even knowing the truth she likes teasing him.	23	30	8186
pervert	pervert_nou	He is a pervert, and seems to only show kindness to his sister.	8	15	8202
pervert	pervert_nou	Ariadne realizes he is a good guy and he is not a pervert, so she begins a friendship with Carlos.	50	57	8154
pervert	pervert_nou	The mothers soon start to worry, as the kids have totally disappeared and a pervert is roaming the streets.	76	83	8189
pervert	pervert_nou	When Shinosuke asks who is who, they call him a pervert.	48	55	8171
pervert	pervert_nou	The puppet mascot peddling Air New Zealand to the world is a sleazy pervert, say embarrassed airline staff.	68	75	8157
pervert	pervert_nou	However, her dreams of confessing her love for Yuji are shattered, when Yuji returns as a huge pervert.	95	102	8145
pervert	pervert_nou	Sakura faults Tsukumo for this design accusing him of being a pervert.	62	69	8193
pervert	pervert_nou	"The ad became the foundation for a 1956 collage by Jess Collins called ""Lord Pervert,"" which mocks Whittaker Chambers."	77	84	8161
pervert	pervert_nou	Thinking that he's a pervert, she reports him to the police and he gets arrested.	21	28	8159
pervert	pervert_nou	He is portrayed as a pervert when his sister is around, who only appears in Please Twins!	21	28	8113
pervert	pervert_nou	Andrew Goffman is an American actor, stand-up comic, and author/performer of the Off-Broadway one man show The Accidental Pervert.	122	129	8197
pervert	pervert_nou	In the manga his personality comes across as a pervert with a sadistic streak.	47	54	8183
pervert	pervert_nou	He went on to appear as the Pervert in the black-comedy film Observe and Report (2009), also directed by Hill.	28	35	8187
pervert	pervert_nou	"She also testified that the reference to cracker referred to ""a pervert."""	64	71	12342
pervert	pervert_nou	"From eye-witness reports about Presley, I would judge that he may possibly be a drug addict and a sexual pervert."""	105	112	8198
pervert	pervert_nou	But something happens one day after he saves her from a pervert on the streets.	56	63	8136
pervert	pervert_nou	In their next tutoring session, Ruby brands Colin a pervert and he slaps her.	52	59	8138
pervert	pervert_nou	During the segment with Agee, Strasser also admitted that she had once been conned by a sexual pervert.	95	102	8173
pervert	pervert_nou	"The police questioned more than 100 possible suspects, including ""every known pervert in town"", to no avail."	78	85	8188
pervert	pervert_nou	"Accused of being a sexual pervert and corruptor of minors, he was called ""the libidinous bishop"", with a ""pornographic mouth""."	26	33	8160
pervert	pervert_nou	"In addition, WBC called Pope Benedict XVI such epithets as ""The Godfather of Pedophiles"" and the ""Pervert Pope""."	98	105	8139
pervert	pervert_nou	He is a gambler, pervert, and idiot, but also capable of ruling a country justly.	17	24	8148
pervert	pervert_nou	Kevin Symons as Bill Dexhart, a Pawnee councilman who is a self described pervert.	74	81	8144
pervert	pervert_nou	He is very racist, misogynistic, and a pervert.	39	46	8176
