homograph	wordid	sentence	start	end	orig_idx
resume	resume_nou	In 2013, BOL partnered with Elancers to create a resume database on the BOL Empregos page.	49	55	9729
resume	resume_nou	"Any actress today would be lucky to have a fraction of her films on her resume."""	72	78	9679
resume	resume_nou	"She has some of Carson's inspirational biography, and some of Trump's business acumen/resume."""	86	92	9674
resume	resume_nou	She constantly tries to build an impressive resume.	44	50	9744
resume	resume_nou	Because his resume was so exaggerated, it angered other contestants who were given criticism on their resumes.	12	18	9691
resume	resume_nou	Paul wrote to the Roman Christians in order to give them a substantial resume of his theology.	71	77	9719
resume	resume_vrb	During the pastoral visit on 17 August of the same year he ordered work to resume.	75	81	9731
resume	resume_vrb	Corbett awoke after surgery and was cleared to resume power approximately 85 minutes after going under.	47	53	9742
resume	resume_vrb	Habré fled to Sudan, vowing to resume the struggle.	32	38	9660
resume	resume_vrb	The morning she leaves and he pursues her hoping to resume the relationship.	52	58	12519
resume	resume_vrb	However, the two soon resume their relationship with each other.	22	28	9726
resume	resume_vrb	Whenever the cloud cover broke, cast and crew rushed to resume filming abandoning their food packets.	56	62	9688
resume	resume_vrb	After local operations out of Lakehurst for the remainder of 1932, Akron was ready to resume operations with the fleet.	86	92	9708
resume	resume_vrb	Michael decided to resume the search for information on his father, River Baldwin.	19	25	9718
resume	resume_vrb	She did not resume riding until 1950 but, soon after, her talents were spotted at horse show in Berlin.	12	18	9701
resume	resume_vrb	Filming for this project will resume in New York City in 2017.	30	36	9680
resume	resume_vrb	He returned home in December 1945 to resume his career at Tuzigoot.	37	43	12524
resume	resume_vrb	As of January 30, 2009 development was halted with no plans to resume its development.	63	69	9661
resume	resume_vrb	Chief Whitney mentions that Nenshi's negotiations has warmed relationships and influenced the nation's decision to resume negotiations.	115	121	9738
resume	resume_vrb	Karl and Tanya decided to resume their relationship and a normal life.	26	32	9689
resume	resume_vrb	When Gatsby and Daisy resume their love affair, Nick serves as their confidant.	22	28	9746
resume	resume_vrb	Plant director Musa Magomedov said it would be incredibly difficult to resume gas production were the factory's generators shut down.	71	77	9741
resume	resume_vrb	EU Commissioner Louis Michel likewise called for the TFG and ICU to resume talks in Khartoum.	68	74	9740
resume	resume_vrb	The decision was taken to resume the defence infrastructure construction.	26	32	9692
resume	resume_vrb	Finsch resigned as curator of the museum in 1878 in order that he could resume his travels.	72	78	9696
resume	resume_vrb	Following the Utes' 2015 win, no further meetings have been scheduled, and it is unclear when the rivalry will resume.	111	117	9676
resume	resume_vrb	Without armor support, the 47th Army could not resume the offensive.	47	53	9695
resume	resume_vrb	He was able to return and resume his trades union career in 1945.	26	32	12523
resume	resume_vrb	If the situation calmed, they could resume their journey to Kentucky.	36	42	9730
resume	resume_vrb	Only the Madeira region could continue its work; it helped the organization to resume activities in 1952.	79	85	9713
resume	resume_vrb	Patton shoots at him; the horse is killed and Jim is injured but manages to recover and resume the pursuit.	88	94	12520
resume	resume_vrb	Clayton remained in the position until March 31, 2015 when he retired leaving Ergen to resume the post.	87	93	9721
resume	resume_vrb	He lived there a year and then walked back to Pennsylvania to resume an occupation as a woodchopper.	62	68	9717
resume	resume_vrb	He returned to Nanjing to resume his job as minister.	26	32	9712
resume	resume_vrb	They decide to stay the night and resume hunting Donna in the morning.	34	40	9716
resume	resume_vrb	First, we cannot afford not to resume the war.	31	37	9724
resume	resume_vrb	She then headed back to Pearl Harbor to resume shuttling cargo and landing craft between Hawaii and the west coast.	40	46	9670
resume	resume_vrb	The band was rumored to resume recording in June or July.	24	30	9699
resume	resume_vrb	Normal programming would not resume until the transmission of an Emergency Action Termination message (SAME code: EAT).	29	35	9711
resume	resume_vrb	With law and order restored, Chisum can resume his iconic vigil over the Pecos valley.	40	46	12516
resume	resume_vrb	Eventually returning to white society, Scalphunter abandoned his old alias to resume a normal life as Brian Savage.	78	84	9671
resume	resume_vrb	Once CNN resumed regular programming, Chung requested that CNN resume broadcasting her show as soon as possible.	63	69	9664
resume	resume_vrb	Tomorrow, we will resume the battle from another trench, now protected by more benevolent signs.	18	24	9723
resume	resume_vrb	Charles I was compelled to call the Short Parliament in 1640, allowing protest to resume political channels.	82	88	9681
resume	resume_vrb	As luck would have it, Marjorie and her crew have returned to resume filming.	62	68	9677
resume	resume_vrb	Before he could resume work on his feature projects he died on 11 November 1959.	16	22	9667
resume	resume_vrb	Publication of Chronicle of Current Events was suspended in the fall of 1972 and would not resume until 1974.	91	97	9684
resume	resume_vrb	Dinger and Rother sealed the master reels with wax, intending to resume sessions at a later date.	65	71	9683
resume	resume_vrb	In 2011, citing economic concerns, the County permitted the annual signature event to fully resume.	92	98	9665
resume	resume_vrb	Scott radioed Farenholt to ask if the destroyer was attempting to resume its station at the front of the column.	66	72	12517
resume	resume_vrb	Despite Laura's efforts to abandon her former ways, the two resume their squabble, and Tracy again, with finality, drops dead.	60	66	9745
resume	resume_vrb	Mark departs from Shanghai and Coco and Tian Tian resume living together.	50	56	9725
resume	resume_vrb	On that same night, the storyline involving the faux retirement was concluded by granting him permission to resume his career.	108	114	9700
resume	resume_vrb	The routes follow Intervale Road briefly before making a left turn to resume onto Parsippany Boulevard.	70	76	9722
resume	resume_vrb	The train retreated, thus allowing the Poles to resume their advance.	48	54	9698
resume	resume_vrb	As of November 9, 2013, WGRV-LP remains silent, with no immediate plans to resume broadcasting.	75	81	9747
resume	resume_vrb	Despite positive reports from the pilots, and a proposal by Fiat to resume production, no further aircraft were produced.	68	74	9694
resume	resume_vrb	However, Kurasuniigo reemerged from the water to resume his mission.	49	55	9682
resume	resume_vrb	In some cases, the boundary conditions resume to a simple interface condition.	39	45	12521
resume	resume_vrb	They decide to remain behind to resume their lives without disruption as the Doctor and Jamie travel on.	32	38	12522
resume	resume_vrb	They were able to resume production six months after the strike was called.	18	24	12518
resume	resume_vrb	In 2003, Iceland proposed to resume research whaling after a 14-year interruption.	29	35	9706
resume	resume_vrb	The PTC workers were given a deadline of 12:01 a.m. on August 7 to resume their work.	67	73	9736
resume	resume_vrb	When it loses its leaves and flowers appear, more frequent watering should resume.	75	81	9735
resume	resume_vrb	However, due to a loophole, he is permanently released from prison and free to resume his life with Sam.	79	85	9728
resume	resume_vrb	The two resume their lives by opening an ice cream shop.	8	14	12515
resume	resume_vrb	Afterwards, Chinese blind deaf-mute Association immediately returned to work and to resume the publication of the blind Monthly.	84	90	9672
resume	resume_vrb	As Thomas had begun writing for film and television, he did not resume his teen detective idea for several years.	64	70	9662
resume	resume_vrb	Flight testing did not resume, as it was realised that the tailboom was not strong enough to allow safe flying.	23	29	9707
resume	resume_vrb	June 1, 1935: Full page Sunday strips resume, now in color, until Herriman's death.	38	44	9743
resume	resume_vrb	Furiously researching the technology they had restrained, they found in Tesla's theories an opportunity to resume their thrones.	107	113	9710
resume	resume_vrb	Additionally, there was widespread fear in the country that Taylor would resume the war if he lost.	73	79	9714
resume	resume_vrb	"Trading will resume as soon as MTN Group Limited has issued a Sens announcement."""	13	19	9715
resume	resume_vrb	Peter tried to flee, but Morlun was able to find him easily and resume the fight.	64	70	9668
resume	resume_vrb	But Sultan Ahmed III didn't resume the war with Russia.	28	34	9693
resume	resume_vrb	Sports began to resume once more with a limited schedule.	16	22	9702
resume	resume_vrb	Both would take time away to work on other projects, and resume work on the album fresh.	57	63	9737
resume	resume_vrb	Countries like Germany permit the staying in a vehicle as long as the driver can resume driving when necessary.	81	87	9669
