homograph	wordid	sentence	start	end	orig_idx
bow	bow_nou-knot	They find the Hall of Dumathoin, recovering the magical bow Taulmaril (the Heartseeker) which later becomes Catti-brie's signature weapon.	56	59	1541
bow	bow_nou-knot	They were married at Trinity Church, Bow, London on 15 November 1866.	37	40	1567
bow	bow_nou-knot	Organised bow hunting began in New Zealand in 1945.	10	13	1564
bow	bow_nou-knot	He wears blue suit with a red bow and carnation and a boater hat.	30	33	1518
bow	bow_nou-knot	He leased the harvesting rights to 100,000 acres and set up a paper mill at Bow Bridge in East London.	76	79	1565
bow	bow_nou-knot	Each target with an arrow in the center, and a little boy with a bow.	65	68	1553
bow	bow_nou-knot	The round bow is also equipped with horse hair.	10	13	1528
bow	bow_nou-knot	The trams used a mixture of bow collectors and trolley poles.	28	31	11608
bow	bow_nou-knot	These include dendrites, branch type, bush type, spikes, strings, bow-ties and vented trees.	66	69	1544
bow	bow_nou-knot	He is skillful with weaponries such as the sword, keris, long keris, bow, cross bow and spear.	80	83	1557
bow	bow_nou-knot	In late-2010 she began using a bow constructed for her by Daniel Tobias Navea Vera.	31	34	1555
bow	bow_nou-knot	He is exceptionally skilled with a short-bow and arrow from a short distance.	41	44	1587
bow	bow_nou-knot	This plant grows in Ravalli, Beaverhead, and Silver Bow Counties in Montana.	52	55	1524
bow	bow_nou-knot	Rama snatches the bow of Vishnu, strings it, places an arrow and points it straight at the challenger's heart.	18	21	11612
bow	bow_nou-knot	Inlay sections could be sawed by bow saws.	33	36	1519
bow	bow_nou-knot	The shield depicts an Algonquian Native American with bow and arrow; the arrow is pointed downward, signifying peace.	54	57	1570
bow	bow_nou-knot	Bow kites are popular with riders from beginner to advanced levels.	0	3	1536
bow	bow_nou-knot	It is marked by the percussive use of the bow and percussive accompaniment (such as spoon percussion).	42	45	1597
bow	bow_nou-knot	The deluxe Arcee has a similar bow weapon.	31	34	1582
bow	bow_nou-knot	For the first time since the demise of the bow and arrow lethal marksmanship was possible.	43	46	1595
bow	bow_nou-knot	Sometimes arm protection was removed so that a rider could draw their bow.	70	73	11609
bow	bow_nou-knot	The violinist is instructed in the score to play without vibrato and with minimum weight on the bow.	96	99	1605
bow	bow_nou-knot	"In the song, Little Egypt is depicted as a burlesque dancer/stripper, wearing ""nuttin' but a button and a bow""."	106	109	1583
bow	bow_nou-knot	The Korean Composite bow (which is very similar to the medieval Mongol bow) was adopted at this time.	71	74	1577
bow	bow_nou-knot	The first one to open was Bow, then Chrisp Street, Whitechapel, then finally, Canary Wharf.	26	29	1585
bow	bow_nou-knot	Thirlwall wears metallic silver and black striped highwaisted trousers, with a white shirt, black bow tie and braces.	98	101	1560
bow	bow_nou-knot	It is part of the pathway and hiking trail system lining both sides of the Bow River.	75	78	1591
bow	bow_nou-knot	After that Dasharatha prayed to the sage to forgive him but Parashurama remained enraged and brought out Vishnu's bow.	114	117	1540
bow	bow_nou-knot	The bow on the inside hatband at the rear of the hat resembles a Skull and crossbones.	4	7	1572
bow	bow_nou-knot	Sometimes, she carries a bell, chakra, chamara (a yak's tail) and a bow.	68	71	1603
bow	bow_nou-knot	To the west lies Bromley by Bow.	28	31	1606
bow	bow_nou-knot	In the lower pair of the arms, he holds a bow and an arrow respectively.	42	45	1592
bow	bow_nou-knot	In making a bow, the greater part of the woodworking is done on a straight stick.	12	15	1578
bow	bow_nou-knot	The SS Princess Mary was built by Bow, McLachlan and Company of Paisley, Scotland for the Canadian Pacific Railway.	34	37	1530
bow	bow_nou-knot	Drawing a bow across the strings causes the strings to vibrate.	10	13	1584
bow	bow_nou-knot	Further north, Elhant encounters an Ent who rewards him with a bow for his help in clearing the Zombies.	63	66	1545
bow	bow_nou-knot	It is one of the oldest string instruments in the world played with a bow.	70	73	1532
bow	bow_nou-knot	Out of the 45 crops that are grown in the Bow River basin, only 10 could be produced without irrigation.	42	45	1574
bow	bow_nou-ship	It has been long thought that a bow shock was present around the heliosphere of our solar system.	32	35	11610
bow	bow_nou-ship	The bow would finally sink later the next day.	4	7	1542
bow	bow_nou-ship	Wagner also took a bow after every performance, with audiences split between bravas and boos.	19	22	1556
bow	bow_nou-ship	Charr fired two more torpedoes, one of which broke off Isuzu's bow.	63	66	11616
bow	bow_nou-ship	The latter had one compartment below water holed, but Ajax only received two holes in her bow.	90	93	1604
bow	bow_nou-ship	He extended a deep bow before and after his speech.	19	22	1527
bow	bow_nou-ship	As completed Gromoboi trimmed badly by the bow, which reduced her speed and made her very wet forward.	43	46	1539
bow	bow_nou-ship	The superiority of Yourkevitch's hull was visible: hardly a wave was created off the bulbous bow.	93	96	1521
bow	bow_nou-ship	The reverse shows a view of the starboard quarter of the Lusitania correctly depicted sinking bow first.	94	97	1531
bow	bow_nou-ship	This trimming effect is mistakenly called 'bow lift'.	43	46	1535
bow	bow_nou-ship	The boats were armed with four 18-inch (45 cm) torpedo tubes in the bow.	68	71	1558
bow	bow_nou-ship	Constellation again sailed ahead of L'Insurgente, reversing course to cross her bow and rake her a second time.	80	83	1607
bow	bow_nou-ship	People should bow one time for those who are alive and twice for those who are deceased.	14	17	1546
bow	bow_nou-ship	"The New York Herald-Tribune called the Gable-Kerr pairing ""ideal"", saying ""she made an impressive bow on the U.S. screen."""	98	101	1594
bow	bow_nou-ship	At bow and stern it was six inches thick.	3	6	1575
bow	bow_nou-ship	Tamandaré received three shots in her bow and was making 6 inches of water per hour.	38	41	1529
bow	bow_nou-ship	The video begins with Bow Wow reading a letter from his fiancé, breaking off their engagement.	22	25	1525
bow	bow_nou-ship	She displaced 6,040 long tons (6,140 t) and was fitted with a blunt iron ram at her bow.	84	87	1573
bow	bow_nou-ship	Most notably, she was torpedoed in the starboard bow by a German submarine, whilst in convoy in the Mediterranean.	49	52	1600
bow	bow_nou-ship	"They also have a retractable bowsprit that extends a spinnaker-genoa ""kite"" two or more meters beyond the bow."	106	109	1520
bow	bow_nou-ship	Bush incorporates new technologies including improved propeller and bulbous bow designs, a reduced Radar cross-section and electronic and environmental upgrades.	76	79	1601
bow	bow_nou-ship	"Duffek popularized the bow draw stroke, aka ""Duffek Stroke"", as an effective means of pivoting a kayak."	23	26	1562
bow	bow_nou-ship	The bow is also known in Greek as the proura or plowri, similar to the English prow.	4	7	1561
bow	bow_nou-ship	She returned to St. John's, where a temporary wooden bow was fitted until permanent repairs were made in Scotland.	53	56	1522
bow	bow_nou-ship	The boats were armed with eight internal 53.3 cm (21.0 in) torpedo tubes, four each in the bow and stern.	91	94	1547
bow	bow_nou-ship	Sembah means to respect and bow down; Hyang means divine, God/Shang Hyang Widhi, holy man, and ancestors.	28	31	1580
bow	bow_nou-ship	There were no reported casualties and she sustained minor damages to the bow.	73	76	11607
bow	bow_nou-ship	Skandi Neptune has two stern azimuth thrusters, a retractable forward azimuth thruster and two bow tunnel thrusters.	95	98	1568
bow	bow_nou-ship	"Ciara performed her part in Bow Wow's ""Like You"" while appearing alone on stage."	28	31	1588
bow	bow_nou-ship	In extreme cases a kneeling bow is performed; this bow is sometimes so deep that the forehead touches the floor.	28	31	1534
bow	bow_nou-ship	"He previously topped the chart in 2006 as a featured artist on Bow Wow's ""Shortie Like Mine""."	63	66	11611
bow	bow_nou-ship	Shreaves and his crew worked another cable set under the bow and again Ajax pulled.	57	60	1523
bow	bow_nou-ship	The SSK conversion included remodeling Cavalla's bow with addition of a curved bow adapted to mount a BQR-4 sonar system.	49	52	11615
bow	bow_nou-ship	In 1852, Nimitz built what locals referred to as the Steamboat Hotel because of the ship's bow front.	91	94	1586
bow	bow_nou-ship	Iphigénie easily eluded Africaine, and gave Astrée an opportunity for raking Africaine's bow.	91	94	1550
bow	bow_nou-ship	On 15 August 1943, planes were heard off the port bow of APc-25, approximately 2 miles beyond Lever Harbor.	50	53	1569
bow	bow_nou-ship	Nautilus had a clipper bow, while Albatross had a bow similar to contemporary German light cruisers.	50	53	1589
bow	bow_nou-ship	The wreck is marked with red buoys at the bow and stern.	42	45	1598
bow	bow_nou-ship	She was armed with ten 12-pounder carronades and two 6-pounder bow guns.	63	66	1548
bow	bow_nou-ship	Often swim alongside the bow of vessels and frolic in the bow waves.	58	61	1543
bow	bow_nou-ship	The six fingers or flanges of the ferro on the bow of a gondola represent the six sestieri.	47	50	1559
bow	bow_nou-ship	Her hull is painted a rich green, with smooth, flowing lines from bow to stern.	66	69	1563
