homograph	wordid	sentence	start	end	orig_idx
confines	confines_nou	This is the boy's first step beyond the confines of home and school.	40	48	2312
confines	confines_nou	He founded the city of Rhinocolura on the confines of Egypt and Syria, and was succeeded by Mendes, an Egyptian.	42	50	11689
confines	confines_nou	There are five public schools and two private schools located in with in the confines of the Mattapan neighborhood.	77	85	2291
confines	confines_nou	The items of the Crown Collection are available exclusively at retail outlets within the confines of Madison Square Garden.	89	97	2258
confines	confines_nou	An inlay is a restoration which lies within the confines of the cusps.	48	56	2241
confines	confines_nou	The footsoldiers immediately retreated inside the confines of the barracks while the men on horseback stayed outside.	50	58	2259
confines	confines_nou	Distributed work entails the conduct of organizational tasks in places that extend beyond the confines of traditional offices or workspaces.	94	102	2251
confines	confines_nou	This can turn quite vicious in the limited confines of captivity.	43	51	2301
confines	confines_nou	The constraints of folding puzzles is to fold designated shapes within the given confines of the paper.	81	89	2295
confines	confines_nou	In addition, the gun proved to be too powerful for the limited confines of the Potomac.	63	71	2290
confines	confines_nou	The principle is that birth within the confines of the State gives only the status of a subject.	39	47	2280
confines	confines_nou	Through this, an adolescent acquires 'appropriate attitudes and values' needed to further succeed within the confines of education.	109	117	2293
confines	confines_nou	Matthews printed a wide range of work beyond the confines of drama.	49	57	2270
confines	confines_nou	Bagnoli is a western seaside quarter of Naples, Italy, well beyond the confines of the original city.	71	79	2267
confines	confines_nou	Holliday Lake State Park is a state park located within the confines of Appomattox-Buckingham State Forest in Virginia.	60	68	2284
confines	confines_nou	It should be aware of the impact its rulings may have outside the confines of the Community.	66	74	2278
confines	confines_nou	As a general rule the Defence Fire and Rescue Service only operates within the confines of the site it protects.	79	87	2298
confines	confines_nou	The pact formed the first extension of Papal territory beyond the confines of the Duchy of Rome.	66	74	2238
confines	confines_nou	In the main confines of the box, a plastic tray was recessed into which the cartridge fit snugly.	12	20	2287
confines	confines_nou	This ward stretches beyond the confines of Beckermet parish with a total population of 3,024.	31	39	2256
confines	confines_nou	On the confines of the settlement, there is a pond originating from ballast-digging.	7	15	2263
confines	confines_nou	He is known for using surreal humor and camp (style) within the confines of low-budget film.	64	72	2296
confines	confines_nou	Benedictine monks, for instance, have often staffed parishes and been allowed to leave monastery confines.	97	105	2243
confines	confines_nou	While Shakespeare establishes himself, Judith is trapped by the confines of the expectations of women.	64	72	2268
confines	confines_nou	Also, time itself passes much differently within the confines of the Marvel Universe than it does in the real world.	53	61	11696
confines	confines_nou	The balds are inhabited by a herd of introduced ponies allowed to run wild within the confines of the park.	86	94	2300
confines	confines_nou	From the 1960s, Shahan Natalie preferred to be silent and remained within the confines of his home.	78	86	2308
confines	confines_nou	Five men wake up inside the stolid confines of a factory to find themselves locked in this claustrophobic nowhere land.	35	43	2283
confines	confines_nou	The 4th Ring Road runs within the confines of the city of Beijing, more like a rectangle than a circle.	34	42	2318
confines	confines_nou	Part of the river exists within the confines of the Alafia River State Park.	36	44	2320
confines	confines_nou	The burial places found on the confines of the town render this pretension probable.	31	39	2297
confines	confines_nou	Its confines are within the 10th Police Precinct.	4	12	2272
confines	confines_nou	These offer a unique semi-secluded lakeside camping experience within the confines of the supervised camp.	74	82	2245
