homograph	wordid	sentence	start	end	orig_idx
converse	converse_adj-nou	The entanglement-assisted classical capacity theorem is proved in two parts: the direct coding theorem and the converse theorem.	111	119	3010
converse	converse_adj-nou	The aspiring media practitioner now models for Converse and Assets, and represented Ireland at Miss World 2009 in South Africa.	47	55	2967
converse	converse_adj-nou	Every outerplanar graph is planar, but the converse is not true: K₄ is planar but not outerplanar.	43	51	2996
converse	converse_adj-nou	Every differential surface is a topological surface, but the converse is false.	61	69	3001
converse	converse_adj-nou	Current manufacturers are Altama, Bates, Belleville Boot, McRae, Rocky, Warson Brands/Converse and Wellco.	86	94	3022
converse	converse_adj-nou	It is believed that Thad Miller spent most of his childhood in the Converse area.	67	75	2985
converse	converse_adj-nou	Because the converse isn't true, local nonsatiation is a weaker condition.	12	20	3029
converse	converse_adj-nou	As well, converse observations, as well as some historical events, have proven that this viewpoint is outdated and, overall, unsupported.	9	17	11772
converse	converse_adj-nou	Nimbus Software and Converse Software merged in 2004 to form Nimsoft.	20	28	2952
converse	converse_adj-nou	To show the converse, assume local compactness.	12	20	2962
converse	converse_adj-nou	In fact, for any infinite cardinal κ, every κ-Suslin tree is a κ-Aronszajn tree (the converse does not hold).	88	96	2956
converse	converse_adj-nou	Carter is also believed to have designed the Converse House to which the c. 1738 ell is attached.	45	53	11770
converse	converse_adj-nou	In descending order of land area the grassland is located in Weston, Converse, Campbell, Niobrara, and Crook counties.	69	77	2991
converse	converse_adj-nou	But the court did not address the converse of that proposition, namely, that large-lot zoning tends to promote urban sprawl.	34	42	3021
converse	converse_adj-nou	Disjoint complements are always bands, but the converse is not true in general.	47	55	2976
converse	converse_adj-nou	In 2012 she performed in Mexico City at the Converse Festival.	44	52	2993
converse	converse_adj-nou	This unspoken proposition should be inserted after the first proposition and is merely its negative converse.	100	108	2988
converse	converse_adj-nou	They also performed as part of the Big Day Out 2009 festival, headlining the Converse Essential stage.	77	85	3024
converse	converse_adj-nou	Commander of the garrison, Captain James Converse, successfully repelled the raid despite being greatly outnumbered.	41	49	3005
converse	converse_adj-nou	Runner uniforms were provided by Levi Strauss with Converse supplying the shoes.	51	59	2965
converse	converse_adj-nou	Quite the converse since there are diverse harmonic options in many ragas which can be explored and employed appropriately.	10	18	3035
converse	converse_adj-nou	The Bundesrat could be called together for the preparation of business without the Reichstag, but not the converse.	106	114	2989
converse	converse_adj-nou	On the converse, failing to attribute meaning to death leads to more long-term distress for some people.	7	15	2969
converse	converse_adj-nou	Scott Converse, How the OneNet Started, OneNet.	6	14	3019
converse	converse_adj-nou	So the converse to 1 and 2 above hold true.	7	15	2999
converse	converse_adj-nou	Impregnation is, in essence, the converse of extraction.	33	41	2974
converse	converse_adj-nou	Edwards tendered his letter of resignation on January 6, 2012 to the Converse County Commission after diagnosis for Alzheimer's disease.	69	77	2990
converse	converse_adj-nou	Objects can have other colors, of course, so, the converse of our statement is false.	50	58	2957
converse	converse_adj-nou	Converse R. Lewis, reviewed his troops in farewell to his command at Kearns.	0	8	2954
converse	converse_adj-nou	EBL-like techniques have also been applied to surface generation, the converse of parsing.	70	78	2968
converse	converse_adj-nou	Semantic completeness is the converse of soundness for formal systems.	29	37	3015
