homograph	wordid	sentence	start	end	orig_idx
abuses	abuses_nou	Strong Paraguayan-U.S. relations continued until the Carter Administration emphasized a foreign policy that recognized human rights abuses.	132	138	164
abuses	abuses_nou	Reported abuses of human rights in Tibet include restricted freedom of religion, belief, and association.	9	15	157
abuses	abuses_nou	Gee brought correction to the abuses of Spiritual Gifts and systematically taught the people the Word.	30	36	172
abuses	abuses_nou	He has campaigned against abuses of the postal vote system and helped to bring about some reforms to it.	26	32	144
abuses	abuses_nou	This early failure to correct abuses in his diocese did not discourage von Utenheim from reformist enterprises however.	30	36	162
abuses	abuses_nou	The tax farmers, and their interpreters and foremen, were known to be corrupt and commit abuses, especially against Aborigines.	89	95	11455
abuses	abuses_nou	In 1873, Khaznadar again undertook reforms and attacked the widespread financial abuses within the bureaucracy.	81	87	96
abuses	abuses_nou	The opportunity to denounce the abuses of the Protectorate authorities was given to me.	32	38	98
abuses	abuses_nou	Once in office, Garrison cracked down on prostitution and the abuses of Bourbon Street bars and strip joints.	62	68	137
abuses	abuses_nou	Boche was later placed in a foster family in 1999, after suffering repeated physical and emotional abuses over 5 years.	99	105	140
abuses	abuses_nou	When the report was publicised, there was public outrage in Britain over the abuses.	77	83	139
abuses	abuses_nou	The Wolf Brigade become closely and publicly associated with detainee and other human rights abuses.	93	99	11456
abuses	abuses_nou	But there was nothing prudish about their concerted opposition to civil rights abuses.	79	85	11454
abuses	abuses_nou	All the slain journalists were investigating controversial issues within Honduran society, including corruption, drug trafficking and human rights abuses.	147	153	143
abuses	abuses_nou	The people needed more time for productive pursuits while correcting social abuses of the past.	76	82	11453
abuses	abuses_nou	If you cannot permit abuses, you must at least tolerate them.	21	27	148
abuses	abuses_nou	An Online Complaint Center for consumers to report privacy abuses and request information on ways to protect their privacy.	59	65	99
abuses	abuses_nou	In June 2015, Grassley introduced legislation to help protect taxpayers from alleged abuses by the Internal Revenue Service.	85	91	11448
abuses	abuses_nou	The abuses occur not only on the street but also in schools.	4	10	119
abuses	abuses_nou	Abuses of electronic surveillance by the federal government such as Project SHAMROCK led to reform legislation in the 1970s.	0	6	175
abuses	abuses_nou	Wolves Within the Fold: Religious Leadership and Abuses of Power.	49	55	150
abuses	abuses_nou	This is a term coined in missiological circles describing some of the abuses and failures in the mission field.	70	76	161
abuses	abuses_nou	The US government received no reports of societal abuses or discrimination based on religious belief or practice.	50	56	94
abuses	abuses_nou	Some groups are especially vulnerable to human rights abuses collateral to drug law enforcement.	54	60	169
abuses	abuses_nou	In 1274, Kublai appointed Lian Xixian to investigate abuses of power by Mongol appanage holders in Manchuria.	53	59	111
abuses	abuses_nou	In the past, priests who committed abuses were removed by bishops, but bishops were rarely held accountable.	35	41	121
abuses	abuses_nou	During the year the government conducted some trials for abuses committed in the context of internal conflicts in the east.	57	63	145
abuses	abuses_nou	The commission documents abuses by the Forces Armée Rwandaise (FAR), which included both the national police and the military.	25	31	100
abuses	abuses_nou	In contrast, the humanitarian movement thought reform essential to remove abuses.	74	80	11452
abuses	abuses_nou	Declamation on abuses introduced into the Castilian, presented and awarded at the Spanish Academy, 1791.	15	21	168
abuses	abuses_nou	Establishment of measures to end abuses in the church.	33	39	134
abuses	abuses_nou	He was elected to the colony's assembly and spoke out against governmental abuses.	75	81	153
abuses	abuses_nou	Nonetheless, when government abuses against the leaders of the WFM seemed too egregious, Gompers relented and offered assistance.	29	35	177
abuses	abuses_nou	It also reported on other human rights abuses in the country.	39	45	171
abuses	abuses_nou	The speech penned by Sallust for Memmius describes various abuses, and is used to argue that all monarchs are corrupt.	59	65	95
abuses	abuses_nou	NAWHERC has been active in reporting abuses in reproductive care and medication in the Native American community.	37	43	159
abuses	abuses_nou	They travel to Uruk to confront Gilgamesh and stop his abuses.	55	61	101
abuses	abuses_nou	Student Loan Law: Collections, Intercepts, Deferments, Discharges, Repayment Plans, and Trade School Abuses.	101	107	116
abuses	abuses_nou	Canada became an outspoken critic of the Taliban's human rights abuses against the citizens of Afghanistan.	64	70	126
abuses	abuses_nou	Since the 1970s, the European Court of Human Rights has condemned Turkey for the thousands of human rights abuses.	107	113	170
abuses	abuses_nou	Broken Shield, a series of investigations into police failures and abuses.	67	73	131
abuses	abuses_nou	There are also abuses of media rights and access.	15	21	91
abuses	abuses_nou	Chinese Human Rights Defenders, Re-education through Labor Abuses Continue Unabated: Overhaul Long Overdue, 4 February 2009.	59	65	102
abuses	abuses_nou	During the 1992 War of Transnistria the village was the scene of alleged human rights abuses by Moldovans.	86	92	90
abuses	abuses_nou	For example, a World Rainforest Movement report documents land disputes and human rights abuses at Mount Elgon.	89	95	118
abuses	abuses_nou	There were reports of societal abuses and discrimination based on religious affiliation, belief, or practice.	31	37	11449
abuses	abuses_nou	It was dismantled in 1958 after the Party Congress that discussed his abuses.	70	76	123
abuses	abuses_nou	Highly influenced by the Jindyworobak Movement, it also describes the inter-racial relationships and abuses of the period.	101	107	93
abuses	abuses_nou	The specific purposes of the shortwave radio program are:- Helping victims of oppressions, labor abuses, corruptions, etc.	97	103	165
abuses	abuses_nou	There were few reports of societal abuses or discrimination based on religious belief or practice.	35	41	178
abuses	abuses_nou	There were reports of societal abuses based on religious affiliation, belief, or practice.	31	37	135
abuses	abuses_nou	According to the U.S. State Department, major human rights abuses occur in the country.	59	65	163
abuses	abuses_nou	It is tasked with investigating allegations of human rights abuses and journalist intimidation.	60	66	122
abuses	abuses_nou	He has focused on how multinational corporations operate in foreign countries, documenting human rights and environmental abuses.	122	128	176
abuses	abuses_nou	Frank and outspoken, he took every opportunity to denounce the abuses and arrogance of the Spaniards.	63	69	141
abuses	abuses_nou	"The 1979 Beach Inquiry found that the Armed Robbery Squad had committed ""abuses."	73	79	97
abuses	abuses_nou	The organization advocates for a federal inquiry/committee to investigate illegal, unethical and human rights abuses in adoption practice in Canada.	110	116	147
abuses	abuses_nou	Among other abuses, this most obviously involves abuse of article 17 of the Universal Declaration of Human Rights.	12	18	104
abuses	abuses_nou	Owing to abuses a Public Inquiry was held in 1938 and the Urban Council dissolved.	9	15	129
abuses	abuses_nou	"Its stated mission is to ""eradicate abuses committed under the guise of mental health and enact patient and consumer protections."""	36	42	128
abuses	abuses_nou	Meanwhile, the minimum wage remains well below that on the U.S. mainland, and abuses of vulnerable workers are commonplace.	78	84	155
abuses	abuses_nou	"It also said that many abuses were deliberately misreported as ""accidents""."	23	29	151
abuses	abuses_nou	There were limited reports of societal abuses or discrimination based on religious belief or practice.	39	45	156
abuses	abuses_nou	Upon release, he eventually headed a New Zealand commission of investigation into abuses at Sime Road Internment Camp.	82	88	149
abuses	abuses_nou	Police routinely investigated such allegations, which rarely resulted in punishment (see section 5 Other Societal Abuses and Discrimination).	114	120	115
abuses	abuses_nou	After 1993, he became concerned about plaintiff attorney abuses of the Unfair Competition Law he had been instrumental in drafting.	57	63	105
