homograph	wordid	sentence	start	end	orig_idx
increase	increase_nou	The fire spread because of angry rioters protested an increase on the cattle tax.	54	62	5938
increase	increase_nou	An increase in with time (denoted by ) can take place in three ways.	3	11	5894
increase	increase_nou	"Rooney experienced a ""200 percent increase in sales"" after being featured on the show."	34	42	5917
increase	increase_nou	These species, in turn, support an increase in raptors.	35	43	5950
increase	increase_nou	"This was an increase from the previous week's ""Where No One Has Gone Before"" which received a rating of 10.5."	12	20	5956
increase	increase_nou	The population was 561 in the 2013 Census, an increase of 30 from 2006.	46	54	5911
increase	increase_nou	The three-year increase in income for a typical irrigation pump user is 300 percent, or $600.	15	23	5900
increase	increase_nou	Such an increase has never happened again.	8	16	5955
increase	increase_nou	Thanks to the increase of whalers and clipper ships, Americans began to travel all over the world for commercial reasons.	14	22	5922
increase	increase_nou	In 2010, Union Area School District Administration reported an increase to $1,022,615 in the unreserved-undesignated fund balance.	63	71	5915
increase	increase_nou	Even after cardiac bypass surgery, no increase in mortality is seen in the overweight and obese.	38	46	5965
increase	increase_nou	On the other hand, advertising can lead to an increase in sales thus revenue over a period of time.	46	54	5951
increase	increase_nou	This amount was a $233,290,000 increase (4.6%) over the enacted State appropriation for 2010-2011.	31	39	5958
increase	increase_nou	However, the price of land goes up with every increase in something benefiting the landlord.	46	54	5904
increase	increase_nou	The increase in secular literature at this time encouraged the spread of lending libraries, especially the commercial subscription libraries.	4	12	5944
increase	increase_nou	This causes an increase in the intracranial blood volume, thereby causing an increase in intracranial pressure.	15	23	5884
increase	increase_nou	Elk Lake School District received a 2.82% increase, which was the highest increase in BEF in Susquehanna County.	74	82	5886
increase	increase_nou	For countries with above-replacement fertility (greater than 2.1 children per woman), population momentum represents natural increase to the population.	125	133	5924
increase	increase_nou	The surprise leads to an increase in production and employment throughout the economy.	25	33	5962
increase	increase_nou	Dvorak classifications began on July 30 in response to an increase in vertical depth and organization of the convection.	58	66	5945
increase	increase_nou	Another result of the increase in foreign travel is the growth of trade between nations.	22	30	12093
increase	increase_nou	It was an increase of 6.3 percent from the 2000 census.	10	18	12101
increase	increase_nou	These farmers are experiencing a 123% increase of maize their yields on average.	38	46	12100
increase	increase_nou	However, despite the transmission of the matches gave them an increase in ratings, their fate was sealed.	62	70	5882
increase	increase_nou	Since then, Mousehole has seen an increase in second home ownership and a corresponding decline in resident population.	34	42	5966
increase	increase_nou	This was a 6.11% increase yielding a $189,481 increase over the previous school year funding.	46	54	5923
increase	increase_nou	On November 4, 2008, voters in King County (Seattle) approved a 0.5% increase in the sales tax.	69	77	5885
increase	increase_nou	This in turn led to an increase in crime and prostitution that has continued to this day.	23	31	5914
increase	increase_nou	The increase in population and subsequent expansion in irrigated agriculture, and industrial growth necessitated the exploitation of more water resources.	4	12	5889
increase	increase_nou	Thus, oxidation is better defined as an increase in oxidation number, and reduction as a decrease in oxidation number.	40	48	5891
increase	increase_nou	The result is a 16% increase in dividends to the company shareholders.	20	28	5946
increase	increase_nou	The latest general speed increase was in March 2015.	25	33	5880
increase	increase_nou	Consider what happens when TCP sends a segment after a sharp increase in delay.	61	69	5963
increase	increase_nou	The rising political tensions resulted in a sharp jump in cocoa prices, up to an increase of 10 percent.	81	89	5940
increase	increase_nou	The net result seems to have been an increase, not decrease, in TBI.	37	45	12095
increase	increase_nou	Soon after returning to England, Phips joined back up with Increase Mather and again supported him in dealing with Whitehall.	59	67	5959
increase	increase_nou	In chess engines, NegaScout has typically given a 10 percent performance increase.	73	81	5912
increase	increase_nou	The first NZ Forest Act of 1874 was largely in response to concern about the increase in coastal dune invasions.	77	85	5879
increase	increase_nou	One hundred fifty Pennsylvania school districts received the base 2% increase.	69	77	5896
increase	increase_nou	Adams said that donations remain stable except during a new version update, where there is a sudden increase.	100	108	12102
increase	increase_nou	367,000 tickets were sold, a 10% increase on 2011 sales.	33	41	5929
increase	increase_nou	In 2007, 193 Medway High School students took the SAT, an increase from previous years.	58	66	5899
increase	increase_vrb	CiU supported changes to the Catalan Statute of Autonomy to further increase Catalonia's autonomy.	68	76	5953
increase	increase_vrb	The latter legislation served to greatly increase the acquisition of waterfowl habitat in California.	41	49	5948
increase	increase_vrb	Their aim is to increase the consumption of bread and cereals.	16	24	5881
increase	increase_vrb	To increase the production of hydrogen, several tracks are being followed by the researchers.	3	11	5933
increase	increase_vrb	By reducing the level of SLR, the RBI can increase liquidity with the commercial banks, resulting in increased investment.	42	50	5893
