homograph	wordid	sentence	start	end	orig_idx
diffuse	diffuse_adj	This includes direct sunlight, diffuse sky radiation, and (often) both of these reflected from the Earth and terrestrial objects.	31	38	3955
diffuse	diffuse_adj	Expression of UCH-L1 is highly specific to neurons and to cells of the diffuse neuroendocrine system and their tumors.	71	78	3994
diffuse	diffuse_adj	For this, they coined the term diffuse element method (DEM).	31	38	3952
diffuse	diffuse_adj	Diffuse light is thought to be more important for seedling growth than sunflecks.	0	7	4017
diffuse	diffuse_adj	The underside hindwings of the females shows a diffuse clear or whitish band, strongly dentate.	47	54	4013
diffuse	diffuse_adj	The style is diffuse, but the interest is well sustained.	13	20	4006
diffuse	diffuse_adj	Esophageal motility study is useful in cases of achalasia and diffuse esophageal spasms.	62	69	4015
diffuse	diffuse_adj	One of the first influences humans had on diffuse knapweed was to inadvertently introduce it to North America.	42	49	3975
diffuse	diffuse_adj	Diffuse irregular narrowing of the main pancreatic duct, and stenosis of the intrapancreatic bile duct on endoscopic retrograde cholangiopancreatography (ERCP).	0	7	3984
diffuse	diffuse_adj	High values of comfort imply more diffuse lighting; the light comes from many directions.	34	41	4000
diffuse	diffuse_adj	The anal fold and cubitus are blackish brown and the orbicular spot is diffuse blackish brown.	71	78	3968
diffuse	diffuse_adj	Her glass plates benefitted from her careful use of diffuse artificial light.	52	59	3947
diffuse	diffuse_adj	Diffuse traumatic injury can result in diffuse or more moderate gliosis without scar formation.	0	7	4007
diffuse	diffuse_adj	The problems feeding the violence in Dagestan are therefore a diffuse blend of ethnic, religious, generational, criminal, and authoritarian causes.	62	69	3960
diffuse	diffuse_adj	Intellect/intuition, analytic/holistic, convergent/divergent, abstract/concrete, focal/diffuse, objective/subjective, etc.	87	94	3949
diffuse	diffuse_adj	Radiosity was perhaps the first rendering algorithm in widespread use which accounted for diffuse indirect lighting.	90	97	3950
diffuse	diffuse_adj	In this case, the diffuse layer potential will increase upon approach.	18	25	3971
diffuse	diffuse_adj	Over the next hours, Fred became increasingly diffuse as a result of its progressively worsening surroundings.	46	53	4016
diffuse	diffuse_adj	Being a diffuse object, its visibility is strongly affected by small amounts of light pollution.	8	15	4020
diffuse	diffuse_adj	Areas in which diffuse knapweed has been established generally are plains rangelands or forest benchlands.	15	22	3974
diffuse	diffuse_adj	L. mexicana can induce the cutaneous and diffuse cutaneous clinical manifestations in humans.	41	48	3938
diffuse	diffuse_adj	"The term ""diffuse"" has been called a misnomer, since injury is often actually multifocal, with multiple locations of injury."	10	17	11881
diffuse	diffuse_adj	Higher density regions of the interstellar medium form clouds, or diffuse nebulae, where star formation takes place.	66	73	3937
diffuse	diffuse_adj	It also allows for very narrow depth-of-field and diffuse bokeh.	50	57	3941
diffuse	diffuse_adj	Venter cream with two distinct rows of large, diffuse dark gray spots.	46	53	3982
diffuse	diffuse_adj	In 2011, diffuse white plumes were seen rising from Anak Ranakah Dome, although no ash was detected.	9	16	11883
diffuse	diffuse_adj	The forewings are light-brown with a stroky pattern and diffuse white spots.	56	63	3964
diffuse	diffuse_adj	Similar, but the tawny yellow on the upperside paler, the markings larger and somewhat diffuse.	87	94	3998
diffuse	diffuse_adj	The interior, lit by diffuse light, is illuminated by cracks in the apse and the rose window.	21	28	3991
diffuse	diffuse_adj	Also carried in the payload bay was the Diffuse X-Ray Spectrometer (DXS).	40	47	11878
diffuse	diffuse_adj	Forewing: paling to whitish on the apex, with the black markings as on the upperside but somewhat blurred and diffuse.	110	117	11879
diffuse	diffuse_adj	The cytoplasm may contain diffuse glycogen, and chromatid bodies are absent.	26	33	3986
diffuse	diffuse_adj	The outer line is pale and diffuse.	27	34	11880
