homograph	wordid	sentence	start	end	orig_idx
rebel	rebel_nou	With this force, Kalia Bhomora Borphukan crossed the Brahmaputra river, attacked and defeated the rebel forces.	98	103	9045
rebel	rebel_nou	"It will also help end the scourge of one of the most brutal rebel groups in Africa."""	60	65	9108
rebel	rebel_nou	Canister shots killed more civilians than rebel soldiers.	42	47	9098
rebel	rebel_nou	Finally the Spanish Republican Air Force was completely disbanded after the decisive rebel victory on 1 April 1939.	85	90	9094
rebel	rebel_nou	On 24 June 1685 rebel forces camped at Pensford during the Monmouth Rebellion.	16	21	9068
rebel	rebel_nou	"Originally the song ""Rebel Meets Rebel"" was supposed to be released as a duet with Coe and Phil Anselmo."	33	38	9072
rebel	rebel_nou	However, the transitional government exercised no real authority in the country, 80% of which was controlled by the rebel groups.	116	121	12450
rebel	rebel_nou	The move made it practically impossible for anyone to escape the onslaught of the rebel war.	82	87	9042
rebel	rebel_nou	She was a leading Labour rebel supporting a referendum on the EU Lisbon Treaty.	25	30	9088
rebel	rebel_nou	These rebel soldiers, on their way to reach Manipur, pitched their tents at Malegarh.	6	11	9112
rebel	rebel_nou	"Following the 1993 Embassy World Championship, the BDO suspended the ""rebel"" players from all tournaments."	70	75	9064
rebel	rebel_nou	The Sladen mission had stayed seven weeks at Momien meeting with rebel officials.	65	70	9046
rebel	rebel_nou	Pockets of fighting continued at the military airbase, adjacent to the civilian airport, which had come under full rebel control.	115	120	9090
rebel	rebel_nou	Echuu later meets with Princess Leia on Krant during the Rebel campaign, where Darth Vader kills him.	57	62	9121
rebel	rebel_nou	He was present at the time of the uprising of the rebel army on July 18, 1936.	50	55	9076
rebel	rebel_nou	According to Al-Manar, 40 Islamist rebel fighters surrendered themselves to the Syrian Armed Forces and Hezbollah on 13 August.	35	40	9093
rebel	rebel_nou	These Gulf donors, who financed them for this reason, refused to finance groups involved in intra-rebel fighting.	98	103	9092
rebel	rebel_nou	Sudanese Rebel Leaders have accused him of being involved in severe human rights violations in Darfur during the Darfur Conflict.	9	14	9043
rebel	rebel_nou	"It included seven new tracks: ""Rebel Nation,"" ""Last Dance,"" ""Revolution,"" ""Stockholm Skies,"" ""Someone Else,"" ""Stay,"" and ""."	31	36	9062
rebel	rebel_nou	At the outbreak of the uprising the rebel forces derailed a military train.	36	41	9051
rebel	rebel_nou	He represents one of the 2 major former rebel groups.	40	45	9075
rebel	rebel_nou	From the start of the conflict, Pope Innocent III began excommunicating rebel barons, negatively affecting their efforts.	72	77	9119
rebel	rebel_nou	Wounds are nothing new to this gallant officer, who bears ugly scars about his person, the tokens of Rebel attentions.	101	106	12445
rebel	rebel_nou	Three other border crossings with Iraq and Turkey were, however, in rebel hands.	68	73	12448
rebel	rebel_nou	"He also notes that many private homes were destroyed and that Dr. Quintard's ""Rebel"" chapel had been destroyed."	78	83	9081
rebel	rebel_nou	There must be something very wrong in the state of things that makes a man like that a rebel.	87	92	9086
rebel	rebel_nou	She is remembered as a trade union activist, as well as a rebel in the Irish Citizen Army.	58	63	9077
rebel	rebel_nou	Syrian government troops regrouped south of the city, and were preparing for a possible attack by rebel forces.	98	103	9057
rebel	rebel_nou	In June 1974, Cockney Rebel released their second studio album The Psychomodo.	22	27	9106
rebel	rebel_nou	With a Rebel yell, they leaped into the hiding place.	7	12	9050
rebel	rebel_nou	Somehow the rebel Basestar's hybrid detects her shooting and panics, causing the ship to jump away.	12	17	9059
rebel	rebel_nou	Soon afterwards, in June 1941, rebel youths burned the stadium down.	31	36	9082
rebel	rebel_nou	The Mon language instruction survives in the Thai-Burmese border inside the Mon rebel controlled areas.	80	85	9036
rebel	rebel_nou	She fought for multiple rebel groups but ended up fighting with Carranza and then revealed her true identity.	24	29	9113
rebel	rebel_nou	However, the rebel force believed that the British had shouted contuirt bhais!	13	18	12452
rebel	rebel_nou	The main rebel group fighting the Order at the beginning of the series is known as Southern Command.	9	14	9079
rebel	rebel_nou	Humayun sent another army and the rebel was captured.	34	39	9083
rebel	rebel_nou	She appears as a rebel that doesn't let any authority interfere in her life.	17	22	9038
rebel	rebel_nou	"In 2005, she was a postal privatization rebel, but defended the seat against ""assassin"" candidate Yukari Sato."	40	45	9061
rebel	rebel_nou	Portrait of an American Rebel became a best-seller and has gone into four printings.	24	29	9047
rebel	rebel_nou	Tyler continued his career in the collegiate ranks, as receivers coach on Johnny Vaught's Ole Miss Rebel staff.	99	104	9056
rebel	rebel_nou	Keith Richards of The Rolling Stones was once known to be an avid drinker of Rebel Yell.	77	82	9080
rebel	rebel_nou	In the Beano Christmas special 2007 Robbie Rebel had a joint strip with The Riot Squad.	43	48	12451
rebel	rebel_nou	Jupiter is abducted from the rebel base by a group of vampires who take him to their lair in Siberia.	29	34	9091
rebel	rebel_nou	Peter Dak, the rebel commander in Mayom, announced that he fled the town on the evening of 7 January.	15	20	9037
rebel	rebel_nou	Landing in Mazara in early August, 900, the Aghlabid force proceeded to lay siege to rebel-held Trapani.	85	90	9100
rebel	rebel_nou	At the start of 7 February, government troops were seven kilometers from rebel-held Tell Rifaat.	73	78	9063
rebel	rebel_nou	He has also designed extensively for film including The Rocky Horror Picture Show, Starstruck, Rebel and Ground Zero.	95	100	9073
rebel	rebel_nou	The Rebel Yell is the student newspaper on campus.	4	9	9041
rebel	rebel_nou	Since 1998, government and rebel forces have fought with little progress on either side.	27	32	9096
rebel	rebel_nou	However, in Jangheung, the rebel leader Yi Bangeon captured Gangjin in December 7.	27	32	9122
rebel	rebel_nou	It was released in 2007 on Index Entertainment and follows 2003's The Rebel You Love to Hate.	70	75	9087
rebel	rebel_nou	Each rebel was bought a red shirt uniform inspired by Giuseppe Garibaldi's Redshirt volunteers, whom Wilcox admired.	5	10	9099
rebel	rebel_nou	Rob Allen, who is also referred to by Twitter followers as King Rebel, has started the movement called the Robellion.	64	69	9058
rebel	rebel_nou	On 5 July the First Mixed Brigade infiltrated the rebel lines near Brunete.	50	55	9069
rebel	rebel_nou	Thomas was executed as a rebel and replaced by his younger brother Henry, 3rd Earl of Lancaster.	25	30	9055
rebel	rebel_nou	Edward is portrayed as the son of Isabella and the Scottish rebel, William Wallace, in the 1995 film Braveheart.	60	65	9103
rebel	rebel_nou	The Spanish weapons fell into rebel hands.	30	35	9095
rebel	rebel_nou	Involving himself with this rebel group he gets into trouble and has his house and goods confiscated.	28	33	9034
rebel	rebel_nou	In 1936, a rebel group led by Taurino Lopez burned the municipal archives of Penamiller.	11	16	9084
rebel	rebel_nou	Fighting raged near Marea, the main base of Islamic Front rebel group, where rebel reinforcements were being sent.	58	63	12453
rebel	rebel_nou	She released her debut album Rebel Soul while affiliated with that group in 1990.	29	34	9116
rebel	rebel_nou	However, in a surprise nighttime rebel attack, she is seriously wounded.	33	38	9040
rebel	rebel_nou	"Each was offered with ""Economy 6 or Rebel V-8 engines."""	36	41	9104
rebel	rebel_nou	They also previously had Joint Integrated Units formed together with its rebel enemies the Sudan People's Liberation Army.	73	78	12449
rebel	rebel_nou	In 1932, he appeared as Riederer in Der Rebell (The Rebel).	52	57	9049
rebel	rebel_nou	Choe Gyeongseon attacked Naju with 3,000 rebels, and the landowners of Naju began to fortify Naju against rebel attacks.	106	111	9117
rebel	rebel_nou	His Rhodesian visit has been cited as precursoring the South African rebel tours controversy of the 1980s.	69	74	12454
rebel	rebel_nou	Many formerly rebel-held towns sent soldiers to Navarre as well.	14	19	9054
rebel	rebel_nou	In 616, he followed an agrarian rebel from the same locale, Cao Shiqi (操師乞), in rising against Sui Dynasty rule.	32	37	9044
rebel	rebel_nou	"It was presented by the disc jockey Ed Stewart, nicknamed ""Stewpot"", and was co-hosted by Zed, the ""rebel robot""."	100	105	9039
rebel	rebel_nou	"Rebel soldiers said they posed as merchants as ""a trick for the NGOs""."	0	5	12446
rebel	rebel_nou	Nagma's debut film Baghi: A Rebel for Love, opposite Salman Khan was Hindi cinema's seventh highest-grossing film in 1990.	28	33	9114
rebel	rebel_nou	One rebel leader, Harold Keke, did not comply with the agreement and continued to cause trouble.	4	9	9107
rebel	rebel_vrb	The dissolution of a centralized empire allowed Tibetan peasants, dissatisfied with the political turmoil, to rebel against regional governments.	110	115	9109
rebel	rebel_vrb	"It all depends on if he can manage consensus and if the others agree or rebel."""	72	77	12447
rebel	rebel_vrb	After Lester shares a joint with Ricky, his spirit is released and he begins to rebel against Carolyn.	80	85	9048
rebel	rebel_vrb	However, several other key staff members, including Liu Zhiyuan and Sang Weihan, suggested that he rebel.	99	104	9111
rebel	rebel_vrb	Most of the village men seek to rebel but Li Kung talks them down.	32	37	9071
